n,newton_coefficient_exact,log2_abs_coefficient,log2_abs_coefficient_over_n_squared,endpoint_extrapolant_exact,log10_abs_endpoint_extrapolant,P_n(1/3)_exact,log10_1_plus_abs_P_n(1/3)
0,1,0.0,,1,0.0,1,0.301029995663981195
1,1,0.0,0.0,0,,1/3,0.124938736608299953
2,-26/27,-0.054447784022376384,-0.013611946005594096,-13/27,-0.317420411852150543,55/243,0.088609990477943047
3,-128/27,2.24511249783653146,0.249456944204059051,1/9,-0.954242509439324875,133/729,0.0727797375067381722
4,-4253248/637875,2.73721933690426208,0.17107620855651638,4418/637875,-2.15950986980487174,1752361/10333575,0.0680296942677751129
5,189673472/19774125,3.26183215315545369,0.130473286126218148,-3218/1318275,-2.61241997635586856,167785501/961022475,0.0698865249846233472
6,134859284873216/1648153544625,6.35446038974045581,0.17651278860390155,92322532/1648153544625,-4.25168996205783245,9011481511019/48060157361265,0.0746351554903920201
7,21867230161534976/209315500167375,6.70694753150544284,0.136876480234804956,20600852/3322468256625,-5.20757565823784822,17646456678691867/91554599773209825,0.0765466714432284506
8,-349286360632157831954432/204161105975753390625,10.7404865427828415,0.167820102230981898,-35299061419547/204161105975753390625,-6.76220985177849374,70647765876046328177/428640325218213758685,0.0662581817132589345
9,-1223020636109122382669545472/104326325153609982609375,13.517057880471405,0.166877257783597593,-943246141903/409122843739646990625,-8.63722869188513654,334417250227803609237241/3285528092797608460320525,0.0420968282770976705
10,300259870617485505924790776781340672/3602957316310515949176818109375,16.3466705872246835,0.163466705872246835,227162469903601505641/3602957316310515949176818109375,-10.2003225350759931,7744888963635167762356505357869/30945603864846495459337008369525,0.0970052998494987752
11,16730591948804534496566206595258931740672/7375253626487626147964946669890625,21.113292491968098,0.174490020594777669,88586225861712143/1029919512147413231108078015625,-13.0654370867239928,13167457818307871295695656788047087/8262476231914014287642981234663175,0.413910611328708432
12,-1122617101053736551829454704415095194316121103663104/168817483985939422814923319619400500720703125,22.6648982777166051,0.157395126928587535,-693840023309925937466130135011/168817483985939422814923319619400500720703125,-14.3861580753916482,224491791834521377001723802488616068203087/793534658288811810610006148555604712156875,0.108193162204974448
13,-1718996817875184914702418183965080943070293863726447591424/1382784011328829812277036911002509501403279296875,30.2113439007496165,0.17876534852514566,1084183691135503991511591461/337676193242693482851535265202078022320703125,-17.4933975730940334,-17445919506894374997322150410620079353055629518303/214494798739440698843316491973025620510139783125,1.91558412223084639
14,-669521616012725091775243743495598923724966390894549274081280131072/85648372372353319578120443045844746751851408469064453125,32.8639857535114844,0.167673396701589206,4575310903534934155924614626850402041/85648372372353319578120443045844746751851408469064453125,-19.2722985034456546,-1538250997089626979767727910644265740497505901520941211251/6095750903807261709767859118970152095262772070701663625,2.40371760618710337
15,79134361733856184918561912145364952786236886375783600260165037448834842624/36483722827823715894011543244681532618632896316975854162109375,40.9801884658877723,0.18213417095950121,-113707583674856056851643134626780987/2226925644132559109687575123279102277887621089969837890625,-22.2919162856895817,8905889920136565597302767651413744162590974996086331703270641813/572287245118970773406861540860451890953889768228918652360625,4.19209116275442933
16,159069431237970407763368223183177915005036035915559301827239680768867947183041541046272/2350374216356950994035635547431184273185355096182254713586165492431640625,45.9437594697844204,0.179467810428845392,-340370521099467802721104482165850834490330143378/2350374216356950994035635547431184273185355096182254713586165492431640625,-24.8391850747054546,27263766667955915566569144287994582516628424906311572118702587380431596831467/151443221011182346152891426385128919027842383121413657731539369609703125,5.25533843069504571
