n,moment_exact,F(2^-n)_exact,F(2^-n)_decimal
0,1,1,1.0
1,1/2,1/2,0.5
2,5/18,5/72,0.06944444444444444444444444
3,1/6,1/288,0.003472222222222222222222222
4,143/1350,143/2073600,0.00006896219135802469135802469
5,19/270,19/33177600,0.0000005726755401234567901234568
6,1153/23814,1153/561842749440,2.052175633038280469938318e-9
7,583/17010,583/179789679820800,3.242677780955435586443082e-12
8,1616353/65063250,1616353/704200217922109440000,2.295303180634321317562257e-15
9,132809/7229250,132809/180275255788060016640000,7.367012151469996707676116e-19
10,134926369/9762090030,134926369/1246394851358539387238350848000,1.082533106205739005765329e-22
11,46840699/4437313650,46840699/6381541638955721662660356341760000,7.340028734446216510597383e-27
12,67545496213157/8267713725521250,67545496213157/292214732887898713986916575925267070976000000,2.311502077448957221140325e-31
13,4068990560161/635977978886250,4068990560161/1196911545908833132490410294989893922717696000000,3.399574992879990651343257e-36
14,411124285571171/81188783595533250,411124285571171/17524030168305511965050671651660013242599473361715200000,2.346060133557306630999967e-41
15,1204567303451311/297692206516955250,1204567303451311/15791254065263462941946461238743871133171237435708801024000000,7.628066133778678283524438e-47
16,73419800947733963069/22510683177794610356250,73419800947733963069/626048168100066478643636623385103067560649311175417997219699097600000000,1.172750032486296908403198e-52
17,4146897304424408411/1564913803803903393750,4146897304424408411/48488455061807039788823800613832680933046479303954410932297509162188800000000,8.552339519043162999500995e-59
18,86773346866163284480799923/40011216302189267004656036250,86773346866163284480799923/2924907327984663493179931480281060829152039746976389598046631610524565901849531514880000000,2.966704142587394593308602e-65
19,18814360006695807527868793/10529267447944543948593693750,18814360006695807527868793/3833734532936058133780799789833992049986161537156893373951680984546759018872217947183513600000000,4.907580283678866652979014e-72
20,539741515875650532056045666422369/364343978269538855639588869988906250,539741515875650532056045666422369/1391026453346497029228605426710671587340398341822365591105864134203768975246595308345805415518935449600000000000,3.880167156973569738259112e-79
21,21431473463327429953796293981397/17349713250930421697123279523281250,21431473463327429953796293981397/1458596954344256468920414163918569170367045531674728822059422590386851256988173922044011259383183257999769600000000000,1.469321144507833441191501e-86
22,94539632684672640762305085840589336831/91293215441612513010366165900532019156250,94539632684672640762305085840589336831/354106659562442648251792311054165640760982148627953655495814482149328021989053054619959304557438629953684962089528731893760000000000,2.669806684841567086939254e-94
23,911368783375270623395381542054690099/1044544799103117997830276497717757656250,911368783375270623395381542054690099/390850257534050381403443551953613464133250123662847507647557017299172399984413995580187839721706072465594908218936504814980300800000000000,2.331759454695698453318551e-102
