n,beta_n,one_quarter_minus_beta_n,n2_deficit_over_log2n2,four_beta_n
1,0.1111111111111111111111111111111111111111111111111111111111111111111111,0.1388888888888888888888888888888888888888888888888888888888888888888889,,0.4444444444444444444444444444444444444444444444444444444444444444444444
2,0.1422222222222222222222222222222222222222222222222222222222222222222222,0.1077777777777777777777777777777777777777777777777777777777777777777778,0.43111111111111111111111111111111111111111111111111,0.5688888888888888888888888888888888888888888888888888888888888888888889
3,0.1684353741496598639455782312925170068027210884353741496598639455782313,0.08156462585034013605442176870748299319727891156462585034013605442176871,0.29221760349559975733717984861979889950290785020788,0.6737414965986394557823129251700680272108843537414965986394557823129252
4,0.1799819550868274073226490380751115739780026173097133306742190683489335,0.07001804491317259267735096192488842602199738269028666932578093165106646,0.28007217965269037070940384769955370408798953076115,0.7199278203473096292905961523004462959120104692388533226968762733957342
5,0.1929455232878818566040303916274668852583731040067943067423646416985338,0.05705447671211814339596960837253311474162689599320569325763535830146623,0.26456488582870607466468101592986103888849600259687,0.7717820931515274264161215665098675410334924160271772269694585667941351
6,0.1997595140277247769823710997894333335272472095386400844918069571058722,0.05024048597227522301762890021056666647275279046135991550819304289412780,0.27067480826978464061590757747157303072318658070683,0.7990380561108991079294843991577333341089888381545603379672278284234888
7,0.2059642951920806648882559486802356240352842635874208180426720904255249,0.04403570480791933511174405131976437596471573641257918195732790957447507,0.27378294298183097406503879255426059180681514304646,0.8238571807683226595530237947209424961411370543496832721706883617020997
8,0.2111479549513426951625438791054915628329955510476586479240540343982036,0.03885204504865730483745612089450843716700444895234135207594596560179642,0.27628120923489638995524352636094888652092052588332,0.8445918198053707806501755164219662513319822041906345916962161375928143
9,0.2152619887436252697655052741789939698300629482919503320614825514730156,0.03473801125637473023449472582100603016993705170804966793851744852698439,0.28002189871961494020711004060715825148196631281300,0.8610479549745010790620210967159758793202517931678013282459302058920624
10,0.2184062333371155425769175271428118569785780649133817369933509467705172,0.03159376666288445742308247285718814302142193508661826300664905322948283,0.28629973828074153895938190720668573553649059885095,0.8736249333484621703076701085712474279143122596535269479734037870820687
11,0.2212599712995467775292259433440796433070433445031679633902388131241869,0.02874002870045322247077405665592035669295665549683203660976118687581314,0.29057822520589498938241724174567456331737137468242,0.8850398851981871101169037733763185732281733780126718535609552524967474
12,0.2236928200616982248168793346985466514151124071742937763849275317660387,0.02630717993830177518312066530145334858488759282570622361507246823396133,0.29475932475429744965650376837319261818035931406594,0.8947712802467928992675173387941866056604496286971751055397101270641547
13,0.2257825285583025057254896488591704447967603027603145976499262067250557,0.02421747144169749427451035114082955520323969723968540235007379327494426,0.29888824391102797789517682569537073556843824660247,0.9031301142332100229019585954366817791870412110412583905997048269002230
14,0.2276451816755908690099804496269061448498453840969175594244975390341196,0.02235481832440913099001955037309385515015461590308244057550246096588044,0.30225986826898695494466135749930957968016272915559,0.9105807267023634760399217985076245793993815363876702376979901561364783
15,0.2291857347182176211101977147983638590883560931154845734836536448063197,0.02081426528178237888980228520163614091164390688451542651634635519368032,0.30681819013839467242149933193067720765908267235488,0.9167429388728704844407908591934554363534243724619382939346145792252787
16,0.2305986773842315723142400159629123847606032317487200085151415970657061,0.01940132261576842768575998403708761523939676825127999148485840293429389,0.31042116185229484297215974459340184383034829202048,0.9223947095369262892569600638516495390424129269948800340605663882628244
