block_size,s_root,q_root
1,0.09090909090909090909090909090916762257682,0.3015113445777636226468120669701896407361
2,0.1994859385527594461507231488505002742917,0.4466384875408292063041881548139873598867
3,0.2740507837145811031976360832560837486804,0.5234985995344983759086885057805647187729
4,0.3205087119229876759063525155026094924062,0.5661348884523790553795597435045433122087
5,0.3490234327857222615092182472890319021442,0.590782051847990945302203844353513229823
6,0.3663509577681338554220310949997487642596,0.6052693266374348954003559145550406418458
7,0.3763596800907121258468073320251177814304,0.6134816053401374200381394218942523079418
8,0.3812758255057979162956453626738894322028,0.6174753642905908811377309479779395345691
9,0.3827759582489852517522445862970037425873,0.6186889026392709201559084026854112913457
10,0.3828084543004727883543511873637881847595,0.6187151641106534155853556944525467831067
