N,r,k_t,center_x,B,amplitude_B_over_4N,tau_sign
0,0,0,-1,1/2,1/2,-1
0,1,1,1,1/2,1/2,1
1,0,1,1,-644/9,-161/9,1
1,1,2,3,1364/9,341/9,-1
1,2,3,5,-1364/9,-341/9,-1
1,3,4,7,644/9,161/9,1
2,0,11,21,1101529088/2025,68845568/2025,1
2,1,12,23,-1486450688/675,-92903168/675,-1
2,2,13,25,7931697152/2025,495731072/2025,1
2,3,14,27,-9209034752/2025,-575564672/2025,-1
2,4,15,29,2062112768/405,128882048/405,-1
2,5,16,31,-12391049216/2025,-774440576/2025,1
3,0,57,113,295135362302345216/8037225,4611490035974144/8037225,-1
3,1,58,115,-1769448337300258816/8037225,-27647630270316544/8037225,1
3,2,59,117,4713440388639096832/8037225,73647506072485888/8037225,1
3,3,60,119,-2549439532893208576/2679075,-39834992701456384/2679075,-1
3,4,61,121,9399568107131895808/8037225,146868251673935872/8037225,1
3,5,62,123,-531270964213710848/382725,-8301108815839232/382725,-1
3,6,63,125,174082497528725504/99225,2720039023886336/99225,-1
3,7,64,127,-3350550268701835264/1607445,-52352347948466176/1607445,1
4,0,247,493,-81872827123497083256577196032/30742385625,-319815730951160481471004672/30742385625,1
4,1,248,495,656257786076619916972197412864/30742385625,2563506976861796550672646144/30742385625,-1
4,2,249,497,-2384636280221889160006026133504/30742385625,-9314985469616754531273539584/30742385625,-1
4,3,250,499,1759282606591129352569962364928/10247461875,6872197681996599033476415488/10247461875,1
4,4,251,501,-8272651026211238053216000147456/30742385625,-32315043071137648645375000576/30742385625,1
4,5,252,503,2123163841926373410206293950464/6148477125,8293608757524896133618335744/6148477125,-1
4,6,253,505,-12949250527450309970384799137792/30742385625,-50583009872852773321815621632/30742385625,1
4,7,254,507,15936440729633287177153200259072/30742385625,62251721600130028035754688512/30742385625,-1
4,8,255,509,-6337705587731544751971963502592/10247461875,-24756662452076346687390482432/10247461875,-1
4,9,256,511,7278897080978969259460813389824/10247461875,28433191722574098669768802304/10247461875,1
5,0,1013,2025,79078858232827141733340565878955459464921088/96518394257236875,77225447492995255598965396366167440883712/96518394257236875,-1
5,1,1014,2027,-87981594332189614642752052994505761607385088/10724266028581875,-85919525715028920549562551752447032819712/10724266028581875,1
5,2,1015,2029,3648171410501122460213682013520101165294944256/96518394257236875,3562667393067502402552423841328223794233344/96518394257236875,1
5,3,1016,2031,-111067034333836572174236248075999720335474688/1037832196314375,-108463900716637277513902586011718476890112/1037832196314375,-1
5,4,1017,2033,20463335145831725657293651298197965952287506432/96518394257236875,19983725728351294587200831345896451125280768/96518394257236875,-1
5,5,1018,2035,-10426534282441032503186333289773203345572364288/32172798085745625,-10182162385196320803892903603294143892160512/32172798085745625,1
5,6,1019,2037,40922573749466245778482765239462469739051220992/96518394257236875,39963450927213130643049575429162568104542208/96518394257236875,1
5,7,1020,2039,-16850456112045845039086891897668962399088017408/32172798085745625,-16455523546919770545983292868817346092859392/32172798085745625,-1
5,8,1021,2041,61523457800714969816689794900886238193252302848/96518394257236875,60081501758510712711611127832896716985597952/96518394257236875,1
5,9,1022,2043,-614667713812275121556920885506271813446926336/811078943338125,-600261439269799923395430552252218567819264/811078943338125,-1
5,10,1023,2045,85644765907315303662626264281958754813346840576/96518394257236875,83637466706362601233033461212850346497409024/96518394257236875,-1
5,11,1024,2047,-5991861548578514902772202929463775174703710208/5677552603366875,-5851427293533705959738479423304467944046592/5677552603366875,1
6,0,4083,8165,-1388412975742296968649809054801588976787468317574475993317376/156630906412205960109375,-338968011655834220861769788769919183786003007220331053056/156630906412205960109375,-1
