r,cumulant order,component cumulant,weighted component sum,full cumulant,difference
2,2,4/45,1/9,1/9,0
2,4,-32/3825,-2/225,-2/225,0
2,6,1024/257985,16/3969,16/3969,0
2,8,-4096/983025,-16/3825,-16/3825,0
2,10,262144/34602975,256/33759,256/33759,0
2,12,-1449132032/68702695425,-353792/16769025,-353792/16769025,0
3,2,16/189,1/9,1/9,0
3,4,-512/61425,-2/225,-2/225,0
3,6,65536/16515009,16/3969,16/3969,0
3,8,-1048576/251658225,-16/3825,-16/3825,0
3,10,268435456/35433480159,256/33759,256/33759,0
3,12,-5935644803072/281406257229825,-353792/16769025,-353792/16769025,0
4,2,64/765,1/9,1/9,0
4,4,-8192/983025,-2/225,-2/225,0
4,6,4194304/1056964545,16/3969,16/3969,0
4,8,-268435456/64424509425,-16/3825,-16/3825,0
4,10,274877906944/36283883716575,256/33759,256/33759,0
4,12,-24312401113382912/1152640029630132225,-353792/16769025,-353792/16769025,0
5,2,256/3069,1/9,1/9,0
5,4,-131072/15728625,-2/225,-2/225,0
5,6,268435456/67645734849,16/3969,16/3969,0
5,8,-68719476736/16492674416625,-16/3825,-16/3825,0
5,10,281474976710656/37154696925806559,256/33759,256/33759,0
5,12,-99583594960416407552/4721213561365038362625,-353792/16769025,-353792/16769025,0
