r,Re(z),Im(z),Re(Phi),Im(Phi),Re(polyphase product),Im(polyphase product),absolute error
2,0.37,0.0,0.7319398291936895108374260130226724804365,0.0,0.7319398291936895108374260130226724804365,0.0,7.36364019795e-91
2,1.23,0.17,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,3.18722320608e-92
2,3.41,-0.08,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,4.8313448276e-94
2,7.125,0.031,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,2.34083817735e-96
3,0.37,0.0,0.7319398291936895108374260130226724804365,0.0,0.7319398291936895108374260130226724804365,0.0,2.45454673265e-91
3,1.23,0.17,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,3.47427109292e-92
3,3.41,-0.08,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,1.13067126775e-93
3,7.125,0.031,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,9.36335270938e-97
4,0.37,0.0,0.7319398291936895108374260130226724804365,0.0,0.7319398291936895108374260130226724804365,0.0,6.13636683162e-91
4,1.23,0.17,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,3.14073432406e-92
4,3.41,-0.08,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,1.67898256196e-93
4,7.125,0.031,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,1.63858672414e-96
5,0.37,0.0,0.7319398291936895108374260130226724804365,0.0,0.7319398291936895108374260130226724804365,0.0,0.0
5,1.23,0.17,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,-0.08980353156101730487910271454646346756575,-0.006536650967936359282083058202455857019582,1.91761463488e-92
5,3.41,-0.08,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,0.001507287900461577871257611623060016001855,0.0003661756597494266943152037678979363944522,2.27401122026e-93
5,7.125,0.031,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,-0.00001322518172935004118628801144258382168676,-0.000001799199978574403940218257992771263284943,2.81874243062e-96
