r,N,moment degree,MGF moment (exact),Thue-Morse power-sum reconstruction (exact),difference
1,6,0,1,1,0
1,6,1,0,0,0
1,6,2,455/4096,455/4096,0
1,6,3,0,0,0
1,6,4,2359721/83886080,2359721/83886080,0
1,6,6,14115208055/1443109011456,14115208055/1443109011456,0
2,5,0,1,1,0
2,5,1,0,0,0
2,5,2,69905/786432,69905/786432,0
2,5,3,0,0,0
2,5,4,3161984903/206158430208,3161984903/206158430208,0
2,5,6,1267123345886035/378302368699121664,1267123345886035/378302368699121664,0
3,4,0,1,1,0
3,4,1,0,0,0
3,4,2,266305/3145728,266305/3145728,0
3,4,3,0,0,0
3,4,4,72373083009/5497558138880,72373083009/5497558138880,0
3,4,6,60145469786596675/24211351596743786496,60145469786596675/24211351596743786496,0
