n,moment,numerator,denominator,decimal
0,mu_0,1,1,1.0
2,mu_2,1,9,0.1111111111111111
4,mu_4,19,675,0.028148148148148148
6,mu_6,583,59535,0.009792558998908206
8,mu_8,132809,32531625,0.0040824582233442075
10,mu_10,46840699,24405225075,0.0019192897773347005
12,mu_12,4068990560161,4133856862760625,0.0009843085271810047
14,mu_14,1204567303451311,2232691548877164375,0.000539513532022413
16,mu_16,4146897304424408411,13301767332333178846875,0.00031175536308956225
18,mu_18,18814360006695807527868793,100028040755473167511640090625,0.00018809085796940748
20,mu_20,21431473463327429953796293981397,182171989134769427819794434994453125,0.00011764417551302354
22,mu_22,911368783375270623395381542054690099,12012265189685856975048179723754213046875,7.586985210398145e-05
24,mu_24,3805483535214088799368825731508632105336401423,75749878923357625026812035792140968086378130859375,5.0237486703634325e-05
26,mu_26,145207789035057547250789646529728411435729158593693,4265864263161561698961986212637106045311431174856953125,3.4039477132223526e-05
28,mu_28,682360217626740313551227884784167957464306726227507465068183,28991257095996374877911696916274356449119004879010121926615234375,2.353675852576164e-05
30,mu_30,273924248263297037680241037316572843974612267333895389712392992144541,16530638923375146098866370391397246561109111877865759668800557077645703125,1.657069938633494e-05
32,mu_32,407312457614567671036647985412452329595629605197217338360762517649335584298587,34354138810330772666360272938584285483716865052546518795723431222388259928623046875,1.1856284911210846e-05
34,mu_34,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887,3156147650567411354905783924240925229036265338040714513008445177799615435340881618349609375,8.607562140460087e-06
36,mu_36,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219,60065056990904203455176369519776852726500197414189150246909435364886772260376069437916325091519482421875,6.3320873693799715e-06
38,mu_38,3653949214210057934727987403811233325014538232445620975889312798092725011081466942147409969754382926743479659,775033265747322885843134854470588207143742708579408645077122573499394937921673499825902002137693502378158544921875,4.714570813533728e-06
40,mu_40,134692129950210994558727807513170963382350563797470049973431460207786458300543663061905481809917676157997627047401238313,37950360176590058780084424204962493645674857158199447891304441672942043999556264606081965928172129705758499144432545166015625,3.549166050689995e-06
42,mu_42,208766406036598900491071695406768068826873486654890495942400036504400422644931348094670766367611572623615742799535443691578005538629,77347354493300698557835509514003191594860759502448594522626211008646639682576316267990039580781715338014505109238101203129469796142578125,2.6990762309094983e-06
44,mu_44,2056335423664999590182640962033292883125306770437002517895761878594652021311821408201864746174580307721400623378706359887507315133277843783294723,992483345348552252661452379897199529888442312017249256735194850317805173687879250923070041809432963031732042927199846685592493629768737150360107421875,2.071909249966135e-06
46,mu_46,1387660457319426767476834917285244199669291878605078054937136143269022618578638081353326610791649804029268160032775340037022938269226270705317089403574856921,864946221760975320862290988808198821515116302373905760614376436057816352899371852371348518755316431235927038807126242363410332703581178723499711093639508056640625,1.6043314860596056e-06
48,mu_48,32467925858267075280969102562199242197931522590216173770745055607910035203965104788697782061190405647071975533588433455160176603867692973090887623556781702620973496478578541,25925976419549542868643981233959854252683708992561762946976603431346045509589056227003720757702146050483852089146873629696925090330272263839892197470174390597367688473663330078125,1.2523318440490658e-06
50,mu_50,774500781055245396413766677952522505836270837351823942545588349203840512236518807968424270706355225076987020095688737961232023689603588919760566428221939762098110170750880161364967891651,786344323570588359119785851607964508763850613542628327575462994708839075912670694311245620572367746888510007506214185126395220068199376587458388072266955771788663309659264619580898260498046875,9.84938477763069e-07
52,mu_52,3312653665667769769665872672848301551183823583170812769587306909989789667316737914609232161834709024375206720676994788192027896773398975516012310932843878820517892635983091652267138100093178080083476737,4246451134360237583044701842033491915440028489596482819906044051946818898183776631581985329479842182175516376584462256472012129638526232422265064338004856266869587106166995336873418461977050113112945556640625,7.800993254963825e-07
54,mu_54,13265657717194580452159578887613313425881130953069981951693040961262103751242504086890093915362553872121203329205090544327518025510068315554439967211459815474478424929259192443751456374091077748539194947156190243292671,21329425528425890144618768541475935431293219778111662764675215996029267104872612534599710095808293355759222875395352059274149833878673141538265132058333200958852744157680730210905580378388020639116174506776109844818115234375,6.219416317385265e-07
56,mu_56,237958473570622320756893062662497117514244925033297176550236176544561104052760517096188903500179758275427405255343094402516560276039205083854313506617540844922150054374984031966560462461349922952376744151346739242278622988418426707,476943313217394431049820742908356538669108548628647418978920272024844342650576678960114011728519779850520956821109919733479568193062698494067764571382431651791401909276430086249406455842319525884166317776509061563614338675798797607421875,4.989240167041802e-07
58,mu_58,21426168848516959457190706474728948995175208806244333984853997458012385192352778449271504492703596967748711761134759853451423013031618684680916789915097326987524347354696528925252507132367820312457075739275080245846921719995960935726476909071781719,53222850904396224847793609349746515622565407021360994551051024613115905104487984062935647017618560709048410645838582015304128270830796942898347051466059717607208325211413980153750291614374824159267590275423460718067812062427915195344967914186859130859375,4.0257461756426037e-07
60,mu_60,20887238291241064174380943453104220932103430922723880185741310567073322144331083048618476702561331023605154744779922854928387966569653672612498985208185933594893501138906527445401369711600683227994530182297558678764378273710618799018522046792604632048346216078447078371857,63949808049311296468600753226383601702970675504180684297670604989669308516228830969931741457353330306038627921147850831976205248698617062351628432470525028995073379898466273466777884052942544428102558573944046007045926695786470893545257535837221650689499963132065219879150390625,3.266192491951664e-07
62,mu_62,124628651165501415664713006030784964580900459540194594335972185745803766689044672887542929884629054449344519198482732662783995593018430876774952837616147036451440124699362878067363239451095414471761713949574837152248106443489305698813754211451405295135015414919726337273125096458655411607,467873774186341832067392721211488459984741552234899568792382225376328057397086612854675841400816308343771134513103354230763028621084199962224433315971539182005889949888383578250499961287844067575761973592958534420245974440663599950074874710511622735517817900616675656280852732757167816162109375,2.6637238084617477e-07
64,mu_64,448608384209810930030479548041313701215644955132897428806660811681504454792231199099459655724557250481538377448299505239729783682980915553546366968588608605858317560461922354081951980280204780755107918027312411061179792835921044995943725282597742025901487145550643091641209684284510791200152935592145629553,2054939945527624328650286232013534148311020307729045182885002959978754332144375914057274450033978870683246118083746624804024308604730790030355215786038336260514721334481396413594884168538187648235863310202676524421407143081271279149406754759199384337093222221988416728600161209337952931228513463629245758056640625,2.183072966128101e-07
66,mu_66,633573682828764158012610146902854995635572949756965973887639715071778464090254579058134974994152908263922946576319535177502415671504776531174665734798165091195854912544627218114879219622395034107309027787897617356325649263378454700175924373864892487576877616527420894002302678502444629245062096500283711247494409049509649239,3524753807476539793784598957190444653674086939309769895171452595448203138592499820730687220579507474246108380826078818154247496803354873965029226459558967223074920043939561294660799848474897618266956890309878118318064185125018119242383194660704190055847253276479440306123177107472267055617530789021200616080787182940578460693359375,1.7974976904340323e-07
68,mu_68,1321807751588384926198588644298027729527015570934856031221873488383014623411603889567217430729780511537081413395319922989337351400117923077016792219078384781717477641236996002928274969727557574185110842251847935220126452355200744207229278090012667318959291540142006326672062767190521358474490069644186177083709544710789822383532878805719152468189,8891616544618814085732025587327375562223796883599451782383326345353026154161166292093442530984540474883761853860617690621291640039133248649386537899268222675990210330131597487441126461905058181896959804336296233260395260295855797203971931600015064354197294719988646168865890386289100405314138386555109692970811083565930981321854562449581623077392578125,1.486577547463335e-07
70,mu_70,1257382546515676244289497454101958182613810653099450430139847109312626544239794550153456153010362688775091764318232186427926591178983287847176139696730516209163834152588116066278940683752177608003095404547321225669448896753524575799701683979818860163631716503356597574200834687631052450420250969771374427515513521330070614646372924434992509962525273784875411061018659,10184402978894960453237267861504402011167921105566121072243172957989635406892976705375170595973713668965315111940989186263063539145296289903324865907147790680680422526010606442585940656081573827585458054966423439905370862737274470385976918916873627189078361050826699445226243524729753331528845836341340262033048596367685984277964929484393270603935548602244567394256591796875,1.2346158622369301e-07
72,mu_72,7435265853139960297283349277751545524199760901980044579709692069885000602288122424203327755184812425201615437922464825959155966396453155192607637294745841903838778315143221423204000748912147521979868914153129360645208329566454257050831929050284039415156049306337408024128808262022247740168772131329090497786267033909070790035987964191289038073132746814752094280596715057649085748434337098681,72224140342444244570673778080352852649677493194463444859342111186124275641270942352666036197589139673674422025374023659229688931547619711543972612451418041402149133214743243282489840301195480338555047900288403899279456734791487838854245477387242260253518985302125105800905705165629598826269504853483508659810429785337880796190879206748115658354447399844309033559751213586112579912912845611572265625,1.029471007600273e-07
74,mu_74,130572689893700141784190070746772294573608136156075867777379387639379218948586204257017725114496528560228336834778027762916017376324799081679190316042141869709206877770836401225886974412773406878603338953510717532938637585487163602006706088433858030391807875240741582465756899363461579880885287817610419935209490774102333896108915602226407957125847702823770780495832295486056157668194601240025482169312730490081,1515300375892922978792108523138872514793800891795968197672406009264427144871148269110939908373356164580356995908867071475846884636410326192016110945484481811843596546489205350156450357598375247983163885491787673733831603624996917322584003411708653530935335720996755264934011810414986431011955340710208052552097986410455684045308078719787812967191170516742423278936938985860583800923745470668102624457705020904541015625,8.616950934019099e-08
76,mu_76,417430152553489624597895676159157925886723946020893067365234462292412987938848329062349323165223975981583222595950367915369751077736287523862086529436995738192192937368818609819550623216263187358882139710413416754208711337236335294200486229256618765232749234287866561635130310005564098913583559893494955060992968132263758501714084925229634368709437550452990909297846256978841134570671167370108324687948398339398580994471677998281,5766449725789182787418693979519332585251592215424748400153856321036324931422695800311242446132716352954355896915980986989180865574399312703583585221863621049619764687625311607298084702355564636950854587669942965263838486809745546530124464187712789153679281258275967873385605095590599793542006410275261977149792969320310072218554577894787276951918029950195314512225416065313358476995306864296866075710997604640182423680460453033447265625,7.238945493387808e-08
78,mu_78,12279899644409169631701174310382727989001113246990095349082561177966302840656644515244977449500287564077930420822821255529185202589970733953645245529500557843016456547518643173829252450720049980509533701412196780707315917482801819826760590090651104692622543886322699932912510928851049718158805712387450248066623169365017991694858907918827767254922033173928086798634150963037311839760721911080850826743636297252764908610862570508964820284857901458023499887,201226656759334200563644123715500901822918663577939881306371636708537095451590295822480971073034610428414362470363436952795480185791125583660387438088990997321469863754256497630477546722950470018041475638513540940398364125215654430636015961933896998755863942924229131631492460458175513189468065189273713063536202560897083021917893870039450432550179070415082626013863169653802239705867392568158290041046597020635721937752489874405519396702496586835384368896484375,6.102521327030669e-08
80,mu_80,54074276758799263758992877145917855828190693411054849207750702017145107776589916462017133140403503811274036396701030278120500176731758312550604252282049717188857850365464809757775642437355456949722559666444169897309553517585745579821854037129836058166225792782816280859179154764206857826939661831805991436110191426105957912734021399933804819339480427212422330901789043089643400794818776947517396827623443129364253206659734105285616955507372923093844739910522940387490647927111,1047611553097476448306347401190299499689923516064064223404502910643828665963826245304213783766804151719002504453788985906280325638198038233749841941401930145830296316658540299524686808933156839682547978530794245507887856074045510025168600787723235103360293296211819871915478242470605500620557509601761617832890355720341524876416352442589022562090799391570424169079881178838638526202692308823512922222317367534785009225851631254227476851099825168447652772833222059038579463958740234375,5.16167243468418e-08
