n,e_n_B,centered_even_moment_mu_2n,decimal_e_n
0,1,1,1.00000000000000000
1,1/18,1/9,0.0555555555555555556
2,19/16200,19/675,0.00117283950617283951
3,583/42865200,583/59535,0.0000136007763873725073
4,132809/1311675120000,132809/32531625,1.01251444031354349e-7
5,46840699/88561680752160000,46840699/24405225075,5.28904810773451424e-10
6,4068990560161/1980124051433319792000000,4068990560161/4133856862760625,2.05491699230441992e-12
7,1204567303451311/194642234007792468914016000000,1204567303451311/2232691548877164375,6.18862247236170929e-15
8,4146897304424408411/278310083033469369824291750400000000,4146897304424408411/13301767332333178846875,1.49002769113676184e-17
9,18814360006695807527868793/640416897968330156179569263589791001600000000,18814360006695807527868793/100028040755473167511640090625,2.93783003952313165e-20
10,21431473463327429953796293981397/443206598199513583720554614775318965671795200000000000,21431473463327429953796293981397/182171989134769427819794434994453125,4.83554927891210056e-23
11,911368783375270623395381542054690099/13501794815464525807268554040705427557211939575731200000000000,911368783375270623395381542054690099/12012265189685856975048179723754213046875,6.74998247145200164e-26
12,3805483535214088799368825731508632105336401423/46998891309483638752393735118229394108115038106811527333667840000000000000,3805483535214088799368825731508632105336401423/75749878923357625026812035792140968086378130859375,8.09696447976891306e-29
13,145207789035057547250789646529728411435729158593693/1720386631658197152968662959331388297331545062118069538903202015672320000000000000,145207789035057547250789646529728411435729158593693/4265864263161561698961986212637106045311431174856953125,8.44041602991874036e-32
14,682360217626740313551227884784167957464306726227507465068183/8839096384210937565513263872277754034014124709295051364000900419409158941021184000000000000000,682360217626740313551227884784167957464306726227507465068183/28991257095996374877911696916274356449119004879010121926615234375,7.71979609641573475e-35
15,273924248263297037680241037316572843974612267333895389712392992144541/4384799248947976559377627972975594307818503786175809835364965086169768965753722042477635584000000000000000,273924248263297037680241037316572843974612267333895389712392992144541/16530638923375146098866370391397246561109111877865759668800557077645703125,6.24713316873100503e-38
16,407312457614567671036647985412452329595629605197217338360762517649335584298587/9039633297298618789897698095331514264928945547580212654255292528279686972296741374541781889059948134400000000000000000,407312457614567671036647985412452329595629605197217338360762517649335584298587/34354138810330772666360272938584285483716865052546518795723431222388259928623046875,4.50585155634894945e-41
17,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/931798305059287308582169291383742068532666135785350133596562803527454101321484171230868516530611166762541413171200000000000000000,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/3156147650567411354905783924240925229036265338040714513008445177799615435340881618349609375,2.91551689665260423e-44
18,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/22343800373871468035071751378817866578993085699754906572638657828499619770200115328771664472685679834473478872400833655002562560000000000000000000,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/60065056990904203455176369519776852726500197414189150246909435364886772260376069437916325091519482421875,1.70220455942648734e-47
