index,numerator,denominator,decimal
1,1,9,0.111111111111111111111111111111
2,32,225,0.142222222222222222222222222222
3,619,3675,0.168435374149659863945578231293
4,835232,4640643,0.179981955086827407322649038075
5,1789043898625,9272274723657,0.192945523287881856604030391627
6,17739469991879293420544,88804130697961243046625,0.199759514027724776982371099789
7,1992030147240866752251213245184389,9671725603620352098848236820392125,0.20596429519208066488825594868
8,116259219570773282134100289600083040158499487420000,550605472819115205118759679945523547729071969144327,0.211147954951342695162543879105
9,109945899322192985204620476460281729157993514480029340289381752533754490733,510753895585055554798652264910618997293996604360120141271602417256675926525,0.215261988743625269765505274179
10,35700263543433135330864615017387630957971533268061449019756508984671483102823823840718946204271290736928,163458079918116970730809983578629507624177395153176556632773374325380369495188351894143752897853039471935,0.218406233337115542576917527143
11,337073250340242241863718469946720569972403345123591053159232234549303847570396287634555609193568081956898339822300742635075702052285527848268421,1523426258986108315005725718850380458737355185125391075703712832525258664428570569476080089732202933706795711407656209059922675881241214064396125,0.221259971299546777529225943344
12,32818194608637810512732111090757990990238081946660005117671619934517904820018282645568201516895071825998184956013184011488615168480368819109206221733945822201719772994210204092198327515783424,146710987860879946886918789498288804633967802111169257334574426357096196250753263853234852780636928634328418888558968727721223378380146553335249491365993213952325265359733131610694090767681125,0.223692820061698224816879334699
13,3855593342230859895429180992063032750674503597791609195850202014261828960398552847959443977963995382452376312339799374858766588909495978152700848517087656326591186916204841930220809755015578433588857893361038137656578784749305449755268466055334375,17076579693079540076554820033845439179874395331983437357980087643872096021820284467736932761109068217538748695926705004891983248552254073101073051734695860553910120877403280455163718786425729417394734030827537251966219100635204118675304567698236999,0.225782528558302505725489648859
14,102405763014543246532324961626537355077867038177451757565239137948215462497793190393380898116546765568560455420041248332672107176041539861020153581999286764454894750467628579976431685357432225138863210160875481659427333318928935302281253125111242435678314217782226521782774201527211201728798798176055597581551403904,449848146403898382460318110874200653949634879307858741261227716396254395423726255395490197938145371585051922766543385117029200157840674462569824339209328085250612382632244189999587352264108681236047158140823825017175953356925269665434507582830759166373829852483609308201426139314692611029656904808258437048279936875,0.227645181675590869009980449627
15,654722640104338445864112917267747356401434112591239043692845049411957598548885255560868136957937181049912229583287824303013210441313970572110753806764399028765501150194876624560050250946598337260174597045274285822606079998720050757494101910504989800224738178682228309184343458868908822703818401652993367170297729115661775972805249507840610715579106223256872376827934318550421373750031546811,2856733822937608653289139104087908745827789646199684405691342329013940424747223194284408767246934944646473728272820618484122524705130876572673930472172284219206443739576746290723280919928705258885960723813010848429991986593145744826654153449649772374951798902733386660973367502982415888160448408941429786829189467873148680292857161678998129278797231352873292456993631558323991410781424286875,0.229185734718217621110197714798
16,265659285368952707697616308348811525796035948564307953136802173574109444545234195577238307932318158739612768004922117451322421390458430543827879638356548258498573131999692213779379673347090601223709781612034015176692948665430942354293922738395529289351782718283042704311397785275295083290427540275337877022602699876890713348949626145709433722642885205068304974439699900202110942443373190274227895466698404391253929272859775848074991169290100889457575408091474475275969875873478400,1152041669893457044868174342333187729387371701475664821647848131212785621504032257723146073757959547138775712851929411681382707269968104908555082864431697976175753479119538813391233673679474944756464390605402101530165835262714280491199435315968535018791545902227199575033000773727302874289141560660096221996167921349931193647542049872586509132047271691815400724416875298825127569578958270379186312424809725870728410494856769080314929251647159903178235977436598763546794010911279403,0.230598677384231572314240015963
17,27719188528692183438659523366666943054174339564745813139416471151338607150556679051476762780109407748048025382634744368777347476494850836629076908808861920399095994106546299550023758913362766354232439171777056080719053189015510677006788586674197861927936083702633105328924239647513474654490831124013244688960103861509020444392740359024025655715892264103435778848222314715174613870803673077909839898781320331713904076439193469056987284679785454051455793811411781529918756339881556223079843754128428163205760484765758988997254041274064183285629986146378598554167720454201683117649421055,119568226200615816287314007351906759885611711366622048497316020135348591040154279484077393826253060679699839674855160668161368857498601510376575380864904365377987078070242912001673858795980012641539164172450608600743863769378552926305180268227468904407918925089457056710834626366409629060483054871941952413478439600508933892778306333448977321243656595624123815654138521419380538231996288135046695430385021256114638390637219237131542940243636121271097404361098988872529853208884913959901658271755005836764541052644620332808291878028944165075683286110685251566786845332707840153921460671,0.231827379308813568086835377569
18,4216964496279069976070692011021133007907393565901481094206387786458499669418268563197595628536000129744373528600851003269500752855328421811445338636566023727895102896521402928556908875770561981691977663665392773787775401448470228719428653516910255988027852752064641487547827997671963021111663032022828440616711194327997711668434290148150003345856309189828958761592946203324547674242699804454801705620446122407119685257736111902396790336720268201143122423159090648799913656285727592859498625768501651057351695355597793850318275333526227950288717964361220692603279501872663824577423977800320948895641979000709815910490680459139116469045193959228628311013264114326568942990392883647439853031576425191424,18101958960917260865484907859054500826071437586812017138143000227813551550301485709993059004083990707591639868196715574890932575367718786968875689140061936439137021947208640982634368942260444140644539581797318391521911215539373272942674226449223973650305405114257910824602245607640037090265371544170004577916265978084923996677230023489246572147991330898726865057935280216765215522605350482393575703365103757340197792968809724043830012522085255577923446980504114551937416000728468784731072242084572998044255281352768272733945056179466514347035188330026827642574232947772221893018546222275517325618498902275329444112971426534560186550097038051865202849566117004572947605628260789817242279292447943762725,0.232956251054575826063426911539
19,461162236040398275556197590167436354703049255754411843978454610178609750023043210515661801959331380800258233804977155769157280251662991393880852981519301160605185143051738701128328051857224364801748193992381593139527107561816074716071502398272282275089668745953321960162347787011220025950810510467119795310739044032616989469383986691254557877211419357291913576304985850861743775684972883118227927549114392571024108563967715585119808811045204949567890649620350908102171360525279888896922926636745524963904943087038986497956048050003246981438764467581679430069874024747102591052606415428439422791475010479162270099686115688425936146839601751187617986283770267101131290871545279991332003417570421060073238211797363556699782235632792172010009781334313997892377247087429501613360400943686621604676735543669812939407572020798810845039273,1971121026997468859836026086865667653138611989701327462563449648484368250465323734824359373156104695096519549408583577312288683967619118113204394930183658226121275743535036010039701883840877879460366557678598809800170960148539111267129559837209777241420618052613795014465027084415465743809880482215690029607002027270132869573660777007163429023569333761743792212816806127717917569115622669906912712075218495519285309937094965440901553427316980977462957280673288710132122641738940473956180017801719763364824006359566036786342483411667405881564900952597281170773240636702011971833503926256420411106395317756455632798450246300067192230681868447173484808729359655646111112797100074405962449910505896744017552593309290078306421268197800381455402001164408382496103771290558982358816494407651385696053827151497189071822607492207106178566425,0.233959371202522542781126943296
