x,polynomial,up_sum,residual
-1/2,977/280,977/280,0
-31/64,1998118959/587202560,1998118959/587202560,0
-15/32,121767199/36700160,121767199/36700160,0
-29/64,1899368479/587202560,1899368479/587202560,0
-7/16,1033137/327680,1033137/327680,0
-27/64,1804297279/587202560,1804297279/587202560,0
-13/32,109881199/36700160,109881199/36700160,0
-25/64,1712770959/587202560,1712770959/587202560,0
-3/8,407299/143360,407299/143360,0
-23/64,1624660879/587202560,1624660879/587202560,0
-11/32,98865519/36700160,98865519/36700160,0
-21/64,219977737/83886080,219977737/83886080,0
-5/16,5854039/2293760,5854039/2293760,0
-19/64,1458203679/587202560,1458203679/587202560,0
-9/32,88658719/36700160,88658719/36700160,0
-17/64,1379628079/587202560,1379628079/587202560,0
-1/4,20469/8960,20469/8960,0
-15/64,1304011759/587202560,1304011759/587202560,0
-7/32,11315017/5242880,11315017/5242880,0
-13/64,1231254879/587202560,1231254879/587202560,0
-3/16,4671559/2293760,4671559/2293760,0
-11/64,1161263359/587202560,1161263359/587202560,0
-5/32,70454799/36700160,70454799/36700160,0
-9/64,1093948879/587202560,1093948879/587202560,0
-1/8,259099/143360,259099/143360,0
-7/64,147032697/83886080,147032697/83886080,0
-3/32,62363599/36700160,62363599/36700160,0
-5/64,967026559/587202560,967026559/587202560,0
-1/16,3659559/2293760,3659559/2293760,0
-3/64,907270879/587202560,907270879/587202560,0
-1/32,54893119/36700160,54893119/36700160,0
-1/64,849896559/587202560,849896559/587202560,0
0,7/5,7/5,0
1/64,794844079/587202560,794844079/587202560,0
1/32,48010719/36700160,48010719/36700160,0
3/64,742059679/587202560,742059679/587202560,0
1/16,2798839/2293760,2798839/2293760,0
5/64,691495359/587202560,691495359/587202560,0
3/32,41689519/36700160,41689519/36700160,0
7/64,91872697/83886080,91872697/83886080,0
1/8,151299/143360,151299/143360,0
9/64,596863759/587202560,596863759/587202560,0
5/32,35908399/36700160,35908399/36700160,0
11/64,552729279/587202560,552729279/587202560,0
3/16,2075959/2293760,2075959/2293760,0
13/64,510680479/587202560,510680479/587202560,0
7/32,4378857/5242880,4378857/5242880,0
15/64,470698159/587202560,470698159/587202560,0
1/4,6889/8960,6889/8960,0
17/64,432768879/587202560,432768879/587202560,0
9/32,25910719/36700160,25910719/36700160,0
19/64,396884959/587202560,396884959/587202560,0
5/16,1483239/2293760,1483239/2293760,0
21/64,51863497/83886080,51863497/83886080,0
11/32,21680719/36700160,21680719/36700160,0
23/64,331251279/587202560,331251279/587202560,0
3/8,77179/143360,77179/143360,0
25/64,301514959/587202560,301514959/587202560,0
13/32,17963919/36700160,17963919/36700160,0
27/64,273850879/587202560,273850879/587202560,0
7/16,145537/327680,145537/327680,0
29/64,248280159/587202560,248280159/587202560,0
15/32,14767999/36700160,14767999/36700160,0
31/64,224829679/587202560,224829679/587202560,0
1/2,51/140,51/140,0
33/64,203532079/587202560,203532079/587202560,0
17/32,12106399/36700160,12106399/36700160,0
35/64,26346537/83886080,26346537/83886080,0
9/16,686359/2293760,686359/2293760,0
37/64,167554879/587202560,167554879/587202560,0
19/32,9998319/36700160,9998319/36700160,0
39/64,152969359/587202560,152969359/587202560,0
5/8,35779/143360,35779/143360,0
41/64,140724879/587202560,140724879/587202560,0
21/32,1209817/5242880,1209817/5242880,0
43/64,130882879/587202560,130882879/587202560,0
11/16,495639/2293760,495639/2293760,0
45/64,123510559/587202560,123510559/587202560,0
23/32,7548319/36700160,7548319/36700160,0
47/64,118680879/587202560,118680879/587202560,0
3/4,1789/8960,1789/8960,0
49/64,16638937/83886080,16638937/83886080,0
25/32,7273599/36700160,7273599/36700160,0
51/64,116970079/587202560,116970079/587202560,0
13/16,461959/2293760,461959/2293760,0
53/64,120263679/587202560,120263679/587202560,0
27/32,7686799/36700160,7686799/36700160,0
55/64,126449359/587202560,126449359/587202560,0
7/8,4557/20480,4557/20480,0
57/64,135628879/587202560,135628879/587202560,0
29/32,8835919/36700160,8835919/36700160,0
59/64,147909759/587202560,147909759/587202560,0
15/16,606439/2293760,606439/2293760,0
61/64,163405279/587202560,163405279/587202560,0
31/32,10774719/36700160,10774719/36700160,0
63/64,26033497/83886080,26033497/83886080,0
1,23/70,23/70,0
65/64,204522159/587202560,204522159/587202560,0
33/32,13562719/36700160,13562719/36700160,0
67/64,230398879/587202560,230398879/587202560,0
17/16,955959/2293760,955959/2293760,0
69/64,260000959/587202560,260000959/587202560,0
35/32,2466457/5242880,2466457/5242880,0
71/64,293470479/587202560,293470479/587202560,0
9/8,76099/143360,76099/143360,0
73/64,330955279/587202560,330955279/587202560,0
37/32,21953199/36700160,21953199/36700160,0
75/64,372608959/587202560,372608959/587202560,0
19/16,1543159/2293760,1543159/2293760,0
77/64,59798697/83886080,59798697/83886080,0
39/32,27703519/36700160,27703519/36700160,0
79/64,469066159/587202560,469066159/587202560,0
5/4,7569/8960,7569/8960,0
81/64,524205679/587202560,524205679/587202560,0
41/32,34598719/36700160,34598719/36700160,0
83/64,584186079/587202560,584186079/587202560,0
21/16,343777/327680,343777/327680,0
85/64,649189759/587202560,649189759/587202560,0
43/32,42727119/36700160,42727119/36700160,0
87/64,719404879/587202560,719404879/587202560,0
11/8,184699/143360,184699/143360,0
89/64,795025359/587202560,795025359/587202560,0
45/32,52182799/36700160,52182799/36700160,0
91/64,125178697/83886080,125178697/83886080,0
23/16,3589959/2293760,3589959/2293760,0
93/64,963286879/587202560,963286879/587202560,0
47/32,63065599/36700160,63065599/36700160,0
95/64,1056344559/587202560,1056344559/587202560,0
3/2,527/280,527/280,0
