k,center,coefficient
-20,-5/2,460783/201600
-19,-19/8,203448071/103219200
-18,-9/4,10924481/6451200
-17,-17/8,149614271/103219200
-16,-2,31151/25200
-15,-15/8,108427271/103219200
-14,-7/4,5738981/6451200
-13,-13/8,77511071/103219200
-12,-3/2,7963/12600
-11,-11/8,54748871/103219200
-10,-5/4,2864681/6451200
-9,-9/8,38283071/103219200
-8,-1,15577/50400
-7,-7/8,26515271/103219200
-6,-3/4,1372781/6451200
-5,-5/8,18106271/103219200
-4,-1/2,28933/201600
-3,-3/8,11976071/103219200
-2,-1/4,593681/6451200
-1,-1/8,7303871/103219200
0,0,1301/25200
1,1/8,3528071/103219200
2,1/4,116981/6451200
3,3/8,346271/103219200
4,1/2,-1021/100800
5,5/8,-2284729/103219200
6,3/4,-208519/6451200
7,7/8,-4148929/103219200
8,1,-2273/50400
9,9/8,-4771129/103219200
10,5/4,-274819/6451200
11,11/8,-3416929/103219200
12,3/2,-3317/201600
13,13/8,907271/103219200
14,7/4,285281/6451200
15,15/8,9454271/103219200
16,2,3851/25200
17,17/8,23736071/103219200
18,9/4,2098181/6451200
19,19/8,45523871/103219200
20,5/2,29227/50400
21,21/8,76848071/103219200
22,11/4,6049481/6451200
23,23/8,119998271/103219200
24,3,71677/50400
25,25/8,177523271/103219200
26,13/4,13283981/6451200
27,27/8,252231071/103219200
28,7/2,580033/201600
