N,block_index_n,atom_amplitude_exact,log10_abs_atom_amplitude
0,0,1/2,-0.3010299956639812
1,0,-71/18,0.5959858436157692
1,1,10,1.0
1,2,-20,1.3010299956639813
2,0,49849/4050,1.0902014273199072
2,1,-658/9,1.8639833841746307
2,2,5012/9,2.7457685528827875
2,3,-4928,3.692670699156369
2,4,39424,4.595760686148313
3,0,335695817/16074450,1.319809807552942
3,1,-900892/6075,2.171126448092315
3,2,9375944/6075,3.1884687224868977
3,3,-645568/27,4.3785782306531456
3,4,14829056/27,5.739749741081137
3,5,-51544064/3,7.235057402863342
3,6,1649410048/3,8.740207381183248
4,0,-10073844103559/61484771250,2.2144276640954583
4,1,95165194564/40186125,3.374402009054222
4,2,-2076407782328/40186125,4.713236517141594
4,3,10459244224/6075,6.2359540216485865
4,4,-529906437632/6075,7.940652913354701
4,5,885953429504/135,9.817077125129066
4,6,-93946047889408/135,11.84254474647987
4,7,279874296086528/3,13.969841759572217
4,8,-35823909899075584/3,16.077051729220084
5,0,55393060044697167547/193036788514473750,2.4578152735164935
5,1,-8638131260746/1345431465,3.8075582189694557
5,2,1510393224185716/6727157325,5.351258444207494
5,3,-1300652115909952/106780275,7.085670116795411
5,4,109745754266610176/106780275,9.011896692693398
5,5,-490745722175488/3645,11.129158989894815
5,6,3056413733568905216/112995,13.432152915969052
5,7,-20350038881614168064/2511,15.908718530629857
5,8,8612125240751892201472/2511,18.53526362415752
5,9,-512624662519917114818560/279,21.26419529310966
5,10,262463827210197562787102720/279,23.973465254085486
6,0,-11050086715125788199347967343/9711116197556769526781250,3.056096535475572
6,1,10769015154348861169322/357685814012113125,4.478674271941902
6,2,-477651170470933243455796/357685814012113125,6.1256091301428715
6,3,149901953141343291008/1513610398125,7.99579318894479
6,4,-18259319289797602653184/1513610398125,10.081470480373202
6,5,16022110437972571193344/6727157325,12.37688813648556
6,6,-5076922953071455687933952/6727157325,14.8777689881893
6,7,13499917048217208621105152/35593425,17.57896131965327
6,8,-10557639177799867024745168896/35593425,20.472197035014634
6,9,7897660316434608152782045184/22599,23.54340922835862
6,10,-13239518606253195800450676293632/22599,26.767782972132046
6,11,3138872840273468220151899873083392/2511,30.096927009522275
6,12,-6428411576880062914871090940074786816/2511,33.40825696182607
7,0,115452043715205840899381726589474833/32178885192786323100510432281250,3.5548306308389415
7,1,-28804559495199239319400266344/210070927133521562233125,5.137095285825962
7,2,18828920511223151305886974292432/2310780198468737184564375,6.91106678468016
7,3,-8174225012510985722284037504/10335038255662168125,8.898134499868135
7,4,1339627828714747961808310868992/10335038255662168125,11.112672072234632
7,5,-146283458754989164848939008/4081889572425,13.554333968784576
7,6,1496889424852262146285764608/90708657165,16.217540982444046
7,7,-16997815821918227828338218500096/1360629857475,19.0966531223488
7,8,20898451451008221276309495488708608/1360629857475,22.186374109800223
7,9,-1243388699023475996151308909281280/41137713,25.480366771843446
7,10,3833667241294589243050022190639480832/41137713,28.96937426985788
7,11,-220976101273627557999370879739304607744/507873,32.638590181870654
7,12,4421227179137130584025965483540371510132736/1523619,36.46266645133984
7,13,-12548300852887399906008394950336856064629145600/507873,40.39282979752649
7,14,102795680586853580030020771433159524881441960755200/507873,44.306219741158245
8,0,-218959742826883036573983238430969978048674429/24388772083428495729992915391515627343750,3.953174339142143
8,1,43570210141499523952124388816151830392/161103379763884773444763268109375,5.4320850030525305
8,2,-1118076898063014067919297096330286491344/56131041818186097535053265359375,7.299268571081845
8,3,22175000237917719999173598192253290368/8141773134766058676904640625,9.435144636285766
8,4,-289923320832197027380884198418288028672/478927831456826980994390625,11.78201307501051
8,5,29692412110752829143439331731898368/132415783398791825625,14.350705725392274
8,6,-18732229446304950702064525216116113408/132415783398791825625,17.15064971445891
8,7,28973248422376804469426830519385980928/191076166520623125,20.18079067052364
8,8,-364625008216891977908907624155502585315328/1337533165644361875,23.4355418922681
8,9,283529902028742633515129527228896206913536/349681873371075,26.908925747659975
8,10,-1376513841268173203936847668599230082324627456/349681873371075,30.595107462556342
8,11,188744459678288691061609671894519418917486592/6146739675,34.48722939200757
8,12,-99478963229225253084854589596409007209596120465408/264309806025,38.57561797442848
8,13,6169628066948674678615439599694979407790978629632/881253,42.84515837514283
8,14,-7060737423200274885367030683306758953170541614051885056/37893879,47.27028099709711
8,15,26691987695475111459644322565743161545521685276766127521792/4210431,51.802054361390354
8,16,-874643052805328452309625161834271917523654583149072466634080256/4210431,56.31750429635007
9,0,-17493301646961525457505363115713799128604449673582356699/1005582521454372875376589617537865568085336256406250,4.240454068943987
9,1,-65186785174710650837622498340327466056197428006/1085457704629235340602297592441100356328125,4.778546657778953
