N,degree,top_legendre_coefficient_exact,max_block_index,top_block_is_max,log10_max_abs_atom_amplitude,S_N_0,S_N_1
0,0,1/2,0,True,-0.3010299956639812,0.5,0.5
1,2,-5/6,2,True,1.3010299956639813,0.9166666666666666,-0.3333333333333333
2,4,11/30,4,True,4.595760686148313,1.0541666666666667,0.03333333333333333
3,6,143/5670,6,True,8.740207381183248,1.0462852733686068,0.05855379188712522
4,8,-7291/85050,8,True,16.077051729220084,1.0228445583480306,-0.02717225161669606
5,10,99137/2485890,10,True,23.973465254085486,1.0130303686237265,0.01270763043761849
6,12,-5726162257/213774110550,12,True,33.40825696182607,1.0069878142765278,-0.014078411343903497
7,14,27288832157947/1167420417713550,14,True,44.306219741158245,1.0020913227715385,0.009296914069192768
8,16,-144048691053129139/11591954102251136250,16,True,56.31750429635007,0.9996509774834884,-0.0031296957829938586
9,18,245262858648906702103531/100278737599471847129463750,18,True,69.21020639327536,0.9991973514607274,-0.0006838845919064422
10,20,190920333865973179103798951/82729958519564273881807593750,20,True,84.08440900601427,0.9996039707869834,0.001623868697016381
11,22,-45956358119729097218525273579033/23132967547232266175685815725893750,22,True,100.20987600976767,0.9999380961997207,-0.0003627488014042888
12,24,-288790922470991027558048162741110956139/831657364559867966928661506179358237656250,24,True,116.92612102151807,0.9998821267616842,-0.0007099962794853923
13,26,69634382881546891226009066389155697684816028851/55811580141189234690704075791564205398794722343750,26,True,136.23187736884125,0.9996887617385528,0.0005376728011138212
14,28,-532451572082897253165210832605946532352284232646967/1078681468030030704536030877346318859380727031747656250,28,True,155.85045317292264,0.9996149932074618,4.4059451979993586e-05
15,30,-28527496961544077794027916352456706342142370756766540750813723/92426387392326734717272474641404839989977251031901762368617031250,30,True,176.93403057768728,0.9996595823039346,-0.00026459154873966065
16,32,3011717718122044103681662943749591151476897522194584615537451666454349/5654819245655892586393537751973655849168951865755314402080796062660156250,32,True,199.72051853612192,0.9997341186733291,0.00026800155234587555
