N,pair_r,alpha_Nr,raw_amplitude_alpha_over_M,abs_raw_float
0,0,1/2,1/2,0.5
1,0,-2084/9,-521/9,57.888888888888886
1,1,2804/9,701/9,77.88888888888889
2,0,312679933952/516375,19542495872/516375,37845.54998208666
2,1,-158297919488/172125,-9893619968/172125,57479.27359767611
2,2,163507263488/516375,10219203968/516375,19790.276384410554
3,0,43841937253640166178816/1404609552675,685030269588127596544/1404609552675,487701559.6850569
3,1,-205662819507968995753984/4213828658025,-3213481554812015558656/4213828658025,762603754.3534478
3,2,92583419494731923587072/4213828658025,1446615929605186306048/4213828658025,343302029.3433592
3,3,-18446692221048882987008/4213828658025,-288229565953888796672/4213828658025,68400874.67841668
4,0,-1273781821212474496245593165168562405376/528150163410839694375,-4975710239111228500959348301439696896/528150163410839694375,9421014294453038.0
4,1,693684128722047061739847499778273312768/176050054470279898125,2709703627820496334921279296008880128/176050054470279898125,1.5391665943948562e+16
4,2,-1111542213917871163424976268095058345984/528150163410839694375,-4341961773116684232128813547246321664/528150163410839694375,8221074372250342.0
4,3,355063863978704668781302927877088477184/528150163410839694375,1386968218666815112426964562019876864/528150163410839694375,2626086887315633.5
4,4,-50792215109254704013220378465661878272/528150163410839694375,-198407090270526187551642103381491712/528150163410839694375,375664165261629.25
