N,sigma_N,alternating_sign_holds
0,1,True
1,0,True
2,2,True
3,-8,True
4,32,True
5,-128,True
6,512,True
7,-2048,True
8,8194,True
9,-32800,True
10,131380,True
11,-526608,True
12,2112248,True
13,-8477760,True
14,34046096,True
15,-136795584,True
16,549875680,True
17,-2211138560,True
18,8894072896,True
19,-35784591616,True
20,144006624128,True
21,-579619535872,True
22,2333260712192,True
23,-9393575799808,True
24,37821227113984,True
25,-152288971923456,True
26,613228038538240,True
27,-2469391630782464,True
28,9944136172746752,True
29,-40045048607621120,True
30,161261808076427264,True
31,-649399628573425664,True
32,2615096670980399106,True
33,-10530681715508641920,True
34,42404939468136009924,True
35,-170752133413798578192,True
36,687550071343671119392,True
37,-2768407528020951748608,True
38,11146599379258090565440,True
39,-44878753588440270458624,True
40,180686074057351798309940,True
41,-727434118710861808627776,True
42,2928514828603655182784712,True
43,-11789237817466849302438816,True
44,47457887506497930709959920,True
45,-191036053694460465486742656,True
46,768964819892480602696786208,True
47,-3095150544359165726339732352,True
48,12457797433106035563569996408,True
49,-50140073852918149721383161088,True
50,201796183894405214742599662960,True
51,-812129491330388515941836048320,True
52,3268301091699710406682285490880,True
53,-13152350882584625244047140688384,True
54,52926037430273055089736077165184,True
55,-212970848660438486208171651702272,True
56,856950748152313001744724658202256,True
57,-3448074311339495025559438898863872,True
58,13873389025341032298881510954938272,True
59,-55817945441365808871763739312639104,True
60,224569415041684140632325797433358912,True
61,-903468452724663789098283286285669888,True
62,3634637868231161679085502727483954048,True
63,-14621610737206921152475173663324865024,True
64,58818690397887505898114972981121728992,True
65,-236603787011631439650074179720599498752,True
66,951731372037247567200730501137052829632,True
67,-3828190804932036637967569082010548272896,True
68,15397825938770404713208517225671645491200,True
69,-61931559658987100835335923350043272712192,True
70,249087279744663382595331285142013470472192,True
71,-1001793344647715842396350584846819898597376,True
72,4028950497254133172592416912422060435040320,True
73,-16202911232673330249873705764332724677420032,True
74,65160084674272166836840596157553122911266432,True
75,-262034107773548764015611412545458148458717696,True
76,1053711544809601760782256402353714962016556800,True
77,-4237146774909950304163820170951570138692077568,True
78,17037790021522641099553535890618490704593117696,True
79,-68507973874597245727384571416103157537993029632,True
80,275459158978622950368543071136363275289889237888,True
81,-1107545723358277291706147492365157777247197016064,True
82,4453019380107711356425376526593908199010616471296,True
83,-17903424033102931808144196597210421987438577622016,True
84,71979084547064746687338106788518456537097888314368,True
85,-289377901802571749309599643385051415311426690310144,True
86,1163357903865600555038194949917321974481978227447808,True
87,-4676816981806039430353827497802001237642040511176704,True
88,18800810160677206717571143985520203818324662485166336,True
89,-75577412866639075040650051930493455679666074758426624,True
90,303806354475406307482067432215452351980190207240657408,True
91,-1221212290516732947480715307163623329280108728984586240,True
92,4908796912590340896453722569327112579633985132669654016,True
93,-19730979768520677655428242444323200734934046280112988160,True
94,79307092333230406698238713518449652128447255149422467072,True
95,-318761082879285514932018668131238437386313190413249126400,True
96,1281175273491257475171798659907312527726402962149486706176,True
97,-5149225237177510752803151272755441612956950553443172253696,True
98,20694999124065489201588411218232224973860723457077334834176,True
99,-83172396030844019607408334390898642841929822129971951628288,True
100,334259211358779883657186165190291066671162674017868156149760,True
101,-1343315478107147662944942438766555322753382594425733627904000,True
102,5398376968531751862880397656377440480105610486413170716000256,True
103,-21693970326622661126806262979991909670744384893910699402002432,True
104,87177740552086915821766836292527765665786710825189265830462464,True
105,-350318439095824945109573699180365928082596952469086187342479360,True
106,1407703832478650864675006614170973636585123905553460346343614464,True
107,-5656536345261526138770200713406636712168507652046808043233222656,True
108,22729032437703784320930249122492901402995080452551815777432317952,True
109,-91327690580995438182894428575663799641398237285907667350348005376,True
110,366957058615075756201407800482674183959324737645535755338755383296,True
111,-1474413641991662972290103752038482332424445121043733984228666605568,True
112,5923997130526965647198451623361282848272270604738067722250580539392,True
113,-23801362677980821830380307494137040299038868718214002689986368962560,True
114,95626963677297022907419984833682014240791769722192985363066961457152,True
115,-384193974877491717666494095003839955739475137076318616927953843765248,True
116,1543520665409702902689222731531550624564643443363238259823104871219200,True
117,-6201062915087977400877617321516638449937150434904090083184351545786368,True
118,24912177633025307995061948895639915710286383945158189998728906938286080,True
119,-100080435070640438214211633693292705020660802760191392473005865592815616,True
120,402048724333722266324338672797984815037770582594986057878796174771195904,True
121,-1615103190569102613572988615196697360358360715847459475560784813452886016,True
122,6488047417949746229536114418471463791459510721287551288482370295610056704,True
123,-26062734447220449057971826080850106341850485231938679675347273892623581184,True
124,104693142401448657178588045834096603690292517409025307581771393526974398464,True
125,-420541493749214004519656691281020476342513986264306367287422524100685725696,True
126,1689242109134204412123465144677758075193625159502166158265290912562092670976,True
127,-6785274783249366624498867111430583114169734069797476150163204874897026318336,True
128,27254332003006736328473521818286807065053810426772365174650411349496028585986,True
