N,dimension,det_C,log10_abs_det_C,cond2_C,cond2_D,max_abs_C,max_abs_D
0,1,1,0.0,1.0,1.0,1.0,1.0
1,2,3/2,0.17609125905568124,1.6255730691001389,1.6255730691001393,1.5,1.0
2,3,105/16,0.8170693164140133,4.654174832569642,4.654174832569644,4.375,1.0
3,4,24255/256,1.976561313650233,15.79589500870684,15.795895008706843,14.4375,1.0
4,5,156080925/32768,3.6778998952427697,84.53657767229922,84.53657767229922,62.5625,1.0
5,6,7209221844825/8388608,5.934198489727085,540.9473780274077,540.9473780274072,474.8046875,1.0
6,7,4873715126753648175/8589934592,8.753870283757063,3939.4778285707553,3939.477828570726,2946.9544270833335,1.0
7,8,24439610031740675297150625/17592186044416,12.14277446263299,127091.09722084337,127091.09722084622,19365.700520833332,3.5251315656904736
8,9,7345085164663298743237331781871875/576460752303423488,16.10522709153054,6036001.44138613,6036001.4413911505,166589.03743489584,21.43047360935244
9,10,16664410414835553759799686482869338222421875/37778931862957161709568,20.644540278174674,385774436.8204585,385774436.7963023,1239206.533203125,166.11077806679083
10,11,574282782629234329227721710046953166892851140596484375/9903520314283042199192993792,25.76333619929549,31931836563.45662,31931836569.673084,10875409.048704118,1598.908264472367
11,12,151043475976551246138137319750792558875327537150660349514083984375/5192296858534827628530496329220096,31.463742457159505,3323694188925.802,3323694221431.9517,96994544.37177175,18711.407287204194
12,13,1217697538052415083550022920942305123933021470184621691646876997463493212890625/21778071482940061661655974875633165533184,37.747520009005385,425350771623404.8,425343507655242.2,789488737.0664682,261629.07690419396
