n,m,atom_count,abs_u_n,block_l1_variation,max_abs_atom_coefficient,central_atom_coefficient,variation_over_abs_u_n
0,1,3,0.5,1.5,0.5,0.5,3
1,4,15,0.83333333333333337,4.3836805555555554,0.81814236111111116,0.1388888888888889,5.2604166666666661
2,16,63,0.36666666666666664,9.0569951410646787,0.86208441484121612,0.02274691358024691,24.700895839267307
3,64,255,0.025220458553791889,3.1051495973898771,0.12504546302219599,-0.00099108173218990397,123.12026725315106
4,256,1023,0.085726043503821278,45.548785070428302,0.70258730764075172,-0.003514810954992168,531.32960776847176
5,1024,4095,0.039879882054314551,81.851665605059324,0.43605867356792738,-0.0027454209006432897,2052.4550572537087
6,4096,16383,0.026786041781521986,230.70583698870959,0.34677319538665691,-0.0047627278225444341,8612.9126083816955
7,16384,65535,0.023375325413096264,1010.3516164046157,0.28812249396840595,-0.01558377734636939,43222.996837449624
8,65536,262143,0.012426609852186625,7921.3504973878244,0.19169009418572078,-0.042691261441013241,637450.64757094299
9,262144,1048575,0.0024458111910874163,37572.408095672341,0.056943882133025814,-0.056914527605545204,15361941.360227203
