degree,node_kind,sampled_sup_error,sampled_peak_location_abs,sampled_peak_value,arithmetic
4,chebyshev,0.08543887915364501,0.28875732421875,0.800353610045993,double barycentric/Fourier
8,chebyshev,0.035754428539993444,0.223876953125,0.9181946641471216,double barycentric/Fourier
16,chebyshev,0.0025512487781620685,0.64215087890625,0.2247458934881941,double barycentric/Fourier
32,chebyshev,0.00043714350746892894,0.24395751953125,0.9368891332511555,double barycentric/Fourier
64,chebyshev,4.90816362838653e-06,0.6893310546875,0.1447742197004527,double barycentric/Fourier
128,chebyshev,2.600232008598269e-07,0.20703125,0.9661445425698637,double barycentric/Fourier
4,equispaced,0.07197243764862149,0.2689208984375,0.8382302284348907,double barycentric/Fourier
8,equispaced,0.20217024850197918,0.92218017578125,0.20243231653461924,double barycentric/Fourier
16,equispaced,0.19693431739085995,0.96588134765625,-0.19693321578013476,double barycentric/Fourier
32,equispaced,449.7399912210897,0.9859693767872711,-449.73999122029477,exact dyadic data; 140-digit barycentric evaluation
64,equispaced,10462889426.83523,0.9938615424207199,10462889426.83523,exact dyadic data; 140-digit barycentric evaluation
