x,degree_n,conditional_probability_given_active
0.5,1,0.98372048243191945
0.5,2,0.016164511991923237
0.5,3,0.00011455214717405872
0.5,4,4.5228883285425494e-07
0.5,5,1.1381655382850296e-09
0.5,6,1.9847126100994348e-12
0.5,7,2.539525296458247e-15
0.5,8,2.4858834869492762e-18
0.5,9,1.9216508342813377e-21
0.5,10,1.2027969636507412e-24
0.5,11,6.2202490764530492e-28
0.5,12,2.7024545702948178e-31
0.5,13,1.0002704334338877e-34
0.5,14,3.1919363896916729e-38
0.5,15,8.8720167198776366e-42
0.5,16,2.1671989265188052e-45
0.5,17,4.6890964442741415e-49
0.5,18,9.0491744144678461e-53
0.5,19,1.5672809846447531e-56
0.5,20,2.4497133269863579e-60
0.5,21,3.4728878666434715e-64
0.5,22,4.4858747901608149e-68
0.5,23,5.3013015676846737e-72
0.5,24,5.7536269434412161e-76
0.5,25,5.7548648243353528e-80
0.5,26,5.3217516811623883e-84
0.5,27,4.5633817165750825e-88
0.5,28,3.6385194341704437e-92
0.5,29,2.7044409971549838e-96
0.5,30,1.8783614803432507e-100
1.0,1,0.93910585649799272
1.0,2,0.059228094796534167
1.0,3,0.001640271233590997
1.0,4,2.5521460540501929e-05
1.0,5,2.5424245694868759e-07
1.0,6,1.7598934595868536e-09
1.0,7,8.954939213506265e-12
1.0,8,3.4901506574041246e-14
1.0,9,1.0751571303395736e-16
1.0,10,2.6835252932617511e-19
1.0,11,5.5367066334381173e-22
1.0,12,9.6006239471423653e-25
1.0,13,1.4186926364310275e-27
1.0,14,1.8078477737862949e-30
1.0,15,2.0070318035049008e-33
1.0,16,1.9585176978044912e-36
1.0,17,1.6930723364039265e-39
1.0,18,1.3055827301880793e-42
1.0,19,9.0363976804854826e-46
1.0,20,5.644878373470371e-49
1.0,21,3.1985542515454005e-52
1.0,22,1.6514382781031787e-55
1.0,23,7.8014450200292647e-59
1.0,24,3.3848056525090319e-62
1.0,25,1.3534627525479495e-65
1.0,26,5.0038287329539821e-69
1.0,27,1.7154850676580928e-72
1.0,28,5.4687897748879164e-76
1.0,29,1.6252610080487745e-79
1.0,30,4.5135196306392e-83
2.0,1,0.8059720810913229
2.0,2,0.17516192960922899
2.0,3,0.017779825725307289
2.0,4,0.0010450655375539282
2.0,5,4.0001274206740619e-05
2.0,6,1.0750466546505831e-06
2.0,7,2.1384349103129117e-08
2.0,8,3.273633067477773e-10
2.0,9,3.9746006425488653e-12
2.0,10,3.9198182806199682e-14
2.0,11,3.2017876791375378e-16
2.0,12,2.2012966161706935e-18
2.0,13,1.2913034881288428e-20
2.0,14,6.538609042062821e-23
2.0,15,2.8867401360652714e-25
2.0,16,1.1209812544298114e-27
2.0,17,3.8583797291241342e-30
2.0,18,1.185213987093245e-32
2.0,19,3.2690774317711331e-35
2.0,20,8.1408979222229452e-38
2.0,21,1.8394571920370508e-40
2.0,22,3.7881779834507747e-43
2.0,23,7.1396198010950448e-46
2.0,24,1.2361011203214534e-48
2.0,25,1.9727182922843971e-51
2.0,26,2.91131675915806e-54
2.0,27,3.9847829002739251e-57
2.0,28,5.0721928495114202e-60
2.0,29,6.0195642215121572e-63
2.0,30,6.6763711795961248e-66
4.0,1,0.56300336280126184
4.0,2,0.31799220740803086
4.0,3,0.097422179163532546
4.0,4,0.018825919189045213
4.0,5,0.0024970192993383654
4.0,6,0.00024067991544814534
4.0,7,1.7579403769806966e-05
4.0,8,1.0049025708994487e-06
4.0,9,4.6125157644194899e-08
4.0,10,1.7358642365953549e-09
4.0,11,5.4498369870708499e-11
4.0,12,1.4483820528794001e-12
4.0,13,3.2993544087988377e-14
4.0,14,6.5117122197023135e-16
4.0,15,1.123973998326624e-17
4.0,16,1.7107797132407325e-19
4.0,17,2.3130305715893834e-21
4.0,18,2.7960646274893649e-23
4.0,19,3.0396914633514285e-25
4.0,20,2.987564874314702e-27
4.0,21,2.6673839604888548e-29
4.0,22,2.1728167810894293e-31
4.0,23,1.621276175941872e-33
4.0,24,1.1121719072517698e-35
4.0,25,7.0376406167143047e-38
4.0,26,4.1206949689600213e-40
4.0,27,2.2389838851006951e-42
4.0,28,1.1319542784540017e-44
4.0,29,5.3380786545985443e-47
4.0,30,2.3535762985684086e-49
