theta,n,t,TV_to_n34_reference,coupling_bound
0.37,4,20.677645290199877,0.040347023476667333,0.096722812186479504
0.37,6,82.710581160799507,0.0098220671339686108,0.024180703114179979
0.37,8,330.84232464319786,0.0024391990053262711,0.0060451758461051025
0.37,10,1323.3692985727914,0.00060878363437015916,0.0015112940290863794
0.37,12,5293.4771942911657,0.00015213243554038444,0.00037782357483169863
0.37,14,21173.908777164663,3.8029117256548653e-05,9.445596126802845e-05
0.37,16,84695.635108658753,9.5070043524983581e-06,2.3614057877110871e-05
0.37,18,338782.54043463501,2.376708403408777e-06,5.9035820293815066e-06
0.37,20,1355130.16173854,5.9414893335551223e-07,1.475963067449166e-06
0.37,22,5420520.6469541602,1.485099732818247e-07,3.6905832696608074e-07
0.37,24,21682082.587816641,3.7100290076885592e-08,9.2332141845309438e-08
