k,t,A_k_exact,leading_term,first_corrected,relative_error_leading,relative_error_corrected,jmax
1,0.5,0.027685706864745340282322091368885841,0.027777777777777777777777777777777778,0.027685185185185185185185185185185185,0.0033145528691677498364,0.000018843275082525247754,89
1,0.25,0.0069386655963461982167703691326285222,0.0069444444444444444444444444444444444,0.0069386574074074074074074074074074074,0.00083215412614745678507,1.1801906781083051875e-6,88
1,0.125,0.0017357495493965821580495563721077915,0.0017361111111111111111111111111111111,0.0017357494212962962962962962962962963,0.00020825954756867696346,7.3801139893847762754e-8,87
1,0.0625,0.00043400517416649825496267431122526919,0.00043402777777777777777777777777777778,0.00043400517216435185185185185185185185,0.000052078720388020565998,4.6131855828497750388e-9,86
1,0.03125,0.00010850553162489112588137597250327656,0.00010850694444444444444444444444444444,0.00010850553159360532407407407407407407,0.000013020545003383877239,2.8833370380119587399e-10,85
1,0.015625,0.000027126647808422515586778120910845002,0.000027126736111111111111111111111111111,0.000027126647807933666087962962962962963,3.2551903123854090114e-6,1.8021006586452797867e-11,84
1,0.0078125,0.0000067816785088368257718038333690076571,0.0000067816840277777777777777777777777778,0.0000067816785088291874638310185185185185,8.1380095701899289395e-7,1.1263152570370892606e-12,83
1,0.00390625,0.0000016954206620102768985198238912856503,0.0000016954210069444444444444444444444444,0.0000016954206620101575498227719907407407,2.0345045043860744339e-7,7.0394740211786747016e-14,82
1,0.001953125,0.0000004238552301777200450211752720716207,0.00000042385525173611111111111111111111111,0.00000042385523017771818019725658275462963,5.0862625808661721265e-8,4.3996718358469124445e-15,81
2,0.5,0.0001535903776727049921559376721731806,0.00015432098765432098765432098765432099,0.0001535861258083480305702527924750147,0.0047343526808716508295,0.000027683909172025482297,89
2,0.25,0.0000096335961976890744193965199883443904,0.0000096450617283950617283950617283950617,0.0000096335795120517342739564961787184009,0.001188746223596764197,1.7320288184959172184e-6,88
2,0.125,0.00000060263701364803184569876602484989755,0.00000060281635802469135802469135802469136,0.00000060263694839432686654908877131099353,0.00029751079955293180723,1.0828029239330982548e-7,87
2,0.0625,0.000000037673219356039824421658950945639397,0.00000003767602237654320987654320987654321,0.000000037673219101068764697236919459141681,0.000074397994442497014374,6.7679658337768292418e-9,86
2,0.03125,0.0000000023547075983507151854968303389811159,0.0000000023547513985339506172839506172839506,0.0000000023547075973546624113572898295120517,0.000018600767479191829253,4.230048670410420319e-10,85
2,0.015625,0.00000000014717127801883643690100753131172522,0.00000000014717196240837191358024691358024691,0.00000000014717127801494553536264283877131099,4.6502711812569237775e-6,2.6437913639436927137e-11,84
2,0.0078125,9.198236956891156341990818842208726e-12,9.1982476505232445987654320987654321e-12,9.1982369568759574391153684298758083e-12,1.1625727523925130131e-6,1.6523713127534486392e-12,83
2,0.00390625,5.7489031106952329633479496699270249e-13,5.7489047815770278742283950617283951e-13,5.7489031106946392555330726134643914e-13,2.9064349791727243527e-7,1.0327323377090605036e-13,82
2,0.001953125,3.5930652274102923914396771361797037e-14,3.5930654884856424213927469135802469e-14,3.5930652274102691997216027810389963e-14,7.2660893843041988371e-8,6.4545775282434154236e-15,81
3,0.5,0.00000020305390718996115075288251491731917,0.00000020412829054804363446338754980730289,0.00000020304761136278928581034608630832305,0.0052632751452431177997,0.000031006654693494819916,89
3,0.25,0.000000003185289313412864055902940434465595,0.0000000031895045398131817884904304657391077,0.0000000031852831367457819890644872489462177,0.0013215928517112661644,1.9391265444544370959e-6,88
3,0.125,4.9819524617724383858109951203894734e-11,4.9836008434580965445162976027173558e-11,4.9819518578848934978655385336576331e-11,0.00033076117799882917963,1.2121505026833563132e-7,87
3,0.0625,7.7862322419041878994186727790563828e-13,7.7868763179032758508067150042458684e-13,7.7862321829137434107087622428944143e-13,0.000082713012611631894911,7.5762503741103005396e-9,86
3,0.03125,1.2166742637254784450035607796939491e-14,1.2166994246723868516885492194134169e-14,1.2166742631493582407472229396731258e-14,0.000020679673548116962368,4.7352049904059953911e-10,85
3,0.015625,1.9010830223869341601235154982377938e-16,1.901092851050604455763358155333464e-16,1.9010830223306714046144025773099127e-16,5.1700071697518652357e-6,2.9595107024908597242e-11,84
3,0.0078125,2.9704537404283400485679608890196975e-18,2.9704575797665694621302471177085375e-18,2.9704537404228456140251863450430878e-18,1.2925073414834871906e-6,1.849695374145906881e-12,83
3,0.00390625,4.641338468642159222891874312468635e-20,4.6413399683852647845785111214195898e-20,4.6413384686416226564124717570971485e-20,3.2312718218817560071e-7,1.1560597940179784274e-13,82
3,0.001953125,7.2520931147646684186741156680496987e-22,7.252093700601976225903923627218109e-22,7.2520931147646160195890645005296554e-22,8.078181722315599349e-8,7.2253740019536769745e-15,81
4,0.5,6.6345553185456784018438176822235761e-11,6.6708591682367200805028611048138201e-11,6.6343422461036549461423371339565792e-11,0.0054421550171381779177,0.000032116588822138775473,89
4,0.25,2.6022434828932457261057492587215135e-13,2.6058043625924687814464301190678985e-13,2.602238256915411639419035200038871e-13,0.0013665184348990800518,2.0082626255296662319e-6,88
4,0.125,1.0175442043649392149233381237808035e-15,1.0178923291376831177525117652608978e-15,1.0175440766301580062263989801994694e-15,0.00034200549781018582167,1.2553243062622053233e-7,87
4,0.0625,3.9758018515489557663818570075572729e-18,3.9761419106940746787207490830503822e-18,3.9758018203546946869960295663888309e-18,0.000085524901463980109902,7.8460301818069196974e-9,86
4,0.03125,1.5531472226793015073511570836581017e-20,1.5531804338648729213752926105665555e-20,1.5531472219176678440584254702675759e-20,0.000021382696335397826306,4.9038085543001133891e-10,85
4,0.015625,6.0670786364284164680688511442863463e-23,6.0671110697846598491222367600256076e-23,6.0670786362424673908049836933273853e-23,5.3457660277401533459e-6,3.0648865526989701688e-11,84
4,0.0078125,2.3699620943010678142002340444697672e-25,2.369965261634632753563373734385003e-25,2.3699620942965280213058294895902547e-25,1.3364472535579541304e-6,1.9155550653446607937e-12,83
4,0.00390625,9.2576737101577746401375252880268677e-28,9.2576768032602841936069286499414178e-28,9.2576737101566662910116705983840464e-28,3.3411217255544811937e-7,1.1972220673955176681e-13,82
4,0.001953125,3.6162796992126753866398557710618264e-30,3.6162800012735485131277065038833663e-30,3.6162796992126483273273883347859668e-30,8.3528065586766181546e-8,7.4826381580295748499e-15,81
