degree,M,atoms,max_UB_minus_I,max_UD_minus_V,max_P2_minus_P,trace_error,row_sum_error,gauss_inverse_error,weighted_singular_error,moment_transmutation_error,norm_B_weighted_2,norm_D_weighted_2,smallest_singular_U,max_column_l1_B
1,2,7,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.6201851746019653,1.620185174601965,1.1949042138516508,2.915063509461097
2,4,15,1.2268609038960385e-11,1.1041778602560726e-11,1.437394647751944e-11,1.226840851131783e-11,1.1102230246251565e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,2.928308871916395,2.9283088719163954,1.3582655552775214,5.537037037037036
3,8,31,3.91798482546335e-10,3.684226812517011e-10,3.2988267673061955e-10,3.61064955711754e-10,1.6653345369377348e-16,5.551115123125783e-16,2.6645352591003757e-15,2.7755575615628914e-16,6.005668814363772,6.005668814363769,1.1408607006776623,9.94151560852041
4,16,63,1.0123060661499683e-09,9.96914245599001e-10,5.043366835266738e-10,6.162776955420668e-10,5.551115123125783e-16,4.440892098500626e-16,1.7763568394002505e-15,4.440892098500626e-16,12.436557665538958,12.436557665538956,0.7870156723799306,21.353365123607496
5,32,127,1.9534480039058314e-09,2.0015757384861388e-09,7.191092166181079e-10,1.2356888845488356e-09,6.661338147750939e-16,6.106226635438361e-16,1.4210854715202004e-14,6.661338147750939e-16,24.855630957467678,24.855630957467664,0.7172337225231267,43.80601968276501
6,64,255,3.2404824970722405e-09,3.4317629571400943e-09,8.80963968441506e-10,1.5295231747813887e-09,7.771561172376096e-16,1.1379786002407855e-15,1.4210854715202004e-14,1.0547118733938987e-15,47.13362493897295,47.133624938972964,0.6983850702606659,91.71810764104494
7,128,511,7.122255636884679e-09,7.642497912296875e-09,9.358089858579888e-10,5.898748156596412e-10,1.1102230246251565e-15,1.7763568394002505e-15,5.684341886080802e-14,3.552713678800501e-15,84.23168743821624,84.23168743821618,0.7678465645531155,180.7278173453014
8,256,1023,1.0646432705224485e-08,1.1493710788679223e-08,2.471251203672864e-09,4.48675940845078e-09,1.5543122344752192e-15,1.2212453270876722e-15,5.684341886080802e-14,3.774758283725532e-15,141.92448047946635,141.92448047946633,0.5656418740520149,348.14453295948823
9,512,2047,4.164045621393826e-09,4.529289526766789e-09,1.6184907858374231e-09,5.293200544542742e-09,2.4424906541753444e-15,7.771561172376096e-16,1.9895196601282805e-13,3.885780586188048e-15,227.65567445090267,227.65567445090247,0.4160472678586486,644.9139328439575
10,1024,4095,1.6471074972269898e-08,1.805914420782706e-08,2.0717913773449226e-09,4.5933603587400285e-09,4.440892098500626e-15,1.1102230246251565e-15,1.7053025658242404e-13,6.217248937900877e-15,354.2643875584956,354.2643875584958,0.3509036204183303,1212.1472115730123
