ell,m,r,T_num,T_den,u_num,u_den,term_decimal,partial_sum_decimal,target
1,1,0,15,8,1,2,0.9375,0.9375,1
1,1,1,-15,128,-5,6,0.09765625,1.03515625,1
1,1,2,-85,1024,11,30,-0.030436197916666668,1.0047200520833333,1
1,1,3,-267,32768,143,5670,-0.00020550117290839948,1.004514550910425,1
1,1,4,11949,262144,-7291,85050,-0.0039075488808714316,1.0006070020295534,1
1,1,5,-128339,4194304,99137,2485890,-0.0012202606637403191,0.99938674136581318,1
1,1,6,-14229,33554432,-5726162257,213774110550,1.1358815089144598e-05,0.99939810018090236,1
1,1,7,36771597,2147483648,27288832157947,1167420417713550,0.00040025824952602123,0.9997983584304283,1
1,1,8,-205974311,17179869184,-144048691053129139,11591954102251136250,0.00014898614040401018,0.99994734457083234,1
1,1,9,-822863721,274877906944,245262858648906702103531,100278737599471847129463750,-7.3216844523326778e-06,0.99994002288638006,1
1,1,10,26133712365,2199023255552,190920333865973179103798951,82729958519564273881807593750,2.7425885792623285e-05,0.9999674487721727,1
1,1,11,-598034699935,70368744177664,-45956358119729097218525273579033,23132967547232266175685815725893750,1.6883436153898765e-05,0.9999843322083265,1
1,1,12,-708839450655,562949953421312,-288790922470991027558048162741110956139,831657364559867966928661506179358237656250,4.3723728922689903e-07,0.99998476944561576,1
1,1,13,66484153364277,9007199254740992,69634382881546891226009066389155697684816028851,55811580141189234690704075791564205398794722343750,9.2093246919971551e-06,0.99999397877030782,1
1,1,14,-377897412930389,72057594037927936,-532451572082897253165210832605946532352284232646967,1078681468030030704536030877346318859380727031747656250,2.5886960301143893e-06,0.99999656746633792,1
2,2,0,945,512,1,2,0.9228515625,0.9228515625,1
2,2,1,-29737,196608,-5,6,0.12604183620876735,1.0488933987087674,1
2,2,2,-291095,2097152,11,30,-0.050895134607950844,0.99799826410081649,1
2,2,3,-28532595,268435456,143,5670,-0.0026807380081326874,0.99531752609268387,1
2,2,4,-400224525,8589934592,-7291,85050,0.0039941706975742952,0.99931169679025811,1
2,2,5,14024279225,549755813888,99137,2485890,0.0010173364014731739,1.0003290331917314,1
2,2,6,1056713175297,17592186044416,-5726162257,213774110550,-0.0016089622513726573,0.99872007094035864,1
2,2,7,44461061340525,4503599627370496,27288832157947,1167420417713550,0.00023076913203610292,0.99895084007239476,1
2,2,8,-9655415628310225,144115188075855872,-144048691053129139,11591954102251136250,0.00083255682191222093,0.99978339689430695,1
2,2,9,-175416180533658285,9223372036854775808,245262858648906702103531,100278737599471847129463750,-4.6516052451608079e-05,0.9997368808418553,1
2,2,10,24659660965325544015,295147905179352825856,190920333865973179103798951,82729958519564273881807593750,0.00019281320550749019,0.99992969404736287,1
2,2,11,-974922865475567680535,37778931862957161709568,-45956358119729097218525273579033,23132967547232266175685815725893750,5.1266638008451612e-05,0.99998096068537135,1
2,2,12,-34890499110889111679985,1208925819614629174706176,-288790922470991027558048162741110956139,831657364559867966928661506179358237656250,1.0021820717758632e-05,0.99999098250608909,1
2,2,13,829757434332275561242545,77371252455336267181195264,69634382881546891226009066389155697684816028851,55811580141189234690704075791564205398794722343750,1.3380456724690266e-05,1.0000043629628137,1
2,2,14,689510408749670154432305,2475880078570760549798248448,-532451572082897253165210832605946532352284232646967,1078681468030030704536030877346318859380727031747656250,-1.3746689311464237e-07,1.0000042254959207,1
2,0,0,61,96,1,2,0.31770833333333331,0.31770833333333331,0
2,0,1,189,512,-5,6,-0.3076171875,0.010091145833333334,0
2,0,2,-945,32768,11,30,-0.0105743408203125,-0.00048319498697916668,0
2,0,3,-24003,1048576,143,5670,-0.00057732264200846355,-0.0010605176289876302,0
2,0,4,-1504629,134217728,-7291,85050,0.0009610197775893741,-9.9497851398256095e-05,0
2,0,5,16122051,4294967296,99137,2485890,0.00014969741281905304,5.0199561420796949e-05,0
2,0,6,3320652699,274877906944,-5726162257,213774110550,-0.00032358781731941328,-0.00027338825589861632,0
2,0,7,28021052493,8796093022208,27288832157947,1167420417713550,7.4465017455773629e-05,-0.00019892323844284269,0
2,0,8,-29195456568669,2251799813685248,-144048691053129139,11591954102251136250,0.00016111580879898786,-3.7807429643854821e-05,0
2,0,9,-363948364621593,72057594037927936,245262858648906702103531,100278737599471847129463750,-1.2353298705767507e-05,-5.0160728349622328e-05,0
2,0,10,75957994989970065,4611686018427387904,190920333865973179103798951,82729958519564273881807593750,3.8010461262465225e-05,-1.2150267087157103e-05,0
2,0,11,-567255773836431189,147573952589676412928,-45956358119729097218525273579033,23132967547232266175685815725893750,7.6363086209188253e-06,-4.5139584662382765e-06,0
2,0,12,-124611815597454934785,18889465931478580854784,-288790922470991027558048162741110956139,831657364559867966928661506179358237656250,2.2907550092887496e-06,-2.2232034569495269e-06,0
2,0,13,1442813456789102981871,604462909807314587353088,69634382881546891226009066389155697684816028851,55811580141189234690704075791564205398794722343750,2.9781045452103426e-06,7.5490108826081594e-07,0
2,0,14,-6232713223547125848141,38685626227668133590597632,-532451572082897253165210832605946532352284232646967,1078681468030030704536030877346318859380727031747656250,7.9526965141007044e-08,8.3442805340182292e-07,0
2,1,0,0,1,1,2,0,0,0
2,1,1,0,1,-5,6,0,0,0
2,1,2,0,1,11,30,0,0,0
2,1,3,0,1,143,5670,0,0,0
2,1,4,0,1,-7291,85050,0,0,0
2,1,5,0,1,99137,2485890,0,0,0
2,1,6,0,1,-5726162257,213774110550,0,0,0
2,1,7,0,1,27288832157947,1167420417713550,0,0,0
2,1,8,0,1,-144048691053129139,11591954102251136250,0,0,0
2,1,9,0,1,245262858648906702103531,100278737599471847129463750,0,0,0
2,1,10,0,1,190920333865973179103798951,82729958519564273881807593750,0,0,0
2,1,11,0,1,-45956358119729097218525273579033,23132967547232266175685815725893750,0,0,0
2,1,12,0,1,-288790922470991027558048162741110956139,831657364559867966928661506179358237656250,0,0,0
2,1,13,0,1,69634382881546891226009066389155697684816028851,55811580141189234690704075791564205398794722343750,0,0,0
2,1,14,0,1,-532451572082897253165210832605946532352284232646967,1078681468030030704536030877346318859380727031747656250,0,0,0
