x,u_plus,u_minus,up
-0.999375,0,0,0
-0.998125,0,0,0
-0.996875,0,0,0
-0.995625,0,0,0
-0.994375,0,0,0
-0.993125,0,0,0
-0.991875,0,0,0
-0.990625,0,0,0
-0.989375,0,0,0
-0.988125,0,0,0
-0.986875,0,0,0
-0.985625,0,0,0
-0.984375,0,0,0
-0.983125,0,0,0
-0.981875,0,0,0
-0.980625,0,0,0
-0.979375,0,0,0
-0.978125,0,0,0
-0.976875,0,0,0
-0.975625,0,0,0
-0.974375,0,0,0
-0.973125,0,0,0
-0.971875,0,0,0
-0.970625,0,0,0
-0.969375,0,0,0
-0.968125,0,0,0
-0.966875,0,0,0
-0.965625,0,0,0
-0.964375,0,0,0
-0.963125,0,0,0
-0.961875,0,0,0
-0.960625,0,0,0
-0.959375,0,0,0
-0.958125,0,0,0
-0.956875,0,0,0
-0.955625,0,0,0
-0.954375,0,0,0
-0.953125,0,0,0
-0.951875,0,0,0
-0.950625,0,0,0
-0.949375,0,0,0
-0.948125,0,0,0
-0.946875,0,0,0
-0.945625,0,0,0
-0.944375,0,0,0
-0.943125,0,0,0
-0.941875,0,0,0
-0.940625,0,0,0
-0.939375,0,0,1.07066063e-07
-0.938125,0,0,6.98158433e-07
-0.936875,0,0,3.54554108e-06
-0.935625,0,0,1.4022887e-05
-0.934375,0,0,4.33005988e-05
-0.933125,0,0,0.000104314057
-0.931875,0,0,0.000197125525
-0.930625,0,0,0.000295680101
-0.929375,0,0,0.000362352969
-0.928125,0,0,0.000385273113
-0.926875,0,0,0.000387267033
-0.925625,0,0,0.000386078337
-0.924375,0,0,0.000366703735
-0.923125,0,0,0.000314053754
-0.921875,0,0,0.00025869271
-0.920625,0,0,0.000269390075
-0.919375,0,0,0.000401365508
-0.918125,0,0,0.000650790562
-0.916875,0,0,0.00094851128
-0.915625,0,0,0.00119578711
-0.914375,0,0,0.00132013258
-0.913125,0,0,0.00131202958
-0.911875,0,0,0.00122471866
-0.910625,0,0,0.00113898141
-0.909375,0,0,0.00110757785
-0.908125,0,0,0.00111436172
-0.906875,0,0,0.00109059157
