difference_order,n,signed_difference,nonnegative
0,1,10089/4096,True
0,2,34804257/16777216,True
0,3,138563297409/68719476736,True
0,4,564062366859777/281474976710656,True
0,5,2306972208731260929/1152921504606846976,True
0,6,9445886731737580445697/4722366482869645213696,True
0,7,38686807035466031699099649/19342813113834066795298816,True
0,8,158457534009688803520958038017/79228162514264337593543950336,True
0,9,649038345271059856409731824877569/324518553658426726783156020576256,True
0,10,2658457259224058752648783208420212737/1329227995784915872903807060280344576,True
0,11,10889037039545173919638145617126058098689/5444517870735015415413993718908291383296,True
0,12,44601491726289479752479574609162383556345857/22300745198530623141535718272648361505980416,True
0,13,182687706027492393306443571129508989882500907009/91343852333181432387730302044767688728495783936,True
0,14,748288839707218884605341175644015441645104451813377/374144419156711147060143317175368453031918731001856,True
0,15,3064991083159025413410337923951591996989617847851286529/1532495540865888858358347027150309183618739122183602176,True
0,16,12554203472234863166023328865461061217862275556628859191297/6277101735386680763835789423207666416102355444464034512896,True
0,17,51422017417784266494230968400958127891753344525101023518261249/25711008708143844408671393477458601640355247900524685364822016,True
1,1,6520287/16777216,True
1,2,3994939263/68719476736,True
1,3,3492899327487/281474976710656,True
1,4,3427245926385663/1152921504606846976,True
1,5,3471435225664319487/4722366482869645213696,True
1,6,3545017731097806475263/19342813113834066795298816,True
1,7,3627607580062318554124287/79228162514264337593543950336,True
1,8,3714032625482812112298840063/324518553658426726783156020576256,True
1,9,3803006202419205478346278309887/1329227995784915872903807060280344576,True
1,10,3894236570731211270404563133272063/5444517870735015415413993718908291383296,True
1,11,3987687552622358269838585950415884287/22300745198530623141535718272648361505980416,True
1,12,4083389315759712766469620133164291723263/91343852333181432387730302044767688728495783936,True
1,13,4181389958377851691702453380913619263295487/374144419156711147060143317175368453031918731001856,True
1,14,4281743137933139531486295251988729986776305663/1532495540865888858358347027150309183618739122183602176,True
1,15,4384504927305415271044659601807199148170010431487/6277101735386680763835789423207666416102355444464034512896,True
1,16,4489733033800586631970378856610536154850783729291263/25711008708143844408671393477458601640355247900524685364822016,True
2,1,22712156289/68719476736,True
2,2,12870371893761/281474976710656,True
2,3,10879669719001089/1152921504606846976,True
2,4,10566564088811356161/4722366482869645213696,True
2,5,10673980953223246143489/19342813113834066795298816,True
2,6,10892785046514296768552961/79228162514264337593543950336,True
2,7,11144648022452444685394239489/324518553658426726783156020576256,True
2,8,11409671431558392933629770588161/1329227995784915872903807060280344576,True
2,9,11682876834377854368901792824025089/5444517870735015415413993718908291383296,True
2,10,11963105441092683093738504643466485761/22300745198530623141535718272648361505980416,True
2,11,12250178899781466706789227919739170316289/91343852333181432387730302044767688728495783936,True
2,12,12544172678973931799757110684527319635189761/374144419156711147060143317175368453031918731001856,True
2,13,12845230131582540997726953796233454515682009089/1532495540865888858358347027150309183618739122183602176,True
2,14,13153514965668724249923205750338638877665737564161/6277101735386680763835789423207666416102355444464034512896,True
2,15,13469199148442394318228546872391751556053578998079489/25711008708143844408671393477458601640355247900524685364822016,True
3,1,80158620265983/281474976710656,True
3,2,41837373557843967/1152921504606846976,True
3,3,33996563080217104383/4722366482869645213696,True
3,4,32606665554548068691967/19342813113834066795298816,True
3,5,32827840937888119435177983/79228162514264337593543950336,True
3,6,33472199528070114878598688767/324518553658426726783156020576256,True
3,7,34238806868406820497745034358783/1329227995784915872903807060280344576,True
3,8,35051137349285323087245747505082367/5444517870735015415413993718908291383296,True
3,9,35889958072519008401283238763740278783/22300745198530623141535718272648361505980416,True
3,10,36750700986934163245163687099899555360767/91343852333181432387730302044767688728495783936,True
3,11,37632560094530955831251566874724321980329983/374144419156711147060143317175368453031918731001856,True
3,12,38535701161494683654078171567590446710055251967/1532495540865888858358347027150309183618739122183602176,True
3,13,39460547653293363676766396999033590818567771664383/6277101735386680763835789423207666416102355444464034512896,True
3,14,40407598150936700209456903880995313286865282064723967/25711008708143844408671393477458601640355247900524685364822016,True
4,1,286492335051622401/1152921504606846976,True
4,2,137369319012711784449/4722366482869645213696,True
4,3,106643256822021190860801/19342813113834066795298816,True
4,4,100729061173540769927118849/79228162514264337593543950336,True
4,5,100990636953519622327890329601/324518553658426726783156020576256,True
4,6,102863322398568370044995194830849/1329227995784915872903807060280344576,True
4,7,105191015583709013671517913228492801/5444517870735015415413993718908291383296,True
4,8,107679500510153674964075343017077096449/22300745198530623141535718272648361505980416,True
4,9,110254567278103695166492458876380626534401/91343852333181432387730302044767688728495783936,True
4,10,112898311147951376820938895486464256777371649/374144419156711147060143317175368453031918731001856,True
4,11,115607264985704111430728246351280376121376358401/1532495540865888858358347027150309183618739122183602176,True
4,12,118381684304188860570337793741816878905818540392449/6277101735386680763835789423207666416102355444464034512896,True
4,13,121222805036952917410578258227046274705988310672588801/25711008708143844408671393477458601640355247900524685364822016,True
5,1,1036103285358733570047/4722366482869645213696,True
5,2,456021473854046278242303/19342813113834066795298816,True
5,3,336081718769458027838722047/79228162514264337593543950336,True
5,4,311595597613303371293588475903/324518553658426726783156020576256,True
5,5,310794326563048003010043595214847/1329227995784915872903807060280344576,True
5,6,316137152960827030032782404798664703/5444517870735015415413993718908291383296,True
5,7,323182899320718445034462029566829416447/22300745198530623141535718272648361505980416,True
5,8,330800666811485757486360146121567160520703/91343852333181432387730302044767688728495783936,True
5,9,338704396423161358581014216071190789507534847/374144419156711147060143317175368453031918731001856,True
5,10,346824217476304728027837469561277219638737915903/1532495540865888858358347027150309183618739122183602176,True
5,11,355145673077255179849925103313027541687339023618047/6277101735386680763835789423207666416102355444464034512896,True
5,12,363668573873004655485525344939435661292244430774882303/25711008708143844408671393477458601640355247900524685364822016,True
6,1,3787857582975326424670209/19342813113834066795298816,True
6,2,1531782238136715527841751041/79228162514264337593543950336,True
6,3,1064995122466396710733817028609/324518553658426726783156020576256,True
6,4,965501241261042605808494802083841/1329227995784915872903807060280344576,True
6,5,956876408641417590296356161201348609/5444517870735015415413993718908291383296,True
6,6,971714879206829069979814700488501207041/22300745198530623141535718272648361505980416,True
6,7,992956488806176993374796326984166129246209/91343852333181432387730302044767688728495783936,True
6,8,1016255134836684304083116942442748299985264641/374144419156711147060143317175368453031918731001856,True
6,9,1040508990272964196719996759466320254184124817409/1532495540865888858358347027150309183618739122183602176,True
6,10,1065446321705688986152097172009963949952931479920641/6277101735386680763835789423207666416102355444464034512896,True
6,11,1091008103051432561179767878230725149459096209964638209/25711008708143844408671393477458601640355247900524685364822016,True
7,1,13983282421730221507607425023/79228162514264337593543950336,True
7,2,5209184924941590091305995235327/324518553658426726783156020576256,True
7,3,3396718780361318321357219747098623/1329227995784915872903807060280344576,True
7,4,2997816675563812923095238548134064127/5444517870735015415413993718908291383296,True
7,5,2947650890588417379874060135792222695423/22300745198530623141535718272648361505980416,True
7,6,2987187656424994877262524686216734814793727/91343852333181432387730302044767688728495783936,True
7,7,3050894643313416660780048812884396165407207423/374144419156711147060143317175368453031918731001856,True
7,8,3122072042018094712804450236779176782555519152127/1532495540865888858358347027150309183618739122183602176,True
7,9,3196478502452372363613009554764083811185243772186623/6277101735386680763835789423207666416102355444464034512896,True
7,10,3273060030655069526099222138322087189548111131790307327/25711008708143844408671393477458601640355247900524685364822016,True
