rank,h,c_h,cumulative_a_h,target_binomial
1,0,1,1,1
1,1,0,1,1
1,2,0,1,1
1,3,0,1,1
1,4,0,1,1
1,5,0,1,1
1,6,0,1,1
1,7,0,1,1
1,8,0,1,1
1,9,0,1,1
1,10,0,1,1
1,11,0,1,1
1,12,0,1,1
1,13,0,1,1
1,14,0,1,1
1,15,0,1,1
1,16,0,1,1
2,0,0,0,0
2,1,1,1,1
2,2,1,2,2
2,3,1,3,3
2,4,1,4,4
2,5,1,5,5
2,6,1,6,6
2,7,1,7,7
2,8,1,8,8
2,9,1,9,9
2,10,1,10,10
2,11,1,11,11
2,12,1,12,12
2,13,1,13,13
2,14,1,14,14
2,15,1,15,15
2,16,1,16,16
3,0,0,0,0
3,1,0,0,0
3,2,1,1,1
3,3,2,3,3
3,4,3,6,6
3,5,4,10,10
3,6,5,15,15
3,7,6,21,21
3,8,7,28,28
3,9,8,36,36
3,10,9,45,45
3,11,10,55,55
3,12,11,66,66
3,13,12,78,78
3,14,13,91,91
3,15,14,105,105
3,16,15,120,120
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,1,1,1
4,4,3,4,4
4,5,6,10,10
4,6,10,20,20
4,7,15,35,35
4,8,21,56,56
4,9,28,84,84
4,10,36,120,120
4,11,45,165,165
4,12,55,220,220
4,13,66,286,286
4,14,78,364,364
4,15,91,455,455
4,16,105,560,560
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,0
5,4,1,1,1
5,5,4,5,5
5,6,10,15,15
5,7,20,35,35
5,8,35,70,70
5,9,56,126,126
5,10,84,210,210
5,11,120,330,330
5,12,165,495,495
5,13,220,715,715
5,14,286,1001,1001
5,15,364,1365,1365
5,16,455,1820,1820
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,1,1,1
6,6,5,6,6
6,7,15,21,21
6,8,35,56,56
6,9,70,126,126
6,10,126,252,252
6,11,210,462,462
6,12,330,792,792
6,13,495,1287,1287
6,14,715,2002,2002
6,15,1001,3003,3003
6,16,1365,4368,4368
