profile,h,c_h,a_h,m_h,delta2_m_h
classical,0,1,1,1,1
classical,1,0,1,2,0
classical,2,0,1,3,0
classical,3,0,1,4,0
classical,4,0,1,5,0
classical,5,0,1,6,0
classical,6,0,1,7,0
classical,7,0,1,8,0
classical,8,0,1,9,0
classical,9,0,1,10,0
classical,10,0,1,11,0
classical,11,0,1,12,0
classical,12,0,1,13,0
classical,13,0,1,14,0
classical,14,0,1,15,0
classical,15,0,1,16,0
classical,16,0,1,17,0
classical,17,0,1,18,0
classical,18,0,1,19,0
finite_stack,0,1,1,1,1
finite_stack,1,2,3,4,2
finite_stack,2,1,4,8,1
finite_stack,3,0,4,12,0
finite_stack,4,3,7,19,3
finite_stack,5,0,7,26,0
finite_stack,6,0,7,33,0
finite_stack,7,0,7,40,0
finite_stack,8,0,7,47,0
finite_stack,9,0,7,54,0
finite_stack,10,0,7,61,0
finite_stack,11,0,7,68,0
finite_stack,12,0,7,75,0
finite_stack,13,0,7,82,0
finite_stack,14,0,7,89,0
finite_stack,15,0,7,96,0
finite_stack,16,0,7,103,0
finite_stack,17,0,7,110,0
finite_stack,18,0,7,117,0
all_scales,0,1,1,1,1
all_scales,1,1,2,3,1
all_scales,2,1,3,6,1
all_scales,3,1,4,10,1
all_scales,4,1,5,15,1
all_scales,5,1,6,21,1
all_scales,6,1,7,28,1
all_scales,7,1,8,36,1
all_scales,8,1,9,45,1
all_scales,9,1,10,55,1
all_scales,10,1,11,66,1
all_scales,11,1,12,78,1
all_scales,12,1,13,91,1
all_scales,13,1,14,105,1
all_scales,14,1,15,120,1
all_scales,15,1,16,136,1
all_scales,16,1,17,153,1
all_scales,17,1,18,171,1
all_scales,18,1,19,190,1
sparse_powers,0,1,1,1,1
sparse_powers,1,1,2,3,1
sparse_powers,2,1,3,6,1
sparse_powers,3,0,3,9,0
sparse_powers,4,1,4,13,1
sparse_powers,5,0,4,17,0
sparse_powers,6,0,4,21,0
sparse_powers,7,0,4,25,0
sparse_powers,8,1,5,30,1
sparse_powers,9,0,5,35,0
sparse_powers,10,0,5,40,0
sparse_powers,11,0,5,45,0
sparse_powers,12,0,5,50,0
sparse_powers,13,0,5,55,0
sparse_powers,14,0,5,60,0
sparse_powers,15,0,5,65,0
sparse_powers,16,1,6,71,1
sparse_powers,17,0,6,77,0
sparse_powers,18,0,6,83,0
