n,C_n,C_n_div_2_pow_n,C_n_minus_2n_minus_nnm1_minus_2,error_after_four_edge_model,scaled_error_times_4n_div_n6
1,2.0000000000000000000000000000000000000000000000000,1.0000000000000000000000000000000000000000000000000,-2.0000000000000000000000000000000000000000000000000,-10.000000000000000000000000000000000000000000000000,
2,6.0000000000000000000000000000000000000000000000000,1.5000000000000000000000000000000000000000000000000,-2.0000000000000000000000000000000000000000000000000,-10.000000000000000000000000000000000000000000000000,
3,16.000000000000000000000000000000000000000000000000,2.0000000000000000000000000000000000000000000000000,0.0,-6.0000000000000000000000000000000000000000000000000,
4,35.500000000000000000000000000000000000000000000000,2.2187500000000000000000000000000000000000000000000,5.5000000000000000000000000000000000000000000000000,-4.0000000000000000000000000000000000000000000000000,-0.25000000000000000000000000000000000000000000000000
5,66.500000000000000000000000000000000000000000000000,2.0781250000000000000000000000000000000000000000000,12.500000000000000000000000000000000000000000000000,1.2500000000000000000000000000000000000000000000000,0.081920000000000000000000000000000000000000000000000
6,112.73437500000000000000000000000000000000000000000,1.7614746093750000000000000000000000000000000000000,16.734375000000000000000000000000000000000000000000,4.6093750000000000000000000000000000000000000000000,0.40466392318244170096021947873799725651577503429355
7,188.49511718750000000000000000000000000000000000000,1.4726181030273437500000000000000000000000000000000,16.495117187500000000000000000000000000000000000000,4.6826171875000000000000000000000000000000000000000,0.65210924019753674064377937764026893556256321770691
8,327.64337158203125000000000000000000000000000000000,1.2798569202423095703125000000000000000000000000000,13.643371582031250000000000000000000000000000000000,3.0808715820312500000000000000000000000000000000000,0.77021789550781250000000000000000000000000000000000
9,596.41193389892578125000000000000000000000000000000,1.1648670583963394165039062500000000000000000000000,10.411933898925781250000000000000000000000000000000,1.5994338989257812500000000000000000000000000000000,0.78895305405491860808631626088314601244540786277310
10,1123.6923504918813705444335937500000000000000000000,1.0973558110272279009222984313964843750000000000000,7.6923504918813705444335937500000000000000000000000,0.73922549188137054443359375000000000000000000000000,0.77513410937500000000000000000000000000000000000000
11,2165.5668569269473664462566375732421875000000000000,1.0574056918588610187725862488150596618652343750000,5.5668569269473664462566375732421875000000000000000,0.32466942694736644625663757324218750000000000000000,0.76867930380215351037869991493377874089574110064514
12,4233.9448152123027284687850624322891235351562500000,1.0336779334014410958175744781328830868005752563477,3.9448152123027284687850624322891235351562500000000,0.13817458730272846878506243228912353515625000000000,0.77635543153906146521757986646947873799725651577503
13,8352.7357411960288362529070127493469044566154479980,1.0196210621577183638004036880797542607979266904294,2.7357411960288362529070127493469044566154479980469,0.057030258528836252907012749346904456615447998046875,0.79291222492883231439369638247287182898681095522943
14,16569.858264634818298240148681799155383487232029438,1.0113438882223399840234465748168429799491718767968,1.8582646348182982401486817991553834872320294380188,0.022815416068298240148681799155383487232029438018799,0.81339230148091001069772513939448343828889323326165
15,32981.238106870803164497896469303941198100704745855,1.0065075105856568348540617819001446898834443586992,1.2381068708031644978964693039411981007047458547277,0.0088588239281644978964693039411981007047458547276619,0.83508058277067263151926374310737447647073795438957
16,65778.810475154159496464557052517458593511902456086,1.0037049938225427169260338905718606352769760506605,0.81047515415949646455705251745859351190245608610729,0.0033462479094964645570525174585935119024560861072937,0.85663946483109492660544446939993904702875804346718
