k,x_k,abs_Phi_xk,Carleman_envelope,delta,absPhi_div_Bc_x_minus_delta,minus_log_absPhi
0,0.6666666666666666666666666666666666666667,0.3216018886465493980463579415952921163235,0.4559453263905199714974575844437743750696,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,1.134440869037388766933818486218475612744
1,1.333333333333333333333333333333333333333,0.06649065526239909184753318412564042992383,0.1088489287120482759974244278239024490016,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,2.710693863564460332236074346562275471646
2,2.666666666666666666666666666666666666667,0.006873416160316810521334192202210332251277,0.01299288379108486172377149132244709727325,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,4.980094038651477206955562328364251898624
3,5.333333333333333333333333333333333333333,0.0003552668380726652141302363057690421897811,0.0007754556301386451853990865803755466986866,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,7.942641394298439391092282431624404893678
4,10.66666666666666666666666666666666666667,0.000009181353441309148592129980705591917998024,0.00002314079937843860851591466173866136961991,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,11.59833593050534688464623465634273445681
5,21.33333333333333333333333333333333333333,0.0000001186393465142353624684566630661786136648,0.0000003452786820165340965179723626806544075942,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,15.94717764727219968761741900251924058801
6,42.66666666666666666666666666666666666667,0.0000000007665152328194134837333882877666550676393,0.000000002575912921274348887810379936138939790781,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,20.98916654459899780000583547015392328729
7,85.33333333333333333333333333333333333333,0.000000000002476183574029130868558875680567776440548,0.000000000009608654868635082830003600449829474295711,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,26.72430262248574122181148405924678255465
8,170.6666666666666666666666666666666666667,3.999584633001169817077100807334410258738e-15,1.792107326727280852793018396656744165249e-14,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,33.15258588093242995303436476979781839008
9,341.3333333333333333333333333333333333333,3.230107291784924543707090077468815925019e-18,1.671226989842865616375455392964161213521e-17,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,40.27401631993906399367447760180703079358
10,682.6666666666666666666666666666666666667,1.304334583940667920715712512715228104048e-21,7.792501068225024067632612311811298472251e-21,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,48.08859393950564334373182255527441976517
11,1365.333333333333333333333333333333333333,2.633486372403995902217940823663680620078e-25,1.816721285239581033400811348037278027923e-24,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,56.59631873963216800320639963019998530482
12,2730.666666666666666666666666666666666667,2.658539671885688175166214384813700471059e-29,2.117725874752005419094408540297363915374e-28,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,65.79719072031863797209820882658372741256
13,5461.333333333333333333333333333333333333,1.341915656191177299353749977120016854386e-33,1.234301297901817719501160851305815971921e-32,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,75.69120988156505325040725014442564608837
14,10922.66666666666666666666666666666666667,3.386704451646840106649782247864428956709e-38,3.597018179183649004289315317973005355632e-37,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,86.27837622337141383813352358372574133225
15,21845.33333333333333333333333333333333333,4.273654230758327403236756377593443278079e-43,5.241240450517150608696286571435640176826e-42,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,97.55868974573771973527702914448401314421
16,43690.66666666666666666666666666666666667,2.696444396734608119395118761918189040140e-48,3.818524134672532547127694493197555421425e-47,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,109.5321504486639709418377668267004615242
17,87381.33333333333333333333333333333333333,8.506551995189506022736520583563393757554e-54,1.390999583470540921099254757000955826376e-52,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,122.1987583321501674578157366303750864724
18,174762.6666666666666666666666666666666667,1.341793417555581571036381560094669084735e-59,2.533544077470062899636713447841872998707e-58,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,135.5585133961963092832109385555078879885
19,349525.3333333333333333333333333333333333,1.058248733689999843959943917585657141337e-65,2.307278042624795887083859274409032641612e-64,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,149.6114156408023964180233726020988660728
20,699050.6666666666666666666666666666666667,4.173110285473950782750696816538750110013e-72,1.050609699929606581405576460692136869606e-70,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,164.3574650659684288622530387701480207251
21,1398101.333333333333333333333333333333333,8.228145661939403688258580836543304710972e-79,2.391954331456514891811944884552187194218e-77,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,179.7966616716944066158999370596553519456
22,2796202.666666666666666666666666666666667,8.111741171777238991559170159072038864800e-86,2.722916761646562917361356570156079399123e-84,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,195.9290054579803296789640674706208597340
23,5592405.333333333333333333333333333333333,3.998491734430269861206319116339024888113e-93,1.549836381353712048557256293035535102586e-91,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,212.7544964248261980514454300030445440906
24,11184810.66666666666666666666666666666667,9.854811569884148958698475814950369119577e-101,4.410698194672448132834574745721495474462e-99,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,230.2731345722320117333440246569264050152
