M,k,frequency_M_times_2_to_k,Re_QM,abs_QM
3,0,3,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,1,6,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,2,12,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,3,24,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,4,48,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,5,96,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,6,192,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,7,384,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,8,768,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,9,1536,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
3,10,3072,-0.0834320975932733643071853281767,0.0834320975932733643071853281767
5,0,5,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,1,10,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,2,20,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,3,40,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,4,80,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,5,160,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,6,320,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,7,640,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,8,1280,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,9,2560,-0.015632569447946944077907953115,0.015632569447946944077907953115
5,10,5120,-0.015632569447946944077907953115,0.015632569447946944077907953115
7,0,7,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,1,14,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,2,28,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,3,56,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,4,112,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,5,224,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,6,448,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,7,896,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,8,1792,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,9,3584,0.00188671440235022989923638915527,0.00188671440235022989923638915527
7,10,7168,0.00188671440235022989923638915527,0.00188671440235022989923638915527
