n,coefficient_c3_n,stern_s_n_plus_1,equal
0,1,1,True
1,1,1,True
2,2,2,True
3,1,1,True
4,3,3,True
5,2,2,True
6,3,3,True
7,1,1,True
8,4,4,True
9,3,3,True
10,5,5,True
11,2,2,True
12,5,5,True
13,3,3,True
14,4,4,True
15,1,1,True
16,5,5,True
17,4,4,True
18,7,7,True
19,3,3,True
20,8,8,True
21,5,5,True
22,7,7,True
23,2,2,True
24,7,7,True
25,5,5,True
26,8,8,True
27,3,3,True
28,7,7,True
29,4,4,True
30,5,5,True
31,1,1,True
32,6,6,True
33,5,5,True
34,9,9,True
35,4,4,True
36,11,11,True
37,7,7,True
38,10,10,True
39,3,3,True
40,11,11,True
41,8,8,True
42,13,13,True
43,5,5,True
44,12,12,True
45,7,7,True
46,9,9,True
47,2,2,True
48,9,9,True
49,7,7,True
50,12,12,True
51,5,5,True
52,13,13,True
53,8,8,True
54,11,11,True
55,3,3,True
56,10,10,True
57,7,7,True
58,11,11,True
59,4,4,True
60,9,9,True
61,5,5,True
62,6,6,True
63,1,1,True
64,7,7,True
65,6,6,True
66,11,11,True
67,5,5,True
68,14,14,True
69,9,9,True
70,13,13,True
71,4,4,True
72,15,15,True
73,11,11,True
74,18,18,True
75,7,7,True
76,17,17,True
77,10,10,True
78,13,13,True
79,3,3,True
80,14,14,True
81,11,11,True
82,19,19,True
83,8,8,True
84,21,21,True
85,13,13,True
86,18,18,True
87,5,5,True
88,17,17,True
89,12,12,True
90,19,19,True
91,7,7,True
92,16,16,True
93,9,9,True
94,11,11,True
95,2,2,True
96,11,11,True
97,9,9,True
98,16,16,True
99,7,7,True
100,19,19,True
101,12,12,True
102,17,17,True
103,5,5,True
104,18,18,True
105,13,13,True
106,21,21,True
107,8,8,True
108,19,19,True
109,11,11,True
110,14,14,True
111,3,3,True
112,13,13,True
113,10,10,True
114,17,17,True
115,7,7,True
116,18,18,True
117,11,11,True
118,15,15,True
119,4,4,True
120,13,13,True
121,9,9,True
122,14,14,True
123,5,5,True
124,11,11,True
125,6,6,True
126,7,7,True
127,1,1,True
