n,a_n,c_n,gamma_n=n!*a_n
0,1,1,1
1,2/9,1/9,2/9
2,38/2025,19/675,76/2025
3,2332/2679075,583/59535,4664/893025
4,265618/10247461875,132809/32531625,2124944/3415820625
5,187362796/345944065438125,46840699/24405225075,1498902368/23062937695875
6,16275962240644/1933714893977851359375,4068990560161/4133856862760625,260415395850304/42971442088396696875
7,9636538427610488/95040153324117416461921875,1204567303451311/2232691548877164375,154184614841767808/301714772457515607815625
8,8293794608848816822/8493349701949138483407341015625,4146897304424408411/13301767332333178846875,1061605709932648553216/26963014926822661852086796875
9,75257440026783230111475172/9771986358159334658501728265225082421875,18814360006695807527868793/100028040755473167511640090625,9632952323428253454268822016/3446908768310170955379798329885390625
10,85725893853309719815185175925588/1690698998258642516023844203091884482085400390625,21431473463327429953796293981397/182171989134769427819794434994453125,21945828826447288272687405036950528/119273297937117637814733277114065924662109375
11,7290950267002164987163052336437520792/25752629881791164030587299424563269724296454574072265625,911368783375270623395381542054690099/12012265189685856975048179723754213046875,1866483268352554236713741398128005322752/165160364802252134234967448610314380146201408203125
12,15221934140856355197475302926034528421345605692/11205408885355863273714479236180637862232932593062288125435791015625,3805483535214088799368825731508632105336401423/75749878923357625026812035792140968086378130859375,15587260560236907722214710196259357103457900228608/23954698060725483990624721791845733231217856005691386083984375
