degree,shift,root,real,imaginary
5,0,0,-20.5202748720507951571961998790076983825798915,0
5,0,1,-13.2270889614749335655884301141238114828576344,0
5,0,2,-8.01452851609026132453450496283630052147863831,0
5,0,3,-4.53869826743364590977292220332132527066444555,0
5,0,4,-1.55842010138562906745422469700852548534981492,0
5,1,0,-22.1240786032297025735385133390627449002344796,0
5,1,1,-14.6029780188519797492503235017145417673489808,0
5,1,2,-9.26468002557775603314785199108717991127459321,0
5,1,3,-5.33295391716081090591539138174470410254920744,0
5,1,4,-2.29718450707826556621484435371674249167725159,0
5,4,0,-26.7389652762198834279456960557873740145497551,0
5,4,1,-18.5723001349860968041986659540952948527214518,0
5,4,2,-12.6747899268479708854261043269203435485495167,0
5,4,3,-8.07929048384590813600069539783315032377962233,0
5,4,4,-4.37722153276344797182794947667791580986383652,0
5,8,0,-32.5598906668103715117730520361327742400049767,0
5,8,1,-23.6503008691136622201999161892647699547393517,0
5,8,2,-17.0491297721553233401898356299755508539104421,0
5,8,3,-11.7387664548900564023300299583217911321535846,0
5,8,4,-7.24313282865970712852698038541733191149387128,0
5,16,0,-43.5359600570030463821362909085140937996287487,0
5,16,1,-33.3566011250762267532807340030559212703767634,0
5,16,2,-25.5783842451174902432717014518722661004647117,0
5,16,3,-19.0692569226327321037977353976361170150189075,0
5,16,4,-13.2427711837263097333515561707671474610647449,0
5,24,0,-53.9945738053262923399626420442231409418811288,0
5,24,1,-42.7300390687024811643591238413810662108063079,0
5,24,2,-33.9531037182425463707823886958080128360401375,0
5,24,3,-26.4352047814386257622941206700031965805569751,0
5,24,4,-19.4920340268797853701831492304733221413178885,0
