N,rank_n,log_abs_discriminant,two_term_asymptotic,difference
1,2,7.74518382969863654563606e-121,0.00197603756424612812620276,-0.001976037564246128
2,4,-3.34795286714334309254737,-3.34743947075126217231297,-0.0005133963920809202
3,8,-26.5227546307268602160299,-26.5226249016104858912726,-0.0001297291163743248
4,16,-144.670196976891602190888,-144.670164455001296931564,-3.252189030525932e-5
5,32,-679.590854943841385199882,-679.590846807711471027016,-8.136129914172866e-6
6,64,-2966.46190989943121518699,-2966.46190786504424983347,-2.034386965353524e-6
7,128,-12453.0308090420949133161,-12453.030808533476002366,-5.086189109500989e-7
8,256,-51166.5451369145133729296,-51166.5451367873572593694,-1.271561135602047e-7
9,512,-207732.872152808605868003,-207732.872152776816752996,-3.178911500743776e-8
10,1024,-837777.957552727442913967,-837777.957552719495629802,-7.947284165500308e-9
11,2048,-3366227.98311094554373251,-3366227.98311094355691113,-1.986821379728478e-9
12,4096,-13497987.3652601240382563,-13497987.365260123541551,-4.967053660792204e-10
