diagonal_offset_d,q=d-1,degree,minimal_denominator,expanded_D_q(x),factored_D_q(x)
1,0,0,1,1,1
2,1,1,1,2*x,2*x
3,2,2,1,2*x**2 + x - 1,(x + 1)*(2*x - 1)
4,3,3,3,4*x**3/3 + 2*x**2 - 4*x/3,2*x*(x + 2)*(2*x - 1)/3
5,4,4,6,2*x**4/3 + 2*x**3 - x**2/6 - x/2 - 1,(4*x**4 + 12*x**3 - x**2 - 3*x - 6)/6
6,5,5,15,4*x**5/15 + 4*x**4/3 + x**3 - x**2/3 - 34*x/15,x*(x - 1)*(4*x**3 + 24*x**2 + 39*x + 34)/15
7,6,6,90,4*x**6/45 + 2*x**5/3 + 11*x**4/9 + x**3/2 - 104*x**2/45 - 7*x/6 + 1,(x - 1)*(x + 1)*(2*x - 1)*(4*x**3 + 32*x**2 + 75*x + 90)/90
8,7,7,315,8*x**7/315 + 4*x**6/15 + 38*x**5/45 + x**4 - 49*x**3/45 - 34*x**2/15 + 128*x/105,x*(x - 1)*(x + 2)*(2*x - 1)*(4*x**3 + 40*x**2 + 123*x + 192)/315
9,8,8,2520,2*x**8/315 + 4*x**7/45 + 19*x**6/45 + 8*x**5/9 + 47*x**4/360 - 341*x**3/180 - 149*x**2/2520 + 5*x/12 - 1,(x + 1)*(16*x**7 + 208*x**6 + 856*x**5 + 1384*x**4 - 1055*x**3 - 3719*x**2 + 3570*x - 2520)/2520
10,9,9,11340,4*x**9/2835 + 8*x**8/315 + 158*x**7/945 + 8*x**6/15 + 65*x**5/108 - 7*x**4/10 - 11041*x**3/11340 + 89*x**2/630 - 566*x/315,x*(x + 2)*(16*x**7 + 256*x**6 + 1384*x**5 + 3280*x**4 + 265*x**3 - 8468*x**2 + 5895*x - 10188)/11340
11,10,10,113400,4*x**10/14175 + 2*x**9/315 + 52*x**8/945 + 11*x**7/45 + 1393*x**6/2700 + 11*x**5/72 - 16273*x**4/22680 - 437*x**3/840 - 23357*x**2/12600 - 53*x/60 + 1,(x + 1)*(x + 3)*(2*x - 1)*(16*x**7 + 304*x**6 + 2040*x**5 + 6440*x**4 + 5129*x**3 - 12669*x**2 + 8190*x - 37800)/113400
12,11,11,623700,8*x**11/155925 + 4*x**10/2835 + 44*x**9/2835 + 86*x**8/945 + 907*x**7/3150 + 41*x**6/108 - 481*x**5/5670 - 6757*x**4/11340 - 23047*x**3/14175 - 197*x**2/105 + 4876*x/3465,x*(x + 2)*(x + 4)*(2*x - 1)*(16*x**7 + 352*x**6 + 2824*x**5 + 11152*x**4 + 15745*x**3 - 12674*x**2 + 9135*x - 109710)/623700
13,12,12,7484400,4*x**12/467775 + 4*x**11/14175 + 163*x**10/42525 + x**9/35 + 6991*x**8/56700 + 763*x**7/2700 + 166129*x**6/680400 - 8669*x**5/45360 - 774841*x**4/680400 - 164077*x**3/75600 + 55613*x**2/207900 + 11*x/20 + 1,(x + 5)*(2*x - 3)*(32*x**10 + 944*x**9 + 11280*x**8 + 74520*x**7 + 285186*x**6 + 618267*x**5 + 888670*x**4 + 811465*x**3 - 436728*x**2 - 507276*x - 498960)/7484400
