k,n,pair_count,all_pairs_merge,cwa_q0,d_0_1,optimal_partners,pair_diameter,diameter_candidate,diameter_matches,explicit_reset_length
1,9,45,True,12,13,2;7,21,21,True,154
2,12,78,True,16,17,2;9,33,33,True,232
3,15,120,True,20,21,2;11,47,47,True,326
4,18,171,True,24,25,2;13,65,65,True,436
5,21,231,True,28,29,2;15,83,83,True,562
6,24,300,True,32,33,2;17,107,107,True,704
7,27,378,True,36,37,2;19,129,129,True,862
8,30,465,True,40,41,2;21,159,159,True,1036
9,33,561,True,44,45,2;23,185,185,True,1226
10,36,666,True,48,49,2;25,221,221,True,1432
11,39,780,True,52,53,2;27,251,251,True,1654
12,42,903,True,56,57,2;29,293,293,True,1892
13,45,1035,True,60,61,2;31,327,327,True,2146
14,48,1176,True,64,65,2;33,375,375,True,2416
15,51,1326,True,68,69,2;35,413,413,True,2702
16,54,1485,True,72,73,2;37,467,467,True,3004
17,57,1653,True,76,77,2;39,509,509,True,3322
18,60,1830,True,80,81,2;41,569,569,True,3656
19,63,2016,True,84,85,2;43,615,615,True,4006
20,66,2211,True,88,89,2;45,681,681,True,4372
21,69,2415,True,92,93,2;47,731,731,True,4754
22,72,2628,True,96,97,2;49,803,803,True,5152
23,75,2850,True,100,101,2;51,857,857,True,5566
24,78,3081,True,104,105,2;53,935,935,True,5996
25,81,3321,True,108,109,2;55,993,993,True,6442
26,84,3570,True,112,113,2;57,1077,1077,True,6904
27,87,3828,True,116,117,2;59,1139,1139,True,7382
28,90,4095,True,120,121,2;61,1229,1229,True,7876
29,93,4371,True,124,125,2;63,1295,1295,True,8386
30,96,4656,True,128,129,2;65,1391,1391,True,8912
31,99,4950,True,132,133,2;67,1461,1461,True,9454
32,102,5253,True,136,137,2;69,1563,1563,True,10012
33,105,5565,True,140,141,2;71,1637,1637,True,10586
34,108,5886,True,144,145,2;73,1745,1745,True,11176
35,111,6216,True,148,149,2;75,1823,1823,True,11782
36,114,6555,True,152,153,2;77,1937,1937,True,12404
37,117,6903,True,156,157,2;79,2019,2019,True,13042
38,120,7260,True,160,161,2;81,2139,2139,True,13696
39,123,7626,True,164,165,2;83,2225,2225,True,14366
40,126,8001,True,168,169,2;85,2351,2351,True,15052
41,129,8385,True,172,173,2;87,2441,2441,True,15754
42,132,8778,True,176,177,2;89,2573,2573,True,16472
43,135,9180,True,180,181,2;91,2667,2667,True,17206
44,138,9591,True,184,185,2;93,2805,2805,True,17956
45,141,10011,True,188,189,2;95,2903,2903,True,18722
46,144,10440,True,192,193,2;97,3047,3047,True,19504
47,147,10878,True,196,197,2;99,3149,3149,True,20302
48,150,11325,True,200,201,2;101,3299,3299,True,21116
49,153,11781,True,204,205,2;103,3405,3405,True,21946
50,156,12246,True,208,209,2;105,3561,3561,True,22792
