word,degree,A_word,B_word,mask
aaaaaba,1,aaba,aaa,BBBAAAA
aaaaabb,1,aabb,aaa,BBBAAAA
aaaabaa,1,aaba,aaa,BBAAAAB
aaaabab,2,aabb,aaa,BBAAABA
aaaabba,1,aabb,aaa,BBAAAAB
aaaabbb,1,abbb,aaa,BBBAAAA
aaabaaa,1,aaba,aaa,BAAAABB
aaabaab,2,aabb,aaa,BAAABBA
aaababa,1,aaba,aba,BAAAABB
aaababb,2,aabb,aba,AABBBAA
aaabbaa,1,aabb,aaa,BAAAABB
aaabbab,2,aabb,aba,BAAABBA
aaabbba,1,aabb,aba,BAAAABB
aaabbbb,1,bbbb,aaa,BBBAAAA
aabaaaa,1,aaba,aaa,AAAABBB
aabaaab,2,aabb,aaa,AAABBBA
aabaaba,1,aaba,aba,AAAABBB
aabaabb,2,aabb,aba,ABBBAAA
aababaa,2,aaba,aba,AAABBAB
aababab,1,aaba,bab,AAAABBB
aababba,2,aaba,bab,AABBBAA
aababbb,2,aabb,bab,AABBAAB
aabbaaa,1,aabb,aaa,AAAABBB
aabbaab,2,aaba,bab,AAABABB
aabbaba,1,aabb,aba,AAAABBB
aabbabb,2,aabb,bab,AAABBAB
aabbbaa,1,abbb,aaa,BAAAABB
aabbbab,1,aabb,bab,AAAABBB
aabbbba,1,abbb,aba,BAAAABB
abaaaba,1,aaba,aba,BBBAAAA
abaaabb,1,aabb,aba,BBBAAAA
abaabaa,1,aaba,aba,BBAAAAB
abaabab,2,aaba,bab,ABBAAAB
abaabba,1,aabb,aba,BBAAAAB
abaabbb,1,abbb,aba,BBBAAAA
ababaaa,2,bbaa,aaa,BABAAAB
ababaab,2,aaba,bab,ABAAABB
abababa,2,aaba,bab,ABBBAAA
abababb,2,aabb,bab,ABBBAAA
ababbaa,1,bbaa,aba,BBBAAAA
ababbab,2,aabb,bab,ABAAABB
ababbba,1,abbb,aba,BBAAAAB
ababbbb,1,bbbb,aba,BBBAAAA
abbaaaa,1,bbaa,aaa,BAAAABB
abbaaab,2,abbb,aaa,AAABBBA
abbaaba,1,bbaa,aba,BAAAABB
abbaabb,2,bbbb,aaa,BAABBAA
abbabaa,2,abbb,aaa,AAABABB
abbabab,2,abbb,aba,AAABBBA
abbabba,2,abbb,aba,AAABABB
abbabbb,2,abbb,bab,AABBAAB
abbbaaa,1,abbb,aaa,AAAABBB
abbbaab,2,bbbb,aaa,BAAABBA
abbbaba,1,abbb,aba,AAAABBB
abbbabb,2,abbb,bab,AAABBAB
abbbbaa,1,bbba,aba,BBAAAAB
abbbbab,1,abbb,bab,AAAABBB
abbbbba,1,bbbb,aba,BAAAABB
baaabaa,2,bbaa,aaa,ABBBAAA
baaabab,1,aaba,bab,BBAAAAB
baaabba,2,aaba,bab,BAABBAA
baaabbb,1,aabb,bab,BBAAAAB
baabaaa,2,bbaa,aaa,ABBAAAB
baabaab,1,aaba,bab,BAAAABB
baababa,2,aaba,bab,BAAABBA
baababb,2,aabb,bab,BAAABAB
baabbaa,2,bbba,aaa,ABBAAAB
baabbab,1,aabb,bab,BAAAABB
baabbba,2,bbbb,aaa,ABBAAAB
baabbbb,1,abbb,bab,BBAAAAB
babaaaa,2,bbaa,aaa,ABAAABB
babaaba,1,aaba,bab,BBBAAAA
babaabb,1,aabb,bab,BBBAAAA
bababaa,2,bbaa,aba,ABBBAAA
bababab,4,bbbb,aaa,ABABABA
bababba,2,bbba,aba,ABBBAAA
bababbb,1,abbb,bab,BBBAAAA
babbaaa,2,bbaa,aba,ABBAAAB
babbaab,1,bbaa,bab,BBAAAAB
babbaba,2,bbaa,bab,BBAAABA
babbabb,2,abbb,bab,BAAABAB
babbbaa,1,bbaa,bab,BBBAAAA
babbbab,1,abbb,bab,BAAAABB
babbbba,1,bbba,bab,BBBAAAA
babbbbb,1,bbbb,bab,BBAAAAB
bbaaaaa,1,bbaa,aaa,AAAABBB
bbaaaba,1,bbaa,aba,AAAABBB
bbaaabb,2,bbbb,aaa,AABBBAA
bbaabaa,2,bbaa,aba,AAABBAB
bbaabab,1,bbaa,bab,AAAABBB
bbaabba,2,bbbb,aaa,AABBAAB
bbabaaa,2,bbaa,aba,AABBAAB
bbabaab,2,bbaa,bab,AAABABB
bbababa,2,bbaa,bab,AAABBBA
bbababb,2,bbbb,aba,AABBBAA
bbabbaa,2,bbaa,bab,ABBBAAA
bbabbab,2,bbba,bab,ABBAAAB
bbabbba,2,bbba,bab,ABBBAAA
bbabbbb,2,bbbb,bab,ABBAAAB
bbbaaaa,1,bbba,aaa,AAAABBB
bbbaaab,1,bbaa,bab,BAAAABB
bbbaaba,1,bbba,aba,AAAABBB
bbbabaa,2,bbaa,bab,AABBBAA
bbbabab,1,bbba,bab,AAAABBB
bbbabba,2,bbba,bab,AABBBAA
bbbabbb,2,bbbb,bab,AABBAAB
bbbbaaa,1,bbbb,aaa,AAAABBB
bbbbaab,1,bbba,bab,BAAAABB
bbbbaba,1,bbbb,aba,AAAABBB
bbbbabb,2,bbbb,bab,AAABBAB
bbbbbab,1,bbbb,bab,AAAABBB
