word,degree,A_word,B_word,mask
aababab,1,aaba,bab,AAAABBB
abaabab,2,aaba,bab,ABBAAAB
abaabba,1,aabb,aba,BBAAAAB
ababaab,2,aaba,bab,ABAAABB
abababa,2,aaba,bab,ABBBAAA
abababb,2,aabb,bab,ABBBAAA
ababbab,2,aabb,bab,ABAAABB
abbabab,2,abbb,aba,AAABBBA
baababa,2,aaba,bab,BAAABBA
baababb,2,aabb,bab,BAAABAB
baabbab,1,aabb,bab,BAAAABB
babaaba,1,aaba,bab,BBBAAAA
babaabb,1,aabb,bab,BBBAAAA
bababaa,2,bbaa,aba,ABBBAAA
bababba,2,bbba,aba,ABBBAAA
babbaab,1,bbaa,bab,BBAAAAB
babbaba,2,bbaa,bab,BBAAABA
babbabb,2,abbb,bab,BAAABAB
babbbab,1,abbb,bab,BAAAABB
bbaabab,1,bbaa,bab,AAAABBB
bbabaab,2,bbaa,bab,AAABABB
bbababa,2,bbaa,bab,AAABBBA
bbabbab,2,bbba,bab,ABBAAAB
