n,primitive_orbits,B_n,proved_divisor
1,1,1,1
2,2,1/2,1
3,6,2/3,3
4,20,5/4,1
5,75,3,25
6,282,47/6,3
7,1127,23,49
8,4576,143/2,1
9,19089,707/3,27
10,80900,809,25
11,348238,2878,121
12,1516620,126385/12,3
13,6674655,39495,169
14,29630594,302353/2,49
15,132542550,589078,75
16,596795904,2331234,1
17,2702832907,9352363,289
18,12303921816,113925202/3,27
19,56267972921,155866961,361
20,258385252000,645963130,25
21,1190939271312,8101627696/3,147
22,5507786022266,22759446373/2,121
23,25550556729343,48299729167,529
24,118862871118368,1238154907483/6,3
25,554389725117500,887023560188,625
26,2591907120517130,7668364261885/2,169
27,12144541481287290,49977536960030/3,243
28,57020473626245892,290920783807377/4,49
29,268229413697685571,318941038879531,841
30,1264014435447740100,4213381451492467/3,75
31,5966468727376598073,6208604294876793,961
32,28206995894386796544,27545894428112106,1
33,133545438865354620687,367893770978938349/3,363
34,633135059769580048694,1095389376763979323/2,289
35,3005552620225167926025,2453512343040953409,1225
36,14285040250794283091160,66134445605529088385/6,27
37,67973375226143750156307,49651844577168553803,1369
38,323794762815003717668746,448469200574797392893/2,361
39,1544009168600332608753774,1015127658514354114894,507
40,7369810365018034943942400,4606131478136271839964,25
41,35210170185172526099999703,20945966796652305829863,1681
42,168370427241238268456584104,286344264015711340912558/3,147
43,805807417864492109713223534,435807148655755602873566,1849
44,3859647045021150834577453580,7974477365746179410283995/4,121
45,18501164577007889125374461475,9136377568892784753271339,675
46,88750535726109599948403563426,83885194448118714506997697/2,529
47,426039224772572478555424152717,192865199082196685629436013,2209
48,2046548235081236087711379843072,888258782587342051958064168,3
49,9837303894200332325933689402290,4097169468638205883354306290,2401
50,47315183944539192885055008191250,37852147155631354308044006553/2,625
51,227711325967774113781101373936386,262642821185437270797118078358/3,867
52,1096524449805048981100526461289620,1622077588469007368491903049245/4,169
53,5283139809285953119753024435772779,1880790248944803531417951027331,2809
54,25468127962666859560636360991590344,26201777739369197078843992789702/3,243
55,122835701511953798062350529023907350,40606843475026048946231579842614,3025
56,592743573428890968467950650324295264,378025238156180464584152200461923/2,49
57,2861647708748816516442338269316449146,2642333987764373514720533951354062/3,1083
58,13821824049214003340532656500358407838,8217493489425685695917156064422359/2,841
59,66789410216255633178396289957853554041,19186845796109058655098043653505761,3481
60,322876497258375736587084377334498579000,538127495430626227645140628890830965/6,75
61,1561513256339953127041895428348645778843,419648819226001915356596460185070083,3721
62,7554913163296804425382999964532658798466,3930756068312593353477107161567460353/2,961
63,36566404527431303384574530138093089909821,27639005689668407698091103656910876727/3,1323
64,177051132287237734531151592331436329574400,43225374093563900032019431721542072650,1
65,857578246739873780455708239563987033211025,202977099820088468746913192796209948689,4225
66,4155301745974367571374009535817123841276202,5723556123931635773242437377158572784127/6,363
67,20140976426070711415174294329595894713419537,4486740126101740123674380559054554402633,4489
68,97656961390451262973096885380347604868683932,84478340303158531983647824723484087256647/4,289
69,473659665518022371890639629314049269467397268,298462297112805527341297813052330982651164/3,1587
70,2298084924208216980747947671015439958608309300,468996923307799383826111769594987746654757,1225
71,11153170713213704015044633278016781531796769969,2212491710615692127562910787148736665700609,5041
72,54145145768927285279654806943114623915326335808,31333996394055141944244679943932074025073111/3,27
73,262933580210248703023633548966318628787293284503,49340135149230381501901585469378613020696807,5329
74,1277187108237802068295553059390530306600429279614,466467168823156343424234134182078271220025303/2,1369
75,6205569889190308925095088366859201781086941482500,3309637274234831426717380462324907616579702124/3,1875
76,30159514770444466135780982692382969644234392677380,20886090561249630287936968623533912496007197145/4,361
77,146615385218325261785904863182940172228171795865076,24728518336705222092411007452005426248637509844,5929
78,712925843693350397867707509437852373891333598961634,703082686088116763183143500431807074843524259331/6,507
79,3467496232251909082851160214903627762316801619562561,555599460383257343831302710287394289747925271521,6241
80,16869094849925117088182800254625977716635474602995200,2635796070300799545028562539785309018224292906718,25
81,82086005176853748950847139903695734691935102660348550,37533610048858595770849172338223929900290399021650/3,2187
82,399526444113404698217233816599478112792350478342571086,118835944114635543788588285722628825934667007240503/2,1681
83,1944995536436213939169063764719279503370921574572726645,282333507974483080152280993572257149567560106629805,6889
84,9470786465910214298437216379757376079730038288086445856,1342231641994077990141328852006430850301876174615426,147
85,46125980028770619940417669486922305537590943727857156525,6384218689103199991753310655629384849493556225308949,7225
86,224695896709231410191605973317815536069368952901808563706,60761464767234021144295828371502308293501609762522597/2,1849
87,1094794411109889279918530906681166038935237039903714619616,433925648477958493824229451716673023755543812882962592/3,2523
88,5335263702888583644212486499605781732528693338551811170336,1377909014175770569269753744732898174723319560576397513/2,121
89,26005377189444288648026720471827016106567780229948922561131,3283092688984255605103739486406642609085693754569994011,7921
90,126780511548631154576339919282457093724012374008318592161900,46955745018011538731977747882391516194078657040117997097/3,675
91,618190184854672230918452940093831996798466740063120534131527,74651634446887118816381226916294166984478534001101380767,8281
92,3014881323808683939494771309018724605722584860865934881940100,1424802137905805264411517631861401042401977722526434254225/4,529
