n,m,A_n_m
0,0,1
0,1,4
0,2,9
0,3,16
0,4,25
0,5,36
0,6,49
0,7,64
0,8,81
0,9,100
0,10,121
0,11,144
0,12,169
0,13,196
0,14,225
0,15,256
0,16,289
0,17,324
0,18,361
0,19,400
0,20,441
1,0,4
1,1,16
1,2,42
1,3,88
1,4,154
1,5,240
1,6,346
1,7,472
1,8,618
1,9,784
1,10,970
1,11,1176
1,12,1402
1,13,1648
1,14,1914
1,15,2200
1,16,2506
1,17,2832
1,18,3178
1,19,3544
1,20,3930
2,0,9
2,1,36
2,2,105
2,3,246
2,4,471
2,5,786
2,6,1191
2,7,1686
2,8,2271
2,9,2946
2,10,3711
2,11,4566
2,12,5511
2,13,6546
2,14,7671
2,15,8886
2,16,10191
2,17,11586
2,18,13071
2,19,14646
2,20,16311
3,0,16
3,1,64
3,2,198
3,3,496
3,4,1006
3,5,1764
3,6,2788
3,7,4084
3,8,5652
3,9,7492
3,10,9604
3,11,11988
3,12,14644
3,13,17572
3,14,20772
3,15,24244
3,16,27988
3,17,32004
3,18,36292
3,19,40852
3,20,45684
4,0,25
4,1,100
4,2,321
4,3,838
4,4,1759
4,5,3186
4,6,5197
4,7,7834
4,8,11115
4,9,15046
4,10,19627
4,11,24858
4,12,30739
4,13,37270
4,14,44451
4,15,52282
4,16,60763
4,17,69894
4,18,79675
4,19,90106
4,20,101187
5,0,36
5,1,144
5,2,474
5,3,1272
5,4,2730
5,5,5052
5,6,8424
5,7,12972
5,8,18780
5,9,25896
5,10,34338
5,11,44112
5,12,55218
5,13,67656
5,14,81426
5,15,96528
5,16,112962
5,17,130728
5,18,149826
5,19,170256
5,20,192018
6,0,49
6,1,196
6,2,657
6,3,1798
6,4,3919
6,5,7362
6,6,12469
6,7,19498
6,8,28659
6,9,40108
6,10,53935
6,11,70188
6,12,88885
6,13,110032
6,14,133629
6,15,159676
6,16,188173
6,17,219120
6,18,252517
6,19,288364
6,20,326661
7,0,64
7,1,256
7,2,870
7,3,2416
7,4,5326
7,5,10116
7,6,17332
7,7,27412
7,8,40752
7,9,57688
7,10,78454
7,11,103212
7,12,132058
7,13,165040
7,14,202176
7,15,243472
7,16,288928
7,17,338544
7,18,392320
7,19,450256
7,20,512352
8,0,81
8,1,324
8,2,1113
8,3,3126
8,4,6951
8,5,13314
8,6,23013
8,7,36714
8,8,55059
8,9,78636
8,10,107895
8,11,143196
8,12,184803
8,13,232884
8,14,287535
8,15,348804
8,16,416709
8,17,491256
8,18,572445
8,19,660276
8,20,754749
9,0,100
9,1,400
9,2,1386
9,3,3928
9,4,8794
9,5,16956
9,6,29512
9,7,47404
9,8,71580
9,9,102952
9,10,142258
9,11,190140
9,12,247126
9,13,313600
9,14,389832
9,15,475996
9,16,572188
9,17,678456
9,18,794818
9,19,921280
9,20,1057842
10,0,121
10,1,484
10,2,1689
10,3,4822
10,4,10855
10,5,21042
10,6,36829
10,7,59482
10,8,90315
10,9,130636
10,10,181543
10,11,244044
10,12,319027
10,13,407188
10,14,509079
10,15,625114
10,16,755569
10,17,900618
10,18,1060357
10,19,1234834
10,20,1424067
11,0,144
11,1,576
11,2,2022
11,3,5808
11,4,13134
11,5,25572
11,6,44964
11,7,72948
11,8,111264
11,9,161688
11,10,225750
11,11,304908
11,12,400506
11,13,513648
11,14,645276
11,15,796164
11,16,966888
11,17,1157868
11,18,1369386
11,19,1601616
11,20,1854654
12,0,169
12,1,676
12,2,2385
12,3,6886
12,4,15631
12,5,30546
12,6,53917
12,7,87802
12,8,134427
12,9,196108
12,10,274879
12,11,372732
12,12,491563
12,13,632980
12,14,798423
12,15,989146
12,16,1206145
12,17,1450218
12,18,1721971
12,19,2021830
12,20,2350077
13,0,196
13,1,784
13,2,2778
13,3,8056
13,4,18346
13,5,35964
13,6,63688
13,7,104044
13,8,159804
13,9,233896
13,10,328930
13,11,447516
13,12,592198
13,13,765184
13,14,968520
13,15,1204060
13,16,1473340
13,17,1777668
13,18,2118118
13,19,2495512
13,20,2910462
14,0,225
14,1,900
14,2,3201
14,3,9318
14,4,21279
14,5,41826
14,6,74277
14,7,121674
14,8,187395
14,9,275052
14,10,387903
14,11,529260
14,12,702411
14,13,910260
14,14,1155567
14,15,1440906
14,16,1768473
14,17,2140218
14,18,2557827
14,19,3022662
14,20,3535821
15,0,256
15,1,1024
15,2,3654
15,3,10672
15,4,24430
15,5,48132
15,6,85684
15,7,140692
15,8,217200
15,9,319576
15,10,451798
15,11,617964
15,12,822202
15,13,1068208
15,14,1359564
15,15,1699684
15,16,2091544
15,17,2537868
15,18,3041098
15,19,3603280
15,20,4226154
16,0,289
16,1,1156
16,2,4137
16,3,12118
16,4,27799
16,5,54882
16,6,97909
16,7,161098
16,8,249219
16,9,367468
16,10,520615
16,11,713628
16,12,951571
16,13,1239028
16,14,1580511
16,15,1980394
16,16,2442553
16,17,2970618
16,18,3567931
16,19,4237366
16,20,4981461
17,0,324
17,1,1296
17,2,4650
17,3,13656
17,4,31386
17,5,62076
17,6,110952
17,7,182892
17,8,283452
17,9,418728
17,10,594354
17,11,816252
17,12,1090518
17,13,1422720
17,14,1818408
17,15,2283036
17,16,2821500
17,17,3438468
17,18,4138326
17,19,4924920
17,20,5801742
18,0,361
18,1,1444
18,2,5193
18,3,15286
18,4,35191
18,5,69714
18,6,124813
18,7,206074
18,8,319899
18,9,473356
18,10,673015
18,11,925836
18,12,1239043
18,13,1619284
18,14,2073255
18,15,2607610
18,16,3228385
18,17,3941418
18,18,4752283
18,19,5665942
18,20,6686997
19,0,400
19,1,1600
19,2,5766
19,3,17008
19,4,39214
19,5,77796
19,6,139492
19,7,230644
19,8,358560
19,9,531352
19,10,756598
19,11,1042380
19,12,1397146
19,13,1828720
19,14,2345052
19,15,2954116
19,16,3663208
19,17,4479468
19,18,5409802
19,19,6460432
19,20,7637226
20,0,441
20,1,1764
20,2,6369
20,3,18822
20,4,43455
20,5,86322
20,6,154989
20,7,256602
20,8,399435
20,9,592716
20,10,845103
20,11,1165884
20,12,1564827
20,13,2051028
20,14,2633799
20,15,3322554
20,16,4125969
20,17,5052618
20,18,6110883
20,19,7308390
20,20,8652429
