base_q,length_k,T_q_k
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,1
2,49,1
2,50,1
2,51,1
2,52,1
2,53,1
2,54,1
2,55,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,62,1
2,63,1
2,64,1
2,65,1
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
2,71,1
2,72,1
2,73,1
2,74,1
2,75,1
2,76,1
2,77,1
2,78,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,1
2,86,1
2,87,1
2,88,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,94,1
2,95,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,1
3,1,2
3,2,3
3,3,4
3,4,6
3,5,8
3,6,12
3,7,16
3,8,24
3,9,32
3,10,48
3,11,64
3,12,96
3,13,128
3,14,192
3,15,256
3,16,384
3,17,512
3,18,768
3,19,1024
3,20,1536
3,21,2048
3,22,3072
3,23,4096
3,24,6144
3,25,8192
3,26,12288
3,27,16384
3,28,24576
3,29,32768
3,30,49152
3,31,65536
3,32,98304
3,33,131072
3,34,196608
3,35,262144
3,36,393216
3,37,524288
3,38,786432
3,39,1048576
3,40,1572864
3,41,2097152
3,42,3145728
3,43,4194304
3,44,6291456
3,45,8388608
3,46,12582912
3,47,16777216
3,48,25165824
3,49,33554432
3,50,50331648
3,51,67108864
3,52,100663296
3,53,134217728
3,54,201326592
3,55,268435456
3,56,402653184
3,57,536870912
3,58,805306368
3,59,1073741824
3,60,1610612736
3,61,2147483648
3,62,3221225472
3,63,4294967296
