d,t,n,exact_over_leading_asymptotic,exact_variance_minus_dn_over_8,predicted_variance_constant
1,1,25,0.903590693481700423547117,0.183823529411764705882353,0.1875
1,1,50,0.949734347280030296079008,0.185643564356435643564356,0.1875
1,1,100,0.974320073827298660615823,0.18656716417910447761194,0.1875
1,1,200,0.987018997992465771962606,0.187032418952618453865337,0.1875
1,1,400,0.993473687264946345556384,0.187265917602996254681648,0.1875
2,1,25,0.941611931698999689020503,0.132581026439806058332945,0.135723304703363118899789
2,1,50,0.970097197608738864197844,0.134137592057933800939356,0.135723304703363118899789
2,1,100,0.984865501426720118617854,0.134926781105809882367306,0.135723304703363118899789
2,1,200,0.992386211057234433459847,0.135324123180337939065982,0.135723304703363118899789
2,1,400,0.996181373189169121410124,0.135523483652906933147428,0.135723304703363118899789
3,1,25,0.955918887196175963531848,0.117137348984472581782068,0.119692530395323440216097
3,1,50,0.977575035121650242873705,0.118405435567520937564634,0.119692530395323440216097
3,1,100,0.988689231403694706615263,0.119046605399274585078414,0.119692530395323440216097
3,1,200,0.994319764601305052196693,0.119368973391164578917145,0.119692530395323440216097
3,1,400,0.997153634160392072572066,0.119530603258160743802955,0.119692530395323440216097
4,1,25,0.963673694228352530326126,0.108875326752057208114061,0.111052276336410627389839
4,1,50,0.981587058610883802661578,0.109957079120231719256657,0.111052276336410627389839
4,1,100,0.990730025251624582695144,0.110503002331980988593844,0.111052276336410627389839
4,1,200,0.995349002246585013742128,0.110777221197483467053896,0.111052276336410627389839
4,1,400,0.997670481589528933095795,0.110914644325637178277418,0.111052276336410627389839
5,1,25,0.96863166000552366809011,0.10352114965926154705341,0.105436561252345260366452
5,1,50,0.98413705717970841613644,0.104473816209989945525104,0.105436561252345260366452
5,1,100,0.992023247553905534490477,0.104953936338280226300059,0.105436561252345260366452
5,1,200,0.996000229120784776179817,0.10519493666826114599034,0.105436561252345260366452
5,1,400,0.997997256538354006176685,0.105315671052650707063616,0.105436561252345260366452
8,1,25,0.976762627429176083931862,0.0944419527635362496282205,0.0958979612522129537268665
8,1,50,0.988293709439319296031853,0.0951673683355915250645549,0.0958979612522129537268665
8,1,100,0.994124807209030426713186,0.0955320254061622868528993,0.0958979612522129537268665
8,1,200,0.997056873331132070989599,0.095714834472150457183222,0.0958979612522129537268665
8,1,400,0.998527051791856595479542,0.0958063582727076270693967,0.0958979612522129537268665
1,4,40,0.935656095980663974976633,,
1,4,80,0.966945160010320887676356,,
1,4,160,0.983243222531257887453306,,
2,4,40,0.961084616378632047385991,,
2,4,80,0.980236388859526322457969,,
2,4,160,0.990040091160570737783597,,
3,4,40,0.970605082259260024098938,,
3,4,80,0.985135564821200257040804,,
3,4,160,0.992525431350139288546753,,
