d,k,W_d[k],"T(d+k,d)",difference
1,0,1,1,0
1,1,3,3,0
1,2,7,6,1
1,3,15,12,3
1,4,31,20,11
1,5,63,35,28
1,6,127,54,73
1,7,255,86,169
1,8,511,128,383
1,9,1023,192,831
1,10,2047,275,1772
1,11,4095,399,3696
1,12,8191,556,7635
1,13,16383,780,15603
1,14,32767,1068,31699
1,15,65535,1463,64072
1,16,131071,1965,129106
1,17,262143,2644,259499
1,18,524287,3498,520789
1,19,1048575,4630,1043945
1,20,2097151,6052,2091099
1,21,4194303,7899,4186404
1,22,8388607,10206,8378401
1,23,16777215,13174,16764041
1,24,33554431,16851,33537580
1,25,67108863,21522,67087341
1,26,134217727,27294,134190433
1,27,268435455,34545,268400910
1,28,536870911,43453,536827458
1,29,1073741823,54563,1073687260
1,30,2147483647,68135,2147415512
1,31,4294967295,84927,4294882368
1,32,8589934591,105366,8589829225
1,33,17179869183,130462,17179738721
1,34,34359738367,160876,34359577491
1,35,68719476735,198014,68719278721
1,36,137438953471,242812,137438710659
1,37,274877906943,297201,274877609742
1,38,549755813887,362587,549755451300
1,39,1099511627775,441546,1099511186229
1,40,2199023255551,536104,2199022719447
2,0,1,1,0
2,1,4,4,0
2,2,11,11,0
2,3,31,24,7
2,4,65,49,16
2,5,157,89,68
2,6,298,158,140
2,7,661,262,399
2,8,1196,428,768
2,9,2516,667,1849
2,10,4434,1033,3401
2,11,9002,1542,7460
2,12,15615,2289,13326
2,13,30914,3313,27601
2,14,53081,4765,48316
2,15,103157,6717,96440
2,16,175911,9427,166484
2,17,337083,13011,324072
2,18,572032,17882,554150
2,19,1084203,24260,1059943
2,20,1833370,32763,1800607
2,21,3444906,43775,3401131
2,22,5809704,58268,5751436
2,23,10840728,76837,10763891
2,24,18244741,100953,18143788
2,25,33852040,131629,33720411
2,26,56879735,171003,56708732
2,27,105047899,220683,104827216
2,28,176276525,283877,175992648
2,29,324305593,363016,323942577
2,30,543628822,462794,543166028
2,31,996943489,587005,996356484
2,32,1669712456,742332,1668970124
2,33,3053814272,934536,3052879736
2,34,5110947198,1173293,5109773905
2,35,9326498630,1467022,9325031608
2,36,15599707275,1829538,15597877737
2,37,28411941710,2273365,28409668345
2,38,47498433365,2817858,47495615507
2,39,86368631105,3481240,86365149865
2,40,144327417651,4290877,144323126774
3,0,1,1,0
3,1,5,5,0
3,2,16,16,0
3,3,41,41,0
3,4,112,91,21
3,5,244,186,58
3,6,542,351,191
3,7,1155,635,520
3,8,2288,1090,1198
3,9,4552,1824,2728
3,10,8852,2939,5913
3,11,16403,4652,11751
3,12,30879,7162,23717
3,13,56639,10875,45764
3,14,101213,16159,85054
3,15,182983,23758,159225
3,16,324486,34321,290165
3,17,564350,49145,515205
3,18,993937,69389,924548
3,19,1719921,97213,1622708
3,20,2937520,134608,2802912
3,21,5071047,185172,4885875
3,22,8629072,252182,8376890
3,23,14530667,341443,14189224
3,24,24723455,458413,24265042
3,25,41528426,612186,40916240
3,26,69202351,811567,68390784
3,27,116399185,1070826,115328359
3,28,193630543,1403784,192226759
3,29,319953484,1832370,318121114
3,30,533411447,2378320,531033127
3,31,880445775,3074642,877371133
3,32,1445273499,3954869,1441318630
3,33,2392127257,5068684,2387058573
3,34,3924249304,6466697,3917782607
3,35,6406818158,8222640,6398595518
3,36,10542753059,10412903,10532340156
3,37,17207927338,13145288,17194782050
3,38,27970409667,16533323,27953876344
3,39,45805097268,20734393,45784362875
3,40,74455436117,25914851,74429521266
4,0,1,1,0
4,1,6,6,0
4,2,22,22,0
4,3,63,63,0
4,4,155,155,0
4,5,393,342,51
4,6,869,700,169
4,7,1863,1343,520
4,8,3886,2463,1423
4,9,7863,4323,3540
4,10,15217,7361,7856
4,11,29134,12139,16995
4,12,55098,19581,35517
4,13,100994,30819,70175
4,14,183132,47697,135435
4,15,327848,72388,255460
4,16,584174,108390,475784
4,17,1015063,159752,855311
4,18,1764233,232833,1531400
4,19,3024640,334917,2689723
4,20,5186207,477270,4708937
4,21,8709489,672589,8036900
4,22,14691316,940222,13751094
4,23,24459622,1301954,23157668
