family,offset,terms,partial_numerator,partial_denominator,bound_numerator,bound_denominator,error_sign,certified_absolute_error_exponent,partial_decimal,bound_decimal
zeta3,0,5,35441662103,29484180000,1,152060768076250,1,14,1.202056903159592703612581391105331740614797494792122419548381538845577526660059733728392649888855650725236381001608320122859106137596500903196223,6.576318E-15
zeta3,0,10,43786938951280269198311,36426677336311407264000,1,189990200362728947745158381800,1,29,1.202056903159594285399738161510631621029701925157856392108215400061561888548312244580739082320604801682938477270801428588270446255011550357881585,5.263429E-30
zeta3,0,20,33338907204591442108470222377672879064526073959663,27734882697283685349587539578392633767240897382400,1,442672096747818298356522553204734573662197036309090604832800,1,59,1.202056903159594285399738161511449990764986292340498881792271353850877255076555181113132427432532008859902241021027757613848172945531438975381357,2.259008E-60
zeta3,0,40,92284178560075607229545061291234025622255421283227668140936631022345088101362998335930013881391890629729,76771888516681354262758171951047170179571186981057575743949248642338209988147721132133846193422080000000,1,4103559954027459607901942280004587047711958403019148578322677600469636030637588678400817986979170966315695937416258000000,1,120,1.202056903159594285399738161511449990764986292340498881792271555341838205786313090186455873609335258146199157795260719418480325773817997190796198,2.436908E-121
zeta3,1,5,482069222149,401036940000,1,3984529438831250,1,15,1.202056903159594225908466187678371972417304001970491795593692690753126133467904477826905421729978290777901905993996463268446043898100758498705880,2.509707E-16
zeta3,1,10,296814745496961797788584761,246922375069588862708064000,1,5615585368809840010604064125000,1,30,1.202056903159594285399738161511422519507062514176395896983240300639711123807243351896953083401103431558852998268000757978916114311131661980989670,1.780758E-31
zeta3,1,20,3079845862726821536073720924779256782671419944441911,2562146479614632352866384126244222889958118838732800,1,13990510243916865732279762475620275556918268870242648731236000,1,61,1.202056903159594285399738161511449990764986292340498881792271548992519314252378060309453769143559731675935750032474021023017663441094955087956170,7.147702E-62
zeta3,1,40,250140634679788773688954961555912735875185601613354115625078441329269331154165704937710864866840849380135303,208093838172133675014372037988938496566782809966788152698337177995086356416992569039137326959691618560000000,1,134365740213369609830619412168101769426434994285062905879282210307766516392716228327567210429602839460478431461771530000000,1,122,1.202056903159594285399738161511449990764986292340498881792271555341838205786313090186455873609335258146199157795260719418491640332656212410775396,7.442373E-123
zeta3,3,5,32369235016134637,26928205254720000,1,914744379825031250,1,17,1.202056903159594285144076394549910058254789354186068313937920447119772881618045153557451693710958624161715170154412886349756680365066233616772042,1.093202E-18
zeta3,3,10,12207950725265265592799762623417,10155884212450169265665200608000,1,2511741435641356260092843878105000,1,33,1.202056903159594285399738161511449929964867932256137781451500177462712674338919691291805345503636361306427598640757531550344133645283764022099382,3.981302E-34
zeta3,3,20,919648626284604942178821713137728584054987949165054386237,765062472389882647353842852683030374878351051227951257600,1,9606366657953514383126310283638435046907775314273740235048020000,1,63,1.202056903159594285399738161511449990764986292340498881792271555332650754455112898257147952287151296507093960172583172354521220491756916235085827,1.040976E-64
zeta3,3,40,81480031775327246861920878612562122007579553397403842234237521639411697306859035196716392784349631040036749362485203,67783839152005047377366826300043964866986047692706606071406744040904654568219020345819909906755576501047266560000000,1,118054405259611555663431167793112906714060003765894948156853454919407366417196853522877041073143076984139483729817060050000000,1,125,1.202056903159594285399738161511449990764986292340498881792271555341838205786313090186455873609335258146199157795260719418491995595361687128743616,8.470671E-126
zeta2_upper,0,5,13327519,8102160,1,8048078082,-1,9,1.644934066964858753715058700395943797703328495117351422336759580161339692131480987785973123216524976055767844624149609486852888612419404208260513,1.242533E-10
zeta2_upper,0,10,394018358855,239534438976,2,437817442193169508701,1,20,1.644934066848226436468108180783284345758727513492159932475562891311063247116067171997700139176833788565342835422376270704593883040385074619559160,4.568114E-21
zeta2_upper,0,20,49365586550772596159972753724151403,30010677963135299147717486757414144,2,340440416920197321928378346076794509030281,1,41,1.644934066848226436472415166646025189218944349570449593995871073991478144842815680338635669345914239809572153053359636142327374424142216523543284,5.874743E-42
zeta2_upper,0,40,591068340698823029156958405397483790483138670656309539072505262101,359326463358703900544041097870839755467490971878355699180678016000,2,211542466086175050078109289628741636934063329976691264624594307498532584451432964841,1,83,1.644934066848226436472415166646025189218949901206798437735558229370007470403200873824684112602228091401435748631142253101459610936763457397169437,9.454366E-84
zeta2_upper,1,5,10064233,6118320,1,48162956166,-1,10,1.644934066868029132180075576301991396331018972528406490670641614037840452934792557434066868029132180075576301991396331018972528406490670641614038,2.076285E-11
zeta2_upper,1,10,118794393162481909,72218331151775424,2,2788338676974186211623,1,21,1.644934066848226436471733041801999738344711478652730941259426400098216948939175580376819786625394279927920987218121985212742665163699944711951478,7.172730E-22
zeta2_upper,1,20,1363686023519566861822689578148917,829021692117092276305180903889664,2,2245743311058317273582585676006926551117683,1,42,1.644934066848226436472415166646025189218949055817104454367847962417106581373805567954284796301815533028009335421053447224308342820542239792370948,8.905737E-43
zeta2_upper,1,40,132801711821296378678815819132125640443946958884950946055867254076796501,80733759788774335779464487606440756218902394114841886248478557932416000,2,1421841272931567080918448762140624373878531946648518918906418923073529184571549827403,1,83,1.644934066848226436472415166646025189218949901206798437735558229370007470403200873832295019859936319139129436786742796000877033801440757431294582,1.406627E-84
zeta2_upper,3,5,7404504103,4501398720,1,874639570194,-1,11,1.644934066849336998967289882732272159174559857696853834800930498331860724392794957741490627162216814243906836140034269170450201754178310158669970,1.143328E-12
zeta2_upper,3,10,3567248428132129907,2168626998507697728,2,74457856542900584345427,1,22,1.644934066848226436472389299920276846843426074384133721044459813820662379089290813431666197899778792697610755856153012913596688757728128592346468,2.686083E-23
zeta2_upper,3,20,4800709392352815583538067494823329353,2918481347736452404431123838300309248,2,77231398092493410787487873067759671284061007,1,43,1.644934066848226436472415166646025189218949876437416457019469617619633746729528346058194472499654042788010939336866705858701198764275014610918954,2.589620E-44
zeta2_upper,3,40,191861787409388769189683785858126609467626097425775091430299626832993527397,116637980376323090105993197551224310800868993086693441064231243260257152000,2,56661227653042511291885476429098329442634527418267557931816471917191049480034207772967,1,85,1.644934066848226436472415166646025189218949901206798437735558229370007470403200873833595287279483455372900755720980866841732256878281836024181241,3.529751E-86
zeta2_lower,0,5,13327519,8102160,1,8048078082,-1,9,1.644934066964858753715058700395943797703328495117351422336759580161339692131480987785973123216524976055767844624149609486852888612419404208260513,1.242533E-10
zeta2_lower,0,10,394018358855,239534438976,2,437817442193169508701,1,20,1.644934066848226436468108180783284345758727513492159932475562891311063247116067171997700139176833788565342835422376270704593883040385074619559160,4.568114E-21
zeta2_lower,0,20,49365586550772596159972753724151403,30010677963135299147717486757414144,2,340440416920197321928378346076794509030281,1,41,1.644934066848226436472415166646025189218944349570449593995871073991478144842815680338635669345914239809572153053359636142327374424142216523543284,5.874743E-42
zeta2_lower,0,40,591068340698823029156958405397483790483138670656309539072505262101,359326463358703900544041097870839755467490971878355699180678016000,2,211542466086175050078109289628741636934063329976691264624594307498532584451432964841,1,83,1.644934066848226436472415166646025189218949901206798437735558229370007470403200873824684112602228091401435748631142253101459610936763457397169437,9.454366E-84
zeta2_lower,1,5,47057879,28607760,2,241851870491,1,11,1.644934066840605486063921117906470132579412019675780277798751108090951546014088485082369259249937779120070917820898944901663045271632591996017864,8.269525E-12
zeta2_lower,1,10,188529954482286623,114612468841088064,1,3576965105514426707592,-1,21,1.644934066848226436472676294812687449478039950081325950257356939081700521018416346717434673804250643686612796182637132821528138985978733646676414,2.795666E-22
zeta2_lower,1,20,198825269729788572691756749498951491,120871270002175495139825437750504704,1,2910987227606311809554362207613688253018042,-1,42,1.644934066848226436472415166646025189218950224313578195028675722505437112279176161696308725181156760403403720258864917610146880638275279292753636,3.435261E-43
zeta2_lower,1,40,39983358641838455048287895871789999081720547063898524325886302549238801967,24306967341523002271348464380236809588583007799578767684075431313222272000,1,1852260254990785783602131323593545118052804833147271146503125368296896775691089145042,-1,84,1.644934066848226436472415166646025189218949901206798437735558229370007470403200873834138479080045691841610585875006993215921439178616773021889541,5.398809E-85
zeta2_lower,3,5,40702565167,24744192480,2,25785017169219,1,13,1.644934066848157657072994123427542946432818889873103670587030609778056495299296184589007044452153404846129777600242786342890588442431967373703520,7.756442E-14
