family,offset,terms,signed_error_250_dps,error_divided_by_leading_asymptotic
zeta3,0,5,1.5817871567704061182501501887975484e-15,0.8866834255782093049509854
zeta3,0,10,8.1836973528436718264248968405615528e-31,0.9388528284967981638212347
zeta3,0,20,2.014909609507097579090733234461768e-61,0.9681850094403727919528026
zeta3,0,40,1.1670224855286022980199224306035682e-122,0.9837656718178932649974815
zeta3,1,5,5.9491271973833078018347682290370007e-17,1.13286077940455792941359
zeta3,1,10,2.7471257923778164102984809031254702e-32,1.070604949361220112200396
zeta3,1,20,6.3493188915339350298770021044657755e-63,1.036412559441169275716193
zeta3,1,40,3.5566601707080300100061001119507218e-124,1.018491837796017377974503
zeta3,3,5,2.5566176696153993251019693815443057e-19,5.618165851189970615208012
zeta3,3,10,6.0800118360084361100340771377879126e-35,2.734390948399966605684175
zeta3,3,20,9.1874513312001919293079213221839616e-66,1.730637307317630631631813
zeta3,3,40,4.0331159608503278097600936634195036e-127,1.332788918750122580683805
zeta2_upper,0,5,-0.00000000011663231724264353374991860848437859,0.9221028859909847280407222
zeta2_upper,0,10,4.3069858627408434602223877146385053e-21,0.9583318801741511071922061
zeta2_upper,0,20,5.5516363488437396871553785293255604e-42,0.9784249643814024015015454
zeta2_upper,0,40,8.9447880175306139025685703311949376e-84,0.9890189597357223961244
zeta2_upper,1,5,-1.9802695707660409655966207112069071e-11,1.073088034039470654114651
zeta2_upper,1,10,6.8212484402545087423842255406749648e-22,1.040295974642745234560175
zeta2_upper,1,20,8.453896939833677102669529008890294e-43,1.021207568019640385805273
zeta2_upper,1,40,1.3338807598223861648748821755943947e-84,1.010885887873072963766538
zeta2_upper,3,5,-1.1105624948747160862469699556099565e-12,2.827191085205080889345019
zeta2_upper,3,10,2.5866725748342375523826822664716691e-23,1.853256922544719456214566
zeta2_upper,3,20,2.4769381980716088611750373723673673e-44,1.405637607848655946928127
zeta2_upper,3,40,3.3613340275249931103563241356323838e-86,1.196734798305220864982659
zeta2_lower,0,5,-0.00000000011663231724264353374991860848437859,0.9221028859909847280407222
zeta2_lower,0,10,4.3069858627408434602223877146385053e-21,0.9583318801741511071922061
zeta2_lower,0,20,5.5516363488437396871553785293255604e-42,0.9784249643814024015015454
zeta2_lower,0,40,8.9447880175306139025685703311949376e-84,0.9890189597357223961244
zeta2_lower,1,5,7.6209504084940487395550566395378815e-12,1.081173653545929715889559
zeta2_lower,1,10,-2.6112816666226025909004887452751252e-22,1.042610395179571600088976
zeta2_lower,1,20,-3.2310677975729311749313542964187598e-43,1.021829477501183394980668
zeta2_lower,1,40,-5.0957846028698653760626691266980254e-85,1.011047287233860955489613
zeta2_lower,3,5,6.8779399421043218482242786131011334e-14,3.141929101163357501950712
zeta2_lower,3,10,-1.4937096493333136043655643315425858e-24,1.920375694255933799405281
zeta2_lower,3,20,-1.3949882751288437947821814736195981e-45,1.420543693463797751593421
zeta2_lower,3,40,-1.8786310793124323930182842433184754e-87,1.200199915564511605998212
