k,n,modulus,residue,count_including_holes,degree,support_size,holes
2,0,2,0,0,0,1,0
2,0,2,1,1,0,1,0
2,0,3,0,0,0,1,0
2,0,3,1,1,0,1,0
2,0,3,2,0,0,1,0
2,0,4,0,0,0,1,0
2,0,4,1,1,0,1,0
2,0,4,2,0,0,1,0
2,0,4,3,0,0,1,0
2,0,5,0,0,0,1,0
2,0,5,1,1,0,1,0
2,0,5,2,0,0,1,0
2,0,5,3,0,0,1,0
2,0,5,4,0,0,1,0
2,1,2,0,0,1,2,0
2,1,2,1,2,1,2,0
2,1,3,0,0,1,2,0
2,1,3,1,2,1,2,0
2,1,3,2,0,1,2,0
2,1,4,0,0,1,2,0
2,1,4,1,2,1,2,0
2,1,4,2,0,1,2,0
2,1,4,3,0,1,2,0
2,1,5,0,0,1,2,0
2,1,5,1,2,1,2,0
2,1,5,2,0,1,2,0
2,1,5,3,0,1,2,0
2,1,5,4,0,1,2,0
2,2,2,0,0,3,4,0
2,2,2,1,4,3,4,0
2,2,3,0,0,3,4,0
2,2,3,1,4,3,4,0
2,2,3,2,0,3,4,0
2,2,4,0,0,3,4,0
2,2,4,1,4,3,4,0
2,2,4,2,0,3,4,0
2,2,4,3,0,3,4,0
2,2,5,0,0,3,4,0
2,2,5,1,4,3,4,0
2,2,5,2,0,3,4,0
2,2,5,3,0,3,4,0
2,2,5,4,0,3,4,0
2,3,2,0,1,6,7,0
2,3,2,1,6,6,7,0
2,3,3,0,0,6,7,0
2,3,3,1,6,6,7,0
2,3,3,2,1,6,7,0
2,3,4,0,0,6,7,0
2,3,4,1,6,6,7,0
2,3,4,2,1,6,7,0
2,3,4,3,0,6,7,0
2,3,5,0,0,6,7,0
2,3,5,1,6,6,7,0
2,3,5,2,1,6,7,0
2,3,5,3,0,6,7,0
2,3,5,4,0,6,7,0
2,4,2,0,4,11,12,0
2,4,2,1,8,11,12,0
2,4,3,0,0,11,12,0
2,4,3,1,8,11,12,0
2,4,3,2,4,11,12,0
2,4,4,0,0,11,12,0
2,4,4,1,8,11,12,0
2,4,4,2,4,11,12,0
2,4,4,3,0,11,12,0
2,4,5,0,0,11,12,0
2,4,5,1,8,11,12,0
2,4,5,2,4,11,12,0
2,4,5,3,0,11,12,0
2,4,5,4,0,11,12,0
2,5,2,0,8,19,20,0
2,5,2,1,12,19,20,0
2,5,3,0,2,19,20,0
2,5,3,1,10,19,20,0
2,5,3,2,8,19,20,0
2,5,4,0,0,19,20,0
2,5,4,1,10,19,20,0
2,5,4,2,8,19,20,0
2,5,4,3,2,19,20,0
2,5,5,0,0,19,20,0
2,5,5,1,10,19,20,0
2,5,5,2,8,19,20,0
2,5,5,3,2,19,20,0
2,5,5,4,0,19,20,0
2,6,2,0,13,32,33,0
2,6,2,1,20,32,33,0
2,6,3,0,8,32,33,0
2,6,3,1,13,32,33,0
2,6,3,2,12,32,33,0
2,6,4,0,1,32,33,0
2,6,4,1,12,32,33,0
2,6,4,2,12,32,33,0
2,6,4,3,8,32,33,0
2,6,5,0,0,32,33,0
2,6,5,1,12,32,33,0
2,6,5,2,12,32,33,0
2,6,5,3,8,32,33,0
2,6,5,4,1,32,33,0
2,7,2,0,22,53,54,0
2,7,2,1,32,53,54,0
2,7,3,0,16,53,54,0
2,7,3,1,20,53,54,0
2,7,3,2,18,53,54,0
2,7,4,0,6,53,54,0
2,7,4,1,16,53,54,0
2,7,4,2,16,53,54,0
2,7,4,3,16,53,54,0
2,7,5,0,2,53,54,0
2,7,5,1,14,53,54,0
2,7,5,2,16,53,54,0
2,7,5,3,16,53,54,0
2,7,5,4,6,53,54,0
2,8,2,0,40,87,88,0
2,8,2,1,48,87,88,0
2,8,3,0,28,87,88,0
2,8,3,1,32,87,88,0
2,8,3,2,28,87,88,0
2,8,4,0,16,87,88,0
2,8,4,1,24,87,88,0
2,8,4,2,24,87,88,0
2,8,4,3,24,87,88,0
2,8,5,0,8,87,88,0
2,8,5,1,20,87,88,0
2,8,5,2,20,87,88,0
2,8,5,3,24,87,88,0
2,8,5,4,16,87,88,0
2,9,2,0,71,142,143,0
2,9,2,1,72,142,143,0
2,9,3,0,48,142,143,0
2,9,3,1,50,142,143,0
2,9,3,2,45,142,143,0
2,9,4,0,31,142,143,0
2,9,4,1,36,142,143,0
2,9,4,2,40,142,143,0
2,9,4,3,36,142,143,0
2,9,5,0,18,142,143,0
2,9,5,1,34,142,143,0
2,9,5,2,28,142,143,0
2,9,5,3,35,142,143,0
2,9,5,4,28,142,143,0
2,10,2,0,120,231,232,0
2,10,2,1,112,231,232,0
2,10,3,0,76,231,232,0
2,10,3,1,80,231,232,0
2,10,3,2,76,231,232,0
2,10,4,0,56,231,232,0
2,10,4,1,56,231,232,0
2,10,4,2,64,231,232,0
2,10,4,3,56,231,232,0
2,10,5,0,36,231,232,0
2,10,5,1,52,231,232,0
2,10,5,2,44,231,232,0
