k,lambda,C,rho_multinacci
2,1.5436890126920763615708559718017479865252032976509839352408040378311686739279738,1.4736796892775702037813217522842465044223532424717717474214334534318085480185175,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024
3,1.7166727492822866384247393014325561839215513760298616466789456802421474900733871,1.5500235343172114355771407822183657613228500821515041353335634045880381458229744,1.8392867552141611325518525646532866004241787460975922467787586394042032220819664
4,1.8556790279773006928716702364061440885690956932859011866859445104161261011228295,1.3627570965157730974540033394829065976711011124530148304555113251106320044672028,1.9275619754829253042619058617366221686985542551633847271466470380096660622978154
5,1.9306049885584292768846061657344468045969504286688227012778257495909914373573769,1.2008428551906228492886561637237072449388749342526114250012516464942597585678096,1.9659482366454853371899373759344013961513271774568613932369345084422527128718868
6,1.9665806892881835564412556734096882591653682156394352871147879307463910392351133,1.1093290204587132521876393780490610626434027670044401377015641804472690897497918,1.9835828434243263303856292933914257527300808655688217532163590656567022780141724
7,1.9837245139010550500434074322092434024262521053334968500440201367625594018368518,1.0598798608286601020145504323455928894492371360316769143881079603343424404235989,1.9919641966050350210977417545843749634793189600531579952447821534009519803096222
8,1.9919974135589198645531663649591539107199159069984515427832077790012263976663758,1.0329316675700015705625190696343376626354961629045136921725420006944365542185309,1.9960311797354145898153179017558397744893796809452219276348536272845952699456274
9,1.9960391822589773220563615963997162081572544995987972958210396573581927332223558,1.0181104662343345434337832115250387361758014369800868453759630585151831122299919,1.9980294702622866986623314669714188942239481120072081763500760641834724621641832
10,1.9980314291067355797894881029351301686321725040603598064304359450976498830567523,1.0099308079335806934189924455556523777895953055873673545094682955846571369600533,1.9990186327101011386634092391291528618543100760622208265320083288247869272365408
11,1.9990191166241824422117719533770637792794256270934125087136549545294257750226442,1.0054214449826443812294132985390889972184535352842290832836348370800485222159344,1.9995104019782854914400439568615293266610812542666148107798375192366153900787198
12,1.9995105221549207227099057883338769824944397648221342685334621278480011231970828,1.0029447944816472997902588993074801272205671260397237632635303214584756311576373,1.9997555009373175366974267624003829123833233865045563230627539393216112876612844
13,1.9997555308711202633145596087920773944501966693027480420243749121056322629928585,1.0015913835550605326954091407767053923074715685993245453613449812821775163865593,1.9998778327115455400399468992129904778722632168888674132024669542330363660798970
14,1.9998778401798988590007526451881107214996274013898913992152536916136210988590471,1.0008557982713803442642717531563176408156909519747763955517638845323171818468328,1.9999389387495946484978450591709616916341864479691858082826774529680107244534802
15,1.9999389406146299426580457408089908970970999369143155890959085024210734066355100,1.0004581412061645735119822673319638644439708763684585244353483700136635352511064,1.9999694754345032923601892014181530430067966082168206449094536562349216576585690
16,1.9999694759004845190632377751440756545154968539434899043383002835476534917178901,1.0002442487120500068046729906662435758754788261367005573261702935321425456037265,1.9999847393479441072890596908531805233987898650453478289248709157590384389041186
17,1.9999847394644020755555598543204119217780511842192077538422789486902727701184275,1.0001297303906092036796892712251161753653962010093745970568547694559355477649997,1.9999923701106545545812620866626901737444614238875555318768424750845165711921660
18,1.9999923701397640481543331787497620646897074395930816731612096502460227030908821,1.0000686731958401005356875478227178568091352445258579515844043573067837254898904,1.9999961851717602680107347334164106708830286956207709515988268510427178883374844
19,1.9999961851790369750940491096748735166493265782380073234846019694874767878892887,1.0000362420434606371213374092807818885594009642184818978776035132515523123094436,1.9999980926168054329685280277197614282004283481358415779751968378063680815616314
20,1.9999980926186245212560883810160627269714573996329795377906426025717375293825658,1.0000190741593808681239847632397245508454915580891140774063447731340465824422050,1.9999990463165885144573164084460484450167062577367989576835556624530166307077352
