n,v_2_3_2n,v_2_4_2n,v_2_5_2n,v_2_8_2n,v_2_9_2n,v_2_16_2n,v_3_4_2n,v_3_9_2n
0,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2
2,2,2,4,4,4,4,2,2
3,2,4,4,4,8,8,2,6
4,2,4,8,8,8,8,2,6
5,4,8,8,16,16,16,2,18
6,4,8,16,16,32,32,2,18
7,4,16,16,32,32,64,2,54
8,8,16,32,64,64,64,2,54
9,8,32,32,64,128,128,6,162
10,16,32,64,128,128,256,6,162
11,16,64,128,256,256,512,6,486
12,16,64,128,256,512,512,6,486
13,32,128,256,512,512,1024,6,1458
14,32,128,256,1024,1024,2048,18,1458
15,32,256,512,1024,2048,4096,18,4374
16,64,256,512,2048,2048,4096,18,4374
17,64,512,1024,4096,4096,8192,18,13122
18,128,512,2048,4096,8192,16384,18,13122
19,128,1024,2048,8192,8192,32768,54,39366
20,128,1024,4096,16384,16384,32768,54,39366
21,256,2048,4096,16384,32768,65536,54,118098
22,256,2048,8192,32768,32768,131072,54,118098
23,256,4096,8192,65536,65536,262144,54,354294
24,512,4096,16384,65536,131072,262144,162,354294
25,512,8192,32768,131072,262144,524288,162,1062882
26,512,8192,32768,262144,262144,1048576,162,1062882
27,1024,16384,65536,262144,524288,2097152,162,3188646
28,1024,16384,65536,524288,1048576,2097152,486,3188646
29,2048,32768,131072,1048576,1048576,4194304,486,9565938
30,2048,32768,131072,1048576,2097152,8388608,486,9565938
31,2048,65536,262144,2097152,4194304,16777216,486,28697814
32,4096,65536,524288,4194304,4194304,16777216,486,28697814
33,4096,131072,524288,4194304,8388608,33554432,1458,86093442
34,4096,131072,1048576,8388608,16777216,67108864,1458,86093442
35,8192,262144,1048576,16777216,16777216,134217728,1458,258280326
36,8192,262144,2097152,16777216,33554432,134217728,1458,258280326
37,16384,524288,2097152,33554432,67108864,268435456,1458,774840978
38,16384,524288,4194304,67108864,67108864,536870912,4374,774840978
39,16384,1048576,8388608,67108864,134217728,1073741824,4374,2324522934
40,32768,1048576,8388608,134217728,268435456,1073741824,4374,2324522934
41,32768,2097152,16777216,268435456,536870912,2147483648,4374,6973568802
42,32768,2097152,16777216,268435456,536870912,4294967296,4374,6973568802
43,65536,4194304,33554432,536870912,1073741824,8589934592,13122,20920706406
44,65536,4194304,33554432,1073741824,2147483648,8589934592,13122,20920706406
45,65536,8388608,67108864,1073741824,2147483648,17179869184,13122,62762119218
46,131072,8388608,134217728,2147483648,4294967296,34359738368,13122,62762119218
47,131072,16777216,134217728,4294967296,8589934592,68719476736,13122,188286357654
48,262144,16777216,268435456,4294967296,8589934592,68719476736,39366,188286357654
49,262144,33554432,268435456,8589934592,17179869184,137438953472,39366,564859072962
50,262144,33554432,536870912,17179869184,34359738368,274877906944,39366,564859072962
51,524288,67108864,536870912,17179869184,34359738368,549755813888,39366,1694577218886
52,524288,67108864,1073741824,34359738368,68719476736,549755813888,39366,1694577218886
53,524288,134217728,1073741824,68719476736,137438953472,1099511627776,118098,5083731656658
54,1048576,134217728,2147483648,68719476736,137438953472,2199023255552,118098,5083731656658
55,1048576,268435456,4294967296,137438953472,274877906944,4398046511104,118098,15251194969974
56,2097152,268435456,4294967296,274877906944,549755813888,4398046511104,118098,15251194969974
57,2097152,536870912,8589934592,274877906944,549755813888,8796093022208,354294,45753584909922
58,2097152,536870912,8589934592,549755813888,1099511627776,17592186044416,354294,45753584909922
59,4194304,1073741824,17179869184,1099511627776,2199023255552,35184372088832,354294,137260754729766
60,4194304,1073741824,17179869184,1099511627776,4398046511104,35184372088832,354294,137260754729766
