n,a_n,G_2n_minus_1,G_2n,degree_P_2n,nu_1_2n_minus_1,nu_1_2n,overlap_deficit
1,1,1,2,3,2,4,0
2,-3,2,2,7,4,4,4
3,-5,4,6,17,4,4,4
4,1,8,26,51,4,8,0
5,11,16,78,145,4,8,0
6,9,32,186,363,4,8,0
7,-13,64,414,841,4,4,4
8,-31,128,938,1907,4,4,4
9,-5,256,2158,4321,4,4,4
10,57,512,4890,9723,4,8,0
11,67,1024,10814,21561,4,8,0
12,-47,2048,23562,47171,4,4,4
13,-181,4096,51086,102353,4,4,4
14,-87,8192,110458,221003,4,4,4
15,275,16384,237662,475049,4,8,0
16,449,32768,508266,1016083,4,8,0
17,-101,65536,1081518,2163137,4,4,4
18,-999,131072,2293210,4587419,4,4,4
19,-797,262144,4848766,9698329,4,4,4
20,1201,524288,10223818,20446435,4,8,0
