n,joint_states,overlap_correction,a_n
1,1,0,1
2,1,0,1
3,2,0,2
4,4,0,4
5,7,0,7
6,11,0,11
7,16,1,15
8,22,2,20
9,29,3,26
10,37,5,32
11,46,7,39
12,56,9,47
13,67,12,55
14,79,15,64
15,92,18,74
16,106,22,84
17,121,26,95
18,137,30,107
19,154,35,119
20,172,40,132
21,191,45,146
22,211,51,160
23,232,57,175
24,254,63,191
25,277,70,207
26,301,77,224
27,326,84,242
28,352,92,260
29,379,100,279
30,407,108,299
31,436,117,319
32,466,126,340
33,497,135,362
34,529,145,384
35,562,155,407
36,596,165,431
37,631,176,455
38,667,187,480
39,704,198,506
40,742,210,532
41,781,222,559
42,821,234,587
43,862,247,615
44,904,260,644
45,947,273,674
46,991,287,704
47,1036,301,735
48,1082,315,767
49,1129,330,799
50,1177,345,832
51,1226,360,866
52,1276,376,900
53,1327,392,935
54,1379,408,971
55,1432,425,1007
56,1486,442,1044
57,1541,459,1082
58,1597,477,1120
59,1654,495,1159
60,1712,513,1199
