N,R,theta,partial_sum,error,N_to_R_times_error,c_R,scaled_error_over_c_R
5,1,0.339132654769470785685419136778603768770963218,0.333333333333333333333333333333333333333333333,0.0057993214361374523520858034452704354,0.028996607180687261760429017226352177,0.02962962962962962962962962962962963,0.97863549234819508441447933138938598
5,2,0.339132654769470785685419136778603768770963218,0.339259259259259259259259259259259259259259259,-0.00012660448978847357384012248065549049,-0.0031651122447118393460030620163872622,-0.0028218694885361552028218694885361552,1.121636651719758068239835102057236
5,3,0.339132654769470785685419136778603768770963218,0.339146384479717813051146384479717813051146384,-0.00001372971024702736572724770111404428,-0.001716213780878420715905962639255535,-0.0018812463256907701352145796590241035,0.91227488789818551179876326542927034
5,4,0.339132654769470785685419136778603768770963218,0.339131334509112286890064667842445620223398001,0.0000013202603584987953544689361581485476,0.00082516272406174709654308509884284223,0.00071195988891462142490949075311215229,1.1590017034803782471426739398357078
5,6,0.339132654769470785685419136778603768770963218,0.339132690724161780403207015003997171349709073,-0.000000035954690994717787878225393402578746,-0.0005617920467924654355972717719152929,-0.0004728641948577933946018079534311816,1.1880621389856250786434201319168302
10,1,0.33626627380973064483684149308037329783118133,0.333333333333333333333333333333333333333333333,0.0029329404763973115035081597470399645,0.029329404763973115035081597470399645,0.02962962962962962962962962962962963,0.98986741078409263243400391462598802
10,2,0.33626627380973064483684149308037329783118133,0.336296296296296296296296296296296296296296296,-0.000030022486565651459454803215922998465,-0.0030022486565651459454803215922998465,-0.0028218694885361552028218694885361552,1.0639218676702735944295889642712581
10,3,0.33626627380973064483684149308037329783118133,0.336268077601410934744268077601410934744268078,-0.0000018037916802899074265845210376369131,-0.0018037916802899074265845210376369131,-0.0018812463256907701352145796590241035,0.95882801505410391644383446406887161
10,4,0.33626627380973064483684149308037329783118133,0.33626619635508524397413286302175191064079953,0.000000077454645400862708630058621387190382,0.00077454645400862708630058621387190382,0.00071195988891462142490949075311215229,1.0879074313995673324004594458670045
10,6,0.33626627380973064483684149308037329783118133,0.336266274334799986377489806845088052221111206,-0.00000000052506934154064831376471475438992988,-0.00052506934154064831376471475438992988,-0.0004728641948577933946018079534311816,1.1104019869775820327445264619458313
20,1,0.334807529639219155942075370271171489640034481,0.333333333333333333333333333333333333333333333,0.0014741963058858226087420369378381563,0.029483926117716452174840738756763126,0.02962962962962962962962962962962963,0.99508250647293026090087493304075551
20,2,0.334807529639219155942075370271171489640034481,0.334814814814814814814814814814814814814814815,-0.0000072851755956588727394445436433251748,-0.0029140702382635490957778174573300699,-0.0028218694885361552028218694885361552,1.0326736406846452108162640614413435
20,3,0.334807529639219155942075370271171489640034481,0.33480776014109347442680776014109347442680776,-0.00000023050187431848473238986992198478677,-0.0018440149945478778591189593758782942,-0.0018812463256907701352145796590241035,0.98020922053935632448792184324030575
20,4,0.334807529639219155942075370271171489640034481,0.334807524985302763080540858318636096413874192,0.0000000046539163928615345119525353932261603,0.00074462662285784552191240566291618565,0.00071195988891462142490949075311215229,1.0458828291478953073108919141688952
20,6,0.334807529639219155942075370271171489640034481,0.334807529647043501638837715655273954313734835,-7.8243456967623453841024646737003537e-12,-0.00050075812459279010458255773911682264,-0.0004728641948577933946018079534311816,1.0589893039869203432827722635873088
50,1,0.333924782244213277625541866969175406681756749,0.333333333333333333333333333333333333333333333,0.00059144891087994429220853363584207335,0.029572445543997214610426681792103667,0.02962962962962962962962962962962963,0.99807003710990599310190051048349878
50,2,0.333924782244213277625541866969175406681756749,0.333925925925925925925925925925925925925925926,-0.0000011436817126483003840589567505192442,-0.0028592042816207509601473918762981104,-0.0028218694885361552028218694885361552,1.0132305172993536215022319961631429
50,3,0.333924782244213277625541866969175406681756749,0.333924797178130511463844797178130511463844797,-0.000000014933917233838302930208955104782088,-0.001866739654229787866276119388097761,-0.0018812463256907701352145796590241035,0.99228879745152161266739971223571608
