n,size,edges,mask
3,4,4,29
3,4,4,58
3,4,4,113
3,4,4,142
3,4,4,197
3,4,4,226
4,4,3,77
4,4,3,101
4,4,3,142
4,4,3,154
4,4,3,197
4,4,3,202
4,4,3,281
4,4,3,305
4,4,3,394
4,4,3,401
4,4,3,550
4,4,3,562
4,4,3,581
4,4,3,610
4,4,3,785
4,4,3,802
5,5,5,285
5,5,4,333
5,5,4,405
5,5,5,453
5,5,5,570
5,5,4,654
5,5,4,666
5,5,4,789
5,5,4,810
5,5,5,906
5,5,4,1125
5,5,5,1137
5,5,4,1221
5,5,4,1305
5,5,4,1329
5,5,4,1578
5,5,4,1617
5,5,5,1809
5,5,5,2190
5,5,4,2214
5,5,4,2250
5,5,5,2274
5,5,4,2373
5,5,4,2442
5,5,4,2610
5,5,4,2658
5,5,5,3141
5,5,4,3153
5,5,4,3234
5,5,5,3618
6,5,4,1101
6,5,4,1125
6,5,4,1221
6,6,6,1309
6,5,4,1605
6,6,6,1813
6,5,4,2190
6,5,4,2202
6,5,4,2250
6,5,4,2442
6,6,6,2618
6,5,4,3141
6,5,4,3210
6,6,6,3626
6,5,4,4377
6,5,4,4401
6,5,4,4497
6,6,6,4549
6,5,4,4881
6,6,6,5233
6,5,4,6282
6,5,4,6417
6,6,6,7249
6,5,4,8742
6,5,4,8754
6,5,4,8802
6,6,6,8846
6,5,4,8994
6,6,6,9098
6,5,4,9285
6,5,4,9762
6,6,6,10466
6,5,4,12561
6,6,6,12613
6,5,4,12834
6,6,6,14498
7,6,6,4381
7,6,5,4429
7,6,5,4501
7,6,6,4549
7,6,5,4885
7,6,5,5197
7,6,5,5221
7,6,5,5317
7,6,5,6421
7,6,5,6469
7,6,6,7237
7,6,6,8762
7,6,5,8846
7,6,5,8858
7,6,5,9002
7,6,6,9098
7,6,5,9770
7,6,5,10382
7,6,5,10394
7,6,5,10442
7,6,5,10634
7,6,5,12565
7,6,5,12613
7,6,5,12842
7,6,5,12938
7,6,6,14474
7,6,5,17509
7,6,6,17521
7,6,5,17605
7,6,5,17689
7,6,5,17713
7,6,5,17989
7,6,5,18001
7,6,6,18193
7,6,5,19525
7,6,5,19537
7,6,5,20761
7,6,5,20785
7,6,5,20881
7,6,5,21265
7,6,5,25130
7,6,5,25226
7,6,5,25681
7,6,5,25873
7,6,6,28945
7,6,6,34958
7,6,5,34982
7,6,5,35018
7,6,6,35042
7,6,5,35210
7,6,5,35366
7,6,5,35378
7,6,5,35426
7,6,5,35978
7,6,5,36002
7,6,6,36386
7,6,5,37189
7,6,5,37957
7,6,5,39050
7,6,5,39074
7,6,5,41522
7,6,5,41570
7,6,5,41762
7,6,5,42530
7,6,6,50245
7,6,5,50257
7,6,5,50449
7,6,5,51362
7,6,5,51746
7,6,6,57890
8,6,5,17485
8,6,5,17509
8,6,5,17605
8,7,7,17693
8,6,5,17989
8,7,7,18197
8,6,5,19525
8,7,7,20765
8,7,6,20813
8,7,6,20885
8,7,7,20933
8,7,6,21269
8,6,5,25669
8,7,6,25877
8,7,7,28949
8,7,7,28997
8,6,5,34958
8,6,5,34970
8,6,5,35018
8,6,5,35210
8,7,7,35386
8,6,5,35978
8,7,7,36394
8,6,5,39050
8,7,7,41530
8,7,6,41614
8,7,6,41626
8,7,6,41770
8,7,7,41866
8,7,6,42538
8,6,5,50245
8,7,6,50453
8,6,5,51338
8,7,6,51754
8,7,7,57898
8,7,7,57994
8,6,5,69913
8,6,5,69937
8,6,5,70033
8,7,7,70085
