n,q_n,mu_n
0,1,1
1,-1,1
2,-70,2
3,2825,2
4,-79000,-67
5,2000625,2688
6,-48500000,-73696
7,1155718750,1856194
8,-27469218750,-44867225
9,657279296875,1067747230
10,-15920207031250,-25367429619
11,391306191406250,607085181806
12,-9761182128906250,-14712071111618
13,246758613037109375,361862615272082
14,-6307534914550781250,-9033286903439512
15,162646552746582031250,228510144954420968
16,-4222117156799316406250,-5844336917806596291
17,110157853160400390625000,150768539061432242974
18,-2885377185549926757812500,-3915069142117618801045
19,75816637989753723144531250,102171681239416646397310
20,-1997560234605178833007812500,-2676680529652463778047489
21,52758189869704723358154296875,70342735607888570742469236
22,-1396572768897747993469238281250,-1853549255028368928192156863
23,37048729681438150405883789062500,48959505245165906929392593162
24,-984871873105865454673767089843750,-1296133652415804970303173316082
25,26232744046837882280349731445312500,34387160164607512205856912740998
26,-700041173514778892993927001953125000,-914192838301464879332000551271386
27,18714360590534750691056251525878906250,24352040032454015542098242008895504
28,-501132239131078941076993942260742187500,-649900897447336922085905076684921490
29,13440345837460154446326196193695068359375,17375156365237851538961040891098122140
30,-360998990626852048829570412635803222656250,-465301453484951936739325961957716955484
31,9709537452608527734514325857162475585937500,12480126657468965657340555222985707812916
32,-261487568892911448440579697489738464355468750,-335227175515052052559354139505819219734483
33,7050662367791260263318102806806564331054687500,9016848177682287730772796637474492008733242
34,-190328951253357893610761500895023345947265625000,-242844733977601089099443976145443229485203527
35,5143378801126347096539667109027504920959472656250,6548285070718119407574629362386132797787720278
36,-139134908324454690241857746150344610214233398437500,-176775170079110216188165861071472172762130085231
37,3767428768710853849255375680513679981231689453125000,4777300228502683938807167973791202895497638321284
38,-102106786258368995231269995856564491987228393554687500,-129236958238699470622717789470122709880296447161685
39,2769782272625237793818775081308558583259582519531250000,3499543112884607691728757203093759657815160485035470
40,-75196971291923147530333210364915430545806884765625000000,-94849652875921846073045138313838810896654026021474229
