m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
1,2,1,2,1,0,0,0,2,True,True
2,5,6,5,7,2,1,5,3,True,True
3,7,14,8,20,13,-7,-147,3,False,False
4,10,25,11,38,39,0,-31,3,False,True
5,12,39,14,63,86,-12,-556,3,False,False
6,15,55,17,93,161,5,32,3,True,True
7,17,77,20,130,266,-19,-1612,3,False,False
8,20,102,23,172,410,-8,-1156,3,False,False
9,22,130,26,221,599,-36,-5279,3,False,False
10,24,161,29,276,839,-68,-13231,3,False,False
11,27,191,32,336,1140,-35,-6960,3,False,False
12,29,229,35,403,1499,-75,-18700,3,False,False
13,32,272,38,475,1925,-64,-18775,3,False,False
14,34,317,41,554,2427,-112,-40207,3,False,False
15,37,365,44,638,3010,-91,-36204,3,False,False
16,39,414,47,729,3682,-135,-61691,3,False,False
17,42,464,50,825,4449,-92,-44727,3,False,False
18,44,523,53,928,5309,-156,-87703,3,False,False
19,47,586,56,1036,6273,-135,-84699,3,False,False
20,49,651,59,1151,7349,-203,-144896,3,False,False
21,51,719,62,1272,8542,-275,-225644,3,False,False
22,54,780,65,1398,9868,-204,-165836,3,False,False
23,56,857,68,1531,11310,-292,-273240,3,False,False
24,59,937,71,1669,12887,-267,-268192,3,False,False
25,61,1020,74,1814,14605,-359,-407595,3,False,False
26,64,1105,77,1964,16471,-324,-388287,3,False,False
27,66,1189,80,2121,18494,-400,-522256,3,False,False
28,69,1272,83,2283,20680,-327,-435707,3,False,False
29,71,1370,86,2452,23019,-439,-651027,3,False,False
30,73,1470,89,2627,25530,-551,-908683,3,False,False
31,76,1573,92,2807,28218,-516,-889864,3,False,False
32,78,1676,95,2994,31092,-620,-1164684,3,False,False
33,81,1770,98,3186,34167,-519,-971331,3,False,False
34,83,1884,101,3385,37420,-647,-1329155,3,False,False
35,86,2002,104,3589,40873,-612,-1318127,3,False,False
36,88,2122,107,3800,44534,-744,-1743860,3,False,False
37,91,2244,110,4016,48409,-695,-1690251,3,False,False
38,93,2362,113,4239,52510,-799,-2061947,3,False,False
39,96,2481,116,4467,56838,-708,-1858200,3,False,False
40,98,2616,119,4702,61384,-860,-2439068,3,False,False
41,100,2754,122,4943,66167,-1016,-3116303,3,False,False
42,103,2893,125,5189,71195,-963,-3044876,3,False,False
43,105,3032,128,5442,76475,-1103,-3715651,3,False,False
44,108,3159,131,5700,82025,-972,-3268975,3,False,False
45,110,3312,134,5965,87813,-1148,-4152231,3,False,False
46,113,3467,137,6235,93869,-1099,-4111660,3,False,False
47,115,3624,140,6512,100199,-1271,-5071979,3,False,False
