degree,n,e2,e3,h1,h2,newton_margin
3,270,220322,19902240,664,121112,43552
3,271,221951,20123376,666,122021,44528
3,540,878042,158339880,1325,482897,175963
4,640,2469131,1055962886,2222,1711502,394444
4,641,2476835,1060908850,2226,1716874,391092
4,1280,9853451,8418127366,4439,6830934,1576162
5,1250,15675035,19625131300,5599,12010599,2038389
5,1251,15700085,19672193975,5604,12029868,2024496
5,2500,62600035,156625262550,11189,47966106,8147685
6,2160,70146085,202254494625,11844,56882897,7707626
6,2161,70210975,202535208735,11850,56935614,7666140
6,4320,280260085,1615232189025,23675,227274070,30718200
7,3430,247495255,1416085190485,22248,208185990,23364360
7,3431,247639462,1417323027260,22255,208307590,23265955
7,6860,989116135,11313839737235,44477,832029060,93331075
8,5120,735007042,7531616729000,38341,634335876,60508578
8,5121,735293986,7536027632056,38348,634584286,60765380
8,10240,2938020162,60191218198440,76655,2535652650,243202950
9,7290,1915287666,32596918195716,61892,1684680486,140550128
9,7291,1915812870,32610327047550,61900,1685143104,141019664
9,14580,7656949986,260560901348496,123749,6735063285,564307553
10,10000,4504050870,120162069609450,94911,4020188855,298616022
10,10001,4504951320,120198105618150,94921,4020993298,297909436
10,20000,18008100870,960648139209450,189779,16073567713,1195668106
11,13310,9750907320,389499988503450,139649,8805218742,587786031
11,13311,9752372025,389587753260420,139659,8806543106,589135591
11,26620,38988984320,3114245113773750,279245,35207758986,2355249495
12,17280,19720041605,1136235922304670,198595,17976923473,1092576156
12,17281,19722323357,1136433134129370,198607,17979003307,1090668264
12,34560,78855070085,9085549733600670,397127,71884907211,4369417352
13,21970,37669676837,3035372318624360,274480,34610770611,1926520264
13,21971,37673105171,3035786703925261,274493,34613917398,1923540013
13,43940,150637571357,24273035243807350,548885,138405422424,7707962701
14,27440,68551242851,7525966722663571,370274,63403281624,3251301312
14,27441,68556238205,7526789367549725,370287,63407903121,3255932718
14,54880,274140037171,60186348550797651,740459,253553250759,13030151562
15,33750,119651180005,17502614453899575,489185,111294054965,5308004095
15,33751,119658269080,17504169965318400,489200,111300654155,5301996340
15,67500,478505480005,139977367485780825,978269,445084306909,21227520759
16,40960,201400326580,38504050037773600,634666,188252707607,8368186426
