kind,r,n,row_sum
subset,1,0,1
subset,1,1,1
subset,1,2,2
subset,1,3,5
subset,1,4,15
subset,1,5,52
subset,1,6,203
subset,1,7,877
subset,1,8,4140
subset,1,9,21147
subset,1,10,115975
subset,1,11,678570
subset,1,12,4213597
subset,1,13,27644437
subset,1,14,190899322
subset,1,15,1382958545
subset,1,16,10480142147
subset,1,17,82864869804
subset,1,18,682076806159
subset,1,19,5832742205057
subset,1,20,51724158235372
subset,1,21,474869816156751
subset,1,22,4506715738447323
subset,1,23,44152005855084346
subset,1,24,445958869294805289
subset,1,25,4638590332229999353
subset,1,26,49631246523618756274
subset,1,27,545717047936059989389
subset,1,28,6160539404599934652455
subset,1,29,71339801938860275191172
subset,1,30,846749014511809332450147
subset,2,0,1
subset,2,1,1
subset,2,2,4
subset,2,3,26
subset,2,4,236
subset,2,5,2752
subset,2,6,39208
subset,2,7,660032
subset,2,8,12818912
subset,2,9,282137824
subset,2,10,6939897856
subset,2,11,188666182784
subset,2,12,5617349020544
subset,2,13,181790703209728
subset,2,14,6353726042486272
subset,2,15,238513970965257728
subset,2,16,9571020586419012608
subset,2,17,408837905660444010496
subset,2,18,18522305410364986906624
subset,2,19,887094711304119347388416
subset,2,20,44782218857752794987708416
subset,2,21,2376613641928863263785541632
subset,2,22,132280106444795539197625827328
subset,2,23,7705008716729749963527732396032
subset,2,24,468744135800126572558268335357952
subset,2,25,29730054390033099477714382005796864
subset,2,26,1962586033137616773187258991535456256
subset,2,27,134637659404625757681335270499748020224
subset,2,28,9584963644881810156457282812023186653184
subset,2,29,707173340451261419106233361561741760135168
subset,2,30,54005481349178592760992820984887698159828992
subset,3,0,1
subset,3,1,1
subset,3,2,11
subset,3,3,316
subset,3,4,17592
subset,3,5,1612206
subset,3,6,220273202
subset,3,7,41988030184
subset,3,8,10648606224224
subset,3,9,3467238992211996
subset,3,10,1409781617044117396
subset,3,11,700093612926257007056
subset,3,12,416971834106299537582688
subset,3,13,293378072760189292167986216
subset,3,14,240743138947571778293968287640
subset,3,15,227884662846898100418001741957088
subset,3,16,246477074889833394221496156443995392
subset,3,17,302078768796265096178999788513394501520
subset,3,18,416441119012652952492327649835761452376624
subset,3,19,641562331174639283315871781712812761706700480
subset,3,20,1098086948934059519364817961937999241475239606144
subset,3,21,2077121327476499630083793212753400668717168129717728
subset,3,22,4321619395817529077442234976211738527208788136592680480
subset,3,23,9847157462293584558044921105812527883375771616580106875520
subset,3,24,24475896127943409507738245365687010438083335487826742577689088
subset,3,25,66123574171766116323350761645108276369854506904110378133254636992
subset,3,26,193515849406613281643383270283342985765597783478055475006915924492608
subset,3,27,611621997647579158692524078563122440782104597922516254347477711469444352
subset,3,28,2081703104164608487255606348077457658482370780230888400198663664261585968640
subset,3,29,7609826989182693517047406681415524669922402937116391722367777328200552681031296
subset,3,30,29804474166730377872475384440542515190675488622628781486075210139798688095923092864
subset,4,0,1
subset,4,1,1
subset,4,2,36
subset,4,3,5902
subset,4,4,2673007
subset,4,5,2582136349
subset,4,6,4563035339611
subset,4,7,13325545588763123
subset,4,8,59825096728268374218
subset,4,9,391177750530175306976786
subset,4,10,3572187785774433971124408053
subset,4,11,44056042382308042842909655716359
subset,4,12,713983816964272975240775818136476571
subset,4,13,14861899783050438010255729584628998120961
subset,4,14,389748160723836112157821381091154127684581792
subset,4,15,12665976760462653342415118963592249475760810548942
subset,4,16,502827184563613257797708266233250546940141651858146735
subset,4,17,24081521335029896412048704528931420084085050574867335298765
subset,4,18,1376052797541246160597410923174887942621070572513796434411528807
subset,4,19,92898201335577396480062515875614870477157618977035913593646031079547
subset,4,20,7344888085325560286738343091905484188695423019525312422768659915640503854
subset,4,21,674738389299135313263708099573587369901351193739751265455917310209092174054370
subset,4,22,71507581385359319346918441045747785904871603776140446014348243146299200639305383277
subset,4,23,8685842153247309109893648480277491750877169260010095531557445574578280181093525026293343
subset,4,24,1202091272880443495006068613784899937774119266380235572765954477807826808297023198541612620439
subset,4,25,188523767105585872457290860903914532877090139604363247913951643971754466952711559052445533671581761
subset,4,26,33336851251363605542450157480058380854462479061229444066028506921103749245113496375575094021741810571516
