d,r,truncation,partial_sum_approx,tail_bound_approx,certified_gt_one
0,9/10,600,7.090527866584725,1.9283035923115552e-24,True
1,9/10,600,32.341322827352,1.1768312432461981e-21,True
2,9/10,600,255.3569706203779,7.184030701551921e-19,True
3,9/10,600,3293.6401616989947,4.386733304966345e-16,True
4,9/10,600,59899.73876767068,2.679399024323068e-13,True
5,9/10,600,1394444.9549739864,1.637046164937716e-10,True
6,9/10,600,39353946.63128924,1.0004981969634872e-07,True
7,9/10,600,1301771155.4109511,6.116574489999709e-05,True
8,9/10,600,49319757695.418144,0.03740604439195,True
9,9/10,600,2104340071053.7493,22.8834824570502,True
10,9/10,600,99813868636588.31,14004.087737836056,True
