r,shift,coefficient_x5
3,1,-16
3,2,-32
3,3,-64
3,4,-128
3,5,-256
3,6,-512
3,7,-1024
3,8,-2048
3,9,-4096
3,10,-8192
3,11,-16384
3,12,-32768
3,13,-65536
3,14,-131072
3,15,-262144
3,16,-524288
3,17,-1048576
3,18,-2097152
3,19,-4194304
3,20,-8388608
3,21,-16777216
3,22,-33554432
3,23,-67108864
3,24,-134217728
3,25,-268435456
3,26,-536870912
3,27,-1073741824
3,28,-2147483648
3,29,-4294967296
3,30,-8589934592
3,31,-17179869184
3,32,-34359738368
3,33,-68719476736
3,34,-137438953472
3,35,-274877906944
3,36,-549755813888
3,37,-1099511627776
3,38,-2199023255552
3,39,-4398046511104
3,40,-8796093022208
4,1,-385
4,2,-897
4,3,-2049
4,4,-4609
4,5,-10241
4,6,-22529
4,7,-49153
4,8,-106497
4,9,-229377
4,10,-491521
4,11,-1048577
4,12,-2228225
4,13,-4718593
4,14,-9961473
4,15,-20971521
4,16,-44040193
4,17,-92274689
4,18,-192937985
4,19,-402653185
4,20,-838860801
4,21,-1744830465
4,22,-3623878657
4,23,-7516192769
4,24,-15569256449
4,25,-32212254721
4,26,-66571993089
4,27,-137438953473
4,28,-283467841537
4,29,-584115552257
4,30,-1202590842881
4,31,-2473901162497
4,32,-5085241278465
4,33,-10445360463873
4,34,-21440476741633
4,35,-43980465111041
4,36,-90159953477633
4,37,-184717953466369
4,38,-378231999954945
4,39,-774056185954305
4,40,-1583296743997441
5,1,-6966
5,2,-17985
5,3,-45133
5,4,-110682
5,5,-266344
5,6,-630903
5,7,-1474695
5,8,-3408024
5,9,-7798954
5,10,-17694909
5,11,-39846097
5,12,-89129190
5,13,-198181116
5,14,-438305043
5,15,-964690219
5,16,-2113929540
5,17,-4613734750
5,18,-10032775545
5,19,-21743272341
5,20,-46976205234
5,21,-101200167376
5,22,-217432719855
5,23,-466003952143
5,24,-996432413232
5,25,-2126008812114
5,26,-4526895530613
5,27,-9620726743705
5,28,-20409684591294
5,29,-43224550867684
5,30,-91396904059659
5,31,-192964290675507
5,32,-406819302277980
5,33,-856519558038406
5,34,-1801000046298033
5,35,-3782319999550429
5,36,-7934075906032650
5,37,-16624615811974200
5,38,-34797343995855975
5,39,-72761281479705751
5,40,-151996487423755464
6,1,-114345
6,2,-317746
6,3,-855140
6,4,-2240602
6,5,-5739825
6,6,-14424840
6,7,-35660288
6,8,-86911548
6,9,-209204193
6,10,-498089750
6,11,-1174424580
6,12,-2745195222
6,13,-6366981049
6,14,-14663319260
6,15,-33554470000
6,16,-76336377000
6,17,-172738267065
6,18,-388963034586
6,19,-871878428484
6,20,-1946157132850
6,21,-4327179637985
6,22,-9586367103376
6,23,-21165598945920
6,24,-46583215417332
6,25,-102220221784625
6,26,-223681896931710
6,27,-488183162906148
6,28,-1062815427391598
6,29,-2308424662728873
6,30,-5002777906616100
6,31,-10819194417574960
6,32,-23351427950991392
6,33,-50304855994319689
6,34,-108174351987455490
6,35,-232216855786664100
6,36,-497682943196935050
6,37,-1064960574385209105
6,38,-2275443711729423256
6,39,-4854880398305915264
6,40,-10344205394117171500
7,1,-1799512
7,2,-5283278
7,3,-15006355
7,4,-41428660
7,5,-111611800
7,6,-294405456
7,7,-762436332
7,8,-1943004885
7,9,-4881810220
7,10,-12111957550
7,11,-29713623709
7,12,-72160313390
7,13,-173646101500
7,14,-414399648000
7,15,-981470148750
7,16,-2308414436055
7,17,-5394751948656
7,18,-12533257045470
7,19,-28958823794215
7,20,-66572001290600
7,21,-152316730022512
7,22,-346964649774688
7,23,-787095720592720
7,24,-1778631873071865
7,25,-4004627526137700
7,26,-8985621361700766
7,27,-20096873558910577
7,28,-44810596420705570
7,29,-99626748628313140
7,30,-220891886061182000
7,31,-488486627988928114
7,32,-1077582967925634555
7,33,-2371514639779197000
7,34,-5207462991077871150
7,35,-11410291868488076475
7,36,-24950504885676457500
7,37,-54451897194732096136
7,38,-118613555185985745200
7,39,-257915521160103790900
7,40,-559853728677640340125
8,1,-27756729
8,2,-85029308
8,3,-252049616
8,4,-725866272
8,5,-2038171344
8,6,-5597459508
8,7,-15075129321
8,8,-39905123027
8,9,-104021206289
8,10,-267450841350
8,11,-679195425700
8,12,-1705645230900
8,13,-4240037283300
8,14,-10442942996850
8,15,-25502617605465
8,16,-61794608929011
8,17,-148655559489297
8,18,-355228540270744
8,19,-843600788826048
8,20,-1991834658155936
8,21,-4677598130211776
8,22,-10929387084755832
8,23,-25416037137579249
8,24,-58841328352411563
8,25,-135653898213953145
8,26,-311501542042343666
8,27,-712624275075085412
8,28,-1624502045139766884
8,29,-3690787859639241508
8,30,-8358548971905733062
8,31,-18872263875617491185
8,32,-42487557025930626555
8,33,-95390040028195696905
8,34,-213600663786426294420
8,35,-477102337335960137424
8,36,-1063108469051625458560
8,37,-2363444048463712013520
8,38,-5242719139234100773340
8,39,-11605145735807627217305
8,40,-25636821943625027694819
9,1,-423939880
9,2,-1343142528
9,3,-4121412816
9,4,-12289121568
9,5,-35720580336
9,6,-101502107553
9,7,-282666775699
9,8,-773137594460
9,9,-2080800498700
9,10,-5519409366900
9,11,-14449224125700
9,12,-37377200460600
9,13,-95638341708000
9,14,-242279098076925
9,15,-608143378455711
9,16,-1513592173223760
9,17,-3737633461359952
9,18,-9162457493677664
9,19,-22308569248533568
9,20,-53972314360212864
9,21,-129803375501657088
9,22,-310438788812637345
9,23,-738560186163994467
9,24,-1748428105613776548
9,25,-4119859213127260564
9,26,-9664966870156542308
9,27,-22578937694117399140
9,28,-52539450933281759832
9,29,-121795999589234977776
9,30,-281336526650583098541
9,31,-647648167002585280191
9,32,-1486076413623800306616
9,33,-3399354154276259018616
9,34,-7752912982551066721440
9,35,-17632042902375868632400
9,36,-39990973900661642462240
9,37,-90467386078548453716560
9,38,-204145063627199593949505
9,39,-459563771139815640546963
9,40,-1032175314856660263965676
10,1,-6445028304
10,2,-20982648480
10,3,-66243072576
10,4,-203348905848
10,5,-608626032729
10,6,-1780644607940
10,7,-5104159126000
10,8,-14364094430400
10,9,-39757271825700
10,10,-108397060644600
10,11,-291522956634000
10,12,-774282303112500
10,13,-2033060347343025
10,14,-5282312135604336
10,15,-13591665236333184
10,16,-34658384599295776
10,17,-87641372329607360
10,18,-219899431502272896
10,19,-547742844839874816
10,20,-1355091523827775536
10,21,-3331059338557779153
10,22,-8139237260416851420
10,23,-19775328266511860016
10,24,-47790371589694066736
10,25,-114910672351030783396
10,26,-274979213942412679128
10,27,-655037321537617151760
10,28,-1553666631354661007052
10,29,-3670006301642359241145
10,30,-8635308918466138196904
10,31,-20242770639665224742784
10,32,-47284249556138306821200
10,33,-110074325036495471939280
10,34,-255412735825364688057760
10,35,-590807419385284044507200
10,36,-1362549610842961193026920
10,37,-3133389348833361414021225
10,38,-7185906239811889908079476
10,39,-16436163109168782803002608
10,40,-37498588911375966731342304
11,1,-97802177760
11,2,-325611643632
11,3,-1052694842034
11,4,-3312035522235
11,5,-10164563736250
11,6,-30497920167000
11,7,-89651010928050
11,8,-258685132627350
11,9,-733933383300000
11,10,-2050515500377500
11,11,-5648926445881875
11,12,-15362867240100900
11,13,-41288561364111336
11,14,-109757580453667344
11,15,-288827408189003200
11,16,-752930544269581920
11,17,-1945649208630496512
11,18,-4986767865504207552
11,19,-12683694514743658692
11,20,-32029471862175148725
11,21,-80337365852259336990
11,22,-200225312421898469472
11,23,-496031259354095447242
11,24,-1221883709054458489182
11,25,-2993725628622140583600
11,26,-7297525596703310593020
11,27,-17702384035335023363229
11,28,-42744780095124426701382
11,29,-102760177236583594274316
11,30,-246005894679981601473000
11,31,-586580287026724016783400
11,32,-1393309222190323875888360
11,33,-3297443913453631611036640
11,34,-7776502662265478087572080
11,35,-18278104541724551844069750
11,36,-42822987775233017719942575
11,37,-100017788022425355795800802
11,38,-232907902253251530932679624
11,39,-540812982316433145509574450
11,40,-1252311365547327041476824150
12,1,-1483729062244
12,2,-5032779838790
12,3,-16601245494625
12,4,-53343872063625
12,5,-167298210275625
12,6,-513131750606475
12,7,-1542151495652625
12,8,-4549378468708125
12,9,-13194657703085625
12,10,-37677948745027500
12,11,-106065405557139600
12,12,-294679924557090336
12,13,-808827529893823440
12,14,-2195230742619500080
12,15,-5896192763576838800
12,16,-15683474159192758864
12,17,-41340149746491918608
12,18,-108047162804197825780
12,19,-280152452876336612585
12,20,-720978384393077035225
12,21,-1842405491920882568849
12,22,-4676870646967767548443
12,23,-11797504467260117842665
12,24,-29582453942330966453205
12,25,-73759949961148624292625
12,26,-182924654808498473755038
12,27,-451338850898788076338884
12,28,-1108198029368466090816300
12,29,-2708407810111952423036100
12,30,-6589976141034187586821500
12,31,-15966570652338839315821220
12,32,-38528029029119557558705620
12,33,-92609063242010500822536900
12,34,-221774335375298351322727050
12,35,-529194646040258214785393625
12,36,-1258424867773440710946217329
12,37,-2982665539581113015444170785
12,38,-7046957043164684705832744675
12,39,-16598536816586834860789830825
12,40,-38981412219213226622475965525
13,1,-22523055732100
13,2,-77610264699825
13,3,-260443851621525
13,4,-852246980635050
13,5,-2723840198679600
13,6,-8517654770785875
13,7,-26105223157284375
13,8,-78543215129574000
13,9,-232334151661755000
13,10,-676596825154261440
