x,shape_mask,exact_grundy,capped_grundy
12,0,2,2
12,1,3,3
12,2,6,3
12,3,4,3
12,4,5,3
12,5,2,2
12,6,7,3
12,7,6,3
12,9,4,3
12,11,3,3
12,13,6,3
12,15,2,2
12,21,6,3
12,23,2,2
12,29,2,2
12,31,1,1
12,63,6,3
13,0,3,3
13,1,2,2
13,2,1,1
13,3,5,3
13,4,5,3
13,5,3,3
13,6,7,3
13,7,1,1
13,9,5,3
13,11,6,3
13,13,2,2
13,15,5,3
13,21,8,3
13,23,6,3
13,29,3,3
13,31,1,1
13,63,8,3
14,0,5,3
14,1,6,3
14,2,4,3
14,3,5,3
14,4,6,3
14,5,2,2
14,6,3,3
14,7,4,3
14,9,2,2
14,11,8,3
14,13,7,3
14,15,9,3
14,21,7,3
14,23,2,2
14,29,8,3
14,31,1,1
14,63,10,3
15,0,6,3
15,1,5,3
15,2,4,3
15,3,6,3
15,4,7,3
15,5,6,3
15,6,8,3
15,7,7,3
15,9,9,3
15,11,10,3
15,13,5,3
15,15,4,3
15,21,8,3
15,23,9,3
15,29,6,3
15,31,11,3
15,63,12,3
16,0,2,2
16,1,6,3
16,2,5,3
16,3,4,3
16,4,7,3
16,5,2,2
16,6,8,3
16,7,9,3
16,9,8,3
16,11,9,3
16,13,9,3
16,15,2,2
16,21,8,3
16,23,2,2
16,29,2,2
16,31,7,3
16,63,10,3
17,0,7,3
17,1,2,2
17,2,6,3
17,3,7,3
17,4,8,3
17,5,9,3
17,6,5,3
17,7,6,3
17,9,9,3
17,11,10,3
17,13,2,2
17,15,9,3
17,21,10,3
17,23,9,3
17,29,11,3
17,31,12,3
17,63,13,3
18,0,8,3
18,1,7,3
18,2,9,3
18,3,8,3
18,4,9,3
18,5,2,2
18,6,4,3
18,7,11,3
18,9,2,2
18,11,11,3
18,13,7,3
18,15,8,3
18,21,8,3
18,23,2,2
18,29,11,3
18,31,1,1
18,63,9,3
19,0,6,3
19,1,8,3
19,2,8,3
19,3,10,3
19,4,7,3
19,5,6,3
19,6,10,3
19,7,8,3
19,9,11,3
19,11,12,3
19,13,10,3
19,15,13,3
19,21,10,3
19,23,11,3
19,29,6,3
19,31,14,3
19,63,15,3
20,0,2,2
20,1,9,3
20,2,6,3
20,3,7,3
20,4,8,3
20,5,2,2
20,6,11,3
20,7,8,3
20,9,11,3
20,11,12,3
20,13,1,1
20,15,2,2
20,21,11,3
20,23,2,2
20,29,2,2
20,31,1,1
20,63,7,3
21,0,10,3
21,1,2,2
21,2,12,3
21,3,8,3
21,4,6,3
21,5,13,3
21,6,10,3
21,7,14,3
21,9,11,3
21,11,13,3
21,13,2,2
21,15,15,3
21,21,12,3
21,23,15,3
21,29,10,3
21,31,14,3
21,63,16,3
22,0,8,3
22,1,9,3
22,2,10,3
22,3,11,3
22,4,9,3
22,5,2,2
22,6,13,3
22,7,14,3
22,9,2,2
22,11,13,3
22,13,8,3
22,15,11,3
22,21,8,3
22,23,2,2
22,29,11,3
22,31,1,1
22,63,14,3
23,0,10,3
23,1,9,3
23,2,13,3
23,3,14,3
23,4,13,3
23,5,15,3
23,6,8,3
23,7,9,3
23,9,14,3
23,11,9,3
23,13,9,3
23,15,11,3
23,21,14,3
23,23,11,3
23,29,16,3
23,31,14,3
23,63,17,3
24,0,2,2
24,1,12,3
24,2,10,3
24,3,14,3
24,4,12,3
24,5,2,2
24,6,14,3
24,7,15,3
24,9,14,3
24,11,15,3
24,13,15,3
24,15,2,2
24,21,14,3
24,23,2,2
24,29,2,2
24,31,16,3
24,63,17,3
25,0,10,3
25,1,2,2
25,2,15,3
25,3,9,3
25,4,9,3
25,5,15,3
25,6,16,3
25,7,11,3
25,9,9,3
25,11,11,3
25,13,2,2
25,15,9,3
25,21,17,3
25,23,15,3
25,29,14,3
25,31,17,3
25,63,18,3
26,0,9,3
26,1,16,3
26,2,16,3
26,3,12,3
26,4,1,1
26,5,2,2
26,6,12,3
26,7,14,3
26,9,2,2
26,11,17,3
26,13,16,3
26,15,18,3
26,21,17,3
26,23,2,2
26,29,18,3
26,31,1,1
26,63,19,3
27,0,11,3
27,1,9,3
27,2,13,3
27,3,1,1
27,4,13,3
27,5,11,3
27,6,14,3
27,7,16,3
27,9,15,3
27,11,18,3
27,13,9,3
27,15,1,1
27,21,18,3
27,23,11,3
27,29,11,3
27,31,19,3
27,63,20,3
28,0,2,2
28,1,11,3
28,2,9,3
28,3,13,3
28,4,13,3
28,5,2,2
28,6,14,3
28,7,17,3
28,9,16,3
28,11,18,3
28,13,1,1
28,15,2,2
28,21,18,3
28,23,2,2
28,29,2,2
28,31,1,1
28,63,13,3
29,0,16,3
29,1,2,2
29,2,15,3
29,3,16,3
29,4,9,3
29,5,18,3
29,6,18,3
29,7,19,3
29,9,19,3
29,11,20,3
29,13,2,2
29,15,9,3
29,21,17,3
29,23,20,3
29,29,14,3
29,31,19,3
29,63,21,3
30,0,15,3
30,1,17,3
30,2,17,3
30,3,19,3
30,4,17,3
30,5,2,2
30,6,19,3
30,7,17,3
30,9,2,2
30,11,20,3
30,13,16,3
30,15,21,3
30,21,18,3
30,23,2,2
30,29,20,3
30,31,1,1
30,63,22,3
31,0,11,3
31,1,19,3
31,2,19,3
31,3,11,3
31,4,16,3
31,5,11,3
31,6,20,3
31,7,21,3
31,9,20,3
31,11,21,3
31,13,21,3
31,15,11,3
31,21,18,3
31,23,22,3
31,29,11,3
31,31,23,3
31,63,24,3
32,0,2,2
32,1,11,3
32,2,19,3
32,3,18,3
32,4,19,3
32,5,2,2
32,6,21,3
32,7,19,3
32,9,1,1
32,11,21,3
32,13,11,3
32,15,2,2
32,21,18,3
32,23,2,2
32,29,2,2
32,31,1,1
32,63,16,3
33,0,11,3
33,1,2,2
33,2,21,3
33,3,14,3
33,4,21,3
33,5,11,3
33,6,11,3
33,7,22,3
33,9,14,3
33,11,11,3
33,13,2,2
33,15,14,3
33,21,14,3
33,23,23,3
33,29,22,3
33,31,19,3
33,63,24,3
34,0,18,3
34,1,20,3
34,2,19,3
34,3,22,3
34,4,20,3
34,5,2,2
34,6,11,3
34,7,23,3
34,9,2,2
34,11,23,3
34,13,18,3
34,15,22,3
34,21,18,3
34,23,2,2
34,29,23,3
