x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_9,mask_11,mask_13,mask_15,mask_21,mask_23,mask_29,mask_31,mask_63
12,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,3
13,3,2,1,3,3,3,3,1,3,3,2,3,3,3,3,1,3
14,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,1,3
15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3
17,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
18,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,1,3
19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,2,3,3,3,3,2,3,3,3,3,1,2,3,2,2,1,3
21,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
22,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,1,3
23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3
25,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
26,3,3,3,3,1,2,3,3,2,3,3,3,3,2,3,1,3
27,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3
28,2,3,3,3,3,2,3,3,3,3,1,2,3,2,2,1,3
29,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
30,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,1,3
31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32,2,3,3,3,3,2,3,3,1,3,3,2,3,2,2,1,3
33,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
34,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3
35,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,1,3
36,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,3
37,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
38,3,3,3,3,3,2,3,3,2,3,1,3,3,2,3,1,3
39,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,3
41,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
42,3,3,3,3,3,2,3,3,1,2,3,3,3,2,3,1,3
43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,3
45,3,2,3,1,3,3,3,3,3,3,2,1,3,3,3,3,3
46,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3
47,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,3
49,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
