n,B,height,residue,previous_height_mod_B_to_m,new_digit
2,4,1,3,1,3
2,4,2,11,3,2
2,4,3,59,27,3
2,4,4,59,187,0
2,4,5,827,315,3
2,4,6,2875,827,2
2,4,7,15163,6971,3
2,4,8,31547,64315,1
2,4,9,97083,228155,1
2,4,10,359227,883515,1
3,6,1,5,1,5
3,6,2,29,5,4
3,6,3,29,101,0
3,6,4,1109,245,5
3,6,5,3701,6293,2
3,6,6,34805,3701,4
3,6,7,128117,221429,2
3,6,8,687989,1247861,2
3,6,9,4047221,7406453,2
3,6,10,34280309,54435701,3
4,8,1,7,1,7
4,8,2,55,7,6
4,8,3,119,247,1
4,8,4,3703,631,7
4,8,5,7799,15991,1
4,8,6,138871,204407,4
4,8,7,1711735,138871,6
4,8,8,8003191,12197495,3
4,8,9,125443703,24780407,7
4,8,10,930750071,125443703,6
5,10,1,9,1,9
5,10,2,89,9,8
5,10,3,289,489,2
5,10,4,5289,7289,5
5,10,5,45289,65289,4
5,10,6,745289,945289,7
5,10,7,2745289,4745289,2
5,10,8,92745289,12745289,9
5,10,9,392745289,592745289,3
5,10,10,7392745289,9392745289,7
6,12,1,11,1,11
6,12,2,131,11,10
6,12,3,563,851,3
6,12,4,16115,19571,9
6,12,5,57587,99059,2
6,12,6,1799411,2297075,7
6,12,7,25687283,31659251,8
6,12,8,419837171,61519091,11
6,12,9,419837171,1279800563,0
6,12,10,31378519283,41698079987,6
7,14,1,13,1,13
7,14,2,181,13,12
7,14,3,965,1357,4
7,14,4,25661,31149,9
7,14,5,332989,409821,8
7,14,6,4635581,5711229,8
7,14,7,49812797,64871869,6
7,14,8,155226301,366053309,1
7,14,9,1631015357,4582593469,1
7,14,10,166919389629,208241483197,8
8,16,1,15,1,15
8,16,2,239,15,14
8,16,3,1519,2031,5
8,16,4,13807,21999,3
8,16,5,669167,800239,10
8,16,6,669167,2766319,0
8,16,7,67778031,101332463,4
8,16,8,3557438959,4094309871,13
8,16,9,50802079215,59392013807,11
8,16,10,806716323311,944155276783,11
9,18,1,17,1,17
9,18,2,305,17,16
9,18,3,2249,2897,6
9,18,4,43073,54737,7
9,18,5,567953,777905,5
9,18,6,8126225,11905361,4
9,18,7,552321809,8126225,16
9,18,8,1776761873,3001201937,2
9,18,9,189116091665,12796722449,17
9,18,10,2172708995345,2569427576081,10
10,20,1,19,1,19
10,20,2,379,19,18
10,20,3,3179,3979,7
10,20,4,43179,59179,5
10,20,5,1963179,2283179,12
10,20,6,1963179,8363179,0
10,20,7,129963179,257963179,2
10,20,8,20609963179,23169963179,16
10,20,9,404609963179,455809963179,15
10,20,10,7060609963179,8084609963179,13
