case,q,N,T_half,absolute_error
half,0.5,4,1.2158963346125963192465660560319866520771577709345,1.213142457369137e-5
half,0.5,8,1.2158963346125963192465660560319866520771577709345,6.491747544052831e-9
half,0.5,16,1.2158963346125963192465660560319866520771577709345,3.376347298803352e-15
half,0.5,32,1.2158963346125963192465660560319866520771577709345,1.614645783729058e-27
half,0.5,64,1.2158963346125963192465660560319866520771577709345,6.858581443462632e-52
half,0.5,128,1.2158963346125963192465660560319866520771577709345,3.839453009008296e-96
sqrt2,0.693147180559945309417232121458,4,1.2436216276685218042950989836094029316881983566155,0.0002030590116007648
sqrt2,0.693147180559945309417232121458,8,1.2436216276685218042950989836094029316881983566155,2.435332099130628e-6
sqrt2,0.693147180559945309417232121458,16,1.2436216276685218042950989836094029316881983566155,8.656448445504534e-10
sqrt2,0.693147180559945309417232121458,32,1.2436216276685218042950989836094029316881983566155,2.040039802240318e-16
sqrt2,0.693147180559945309417232121458,64,1.2436216276685218042950989836094029316881983566155,1.98711221751685e-29
sqrt2,0.693147180559945309417232121458,128,1.2436216276685218042950989836094029316881983566155,3.481949852671337e-55
nine_tenths,0.9,4,1.2559066704211695977637451843996276601790015581948,0.001400330529010565
nine_tenths,0.9,8,1.2559066704211695977637451843996276601790015581948,0.0001391560286232739
nine_tenths,0.9,16,1.2559066704211695977637451843996276601790015581948,5.750342760944608e-6
nine_tenths,0.9,32,1.2559066704211695977637451843996276601790015581948,3.965012379978028e-8
nine_tenths,0.9,64,1.2559066704211695977637451843996276601790015581948,4.985970287809148e-12
nine_tenths,0.9,128,1.2559066704211695977637451843996276601790015581948,1.355792999978386e-19
